ID,ID Base,Faction,Alteration,Name,Name DE,Type,Subtyp,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effekt,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_06_R1,ALT_CORE_B_AX_06_C,AX,RARE,Ogun,Ogun,CHARACTER,ENGINEER_DEITY,2,2,2,1,1,"{J} #Du darfst {2} bezahlen, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.# Roboter, die du kontrollierst, erhalten dadurch 1 Verstärkung.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R2,ALT_CORE_B_AX_06_C,MU,RARE,Ogun,Ogun,CHARACTER,ENGINEER_DEITY,2,2,2,1,1,"{J} #Pflanzen#, die du kontrollierst, erhalten 1 Verstärkung$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_07_C,ALT_CORE_B_AX_07_C,AX,COMMON,Foundry Mechanic,Gießerei-Mechanikerin,CHARACTER,ENGINEER,1,1,0,1,1,,"{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger. (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R1,ALT_CORE_B_AX_07_C,AX,RARE,Foundry Mechanic,Gießerei-Mechanikerin,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,"{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger. (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R2,ALT_CORE_B_AX_07_C,OR,RARE,Foundry Mechanic,Gießerei-Mechanikerin,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,"{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger. (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_08_C,ALT_CORE_B_AX_08_C,AX,COMMON,Axiom Salvager,Axiom-Bergungsarbeiter,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R1,ALT_CORE_B_AX_08_C,AX,RARE,Axiom Salvager,Axiom-Bergungsarbeiter,CHARACTER,ENGINEER,1,#1#,1,1,#0#,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R2,ALT_CORE_B_AX_08_C,BR,RARE,Axiom Salvager,Axiom-Bergungsarbeiter,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_C,ALT_CORE_B_AX_09_C,AX,COMMON,Tinker Bell,Tinkerbell,CHARACTER,FAIRY,3,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R1,ALT_CORE_B_AX_09_C,AX,RARE,Tinker Bell,Tinkerbell,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R2,ALT_CORE_B_AX_09_C,LY,RARE,Tinker Bell,Tinkerbell,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_C,ALT_CORE_B_AX_10_C,AX,COMMON,"Jian, Assembly Overseer","Jian, Vorabeiter der Versammlung",CHARACTER,ENGINEER,2,2,3,2,0,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R1,ALT_CORE_B_AX_10_C,AX,RARE,"Jian, Assembly Overseer","Jian, Vorabeiter der Versammlung",CHARACTER,ENGINEER,2,2,3,2,0,,"#{D} : Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.# (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R2,ALT_CORE_B_AX_10_C,OR,RARE,"Jian, Assembly Overseer","Jian, Vorabeiter der Versammlung",CHARACTER,ENGINEER,2,2,3,2,0,,"#{D} : Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.# (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_11_C,ALT_CORE_B_AX_11_C,AX,COMMON,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R1,ALT_CORE_B_AX_11_C,AX,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} Ich erhalte 1 Verstärkung$[BB].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R2,ALT_CORE_B_AX_11_C,OR,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} Ich erhalte 1 Verstärkung$[BB].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_C,ALT_CORE_B_AX_12_C,AX,COMMON,Three Little Pigs,Drei kleine Schweinchen,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Wenn du mindestens zwei Wahrzeichen kontrollierst, erhalte ich 1 Verstärkung$[BB]. (Karten in der Reserve werden nicht kontrolliert.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R1,ALT_CORE_B_AX_12_C,AX,RARE,Three Little Pigs,Drei kleine Schweinchen,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Wenn du mindestens zwei Wahrzeichen kontrollierst, erhalte ich #2 Verstärkungen$[BB]#. (Karten in der Reserve werden nicht kontrolliert.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R2,ALT_CORE_B_AX_12_C,BR,RARE,Three Little Pigs,Drei kleine Schweinchen,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Wenn du mindestens #ein# Wahrzeichen kontrollierst, erhalte ich 1 Verstärkung$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_C,ALT_CORE_B_AX_13_C,AX,COMMON,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} Du darfst eine Karte aus deiner Hand in deine Reserve legen. Wenn es eine bleibende Karte ist, ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R1,ALT_CORE_B_AX_13_C,AX,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,#2#,1,"{R} Du darfst eine Karte aus deiner Hand in deine Reserve legen, #um eine Karte zu ziehen#.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R2,ALT_CORE_B_AX_13_C,YZ,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} Du darfst eine Karte aus deiner Hand in deine Reserve legen. Wenn es ein #Zauber# ist, ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_C,ALT_CORE_B_AX_14_C,AX,COMMON,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,2,2,0,"Wenn ich von deiner Hand in deine Reserve gehe, darfst du mich gratis spielen und ich erhalte $[ASLEEP].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R1,ALT_CORE_B_AX_14_C,AX,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,"Wenn ich von deiner Hand in deine Reserve gehe, darfst du mich gratis spielen und ich erhalte $[ASLEEP].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R2,ALT_CORE_B_AX_14_C,MU,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,"Wenn ich von deiner Hand in deine Reserve gehe, darfst du mich gratis spielen und ich erhalte $[ASLEEP].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_C,ALT_CORE_B_AX_15_C,AX,COMMON,Axiom Scrambler,Axiom-Scramblerin,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R1,ALT_CORE_B_AX_15_C,AX,RARE,Axiom Scrambler,Axiom-Scramblerin,CHARACTER,ENGINEER,#3#,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R2,ALT_CORE_B_AX_15_C,MU,RARE,Axiom Scrambler,Axiom-Scramblerin,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_C,ALT_CORE_B_AX_16_C,AX,COMMON,Foundry Armorer,Gießerei-Rüstungsspezialistin,CHARACTER,ENGINEER,3,3,2,2,2,{R} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R1,ALT_CORE_B_AX_16_C,AX,RARE,Foundry Armorer,Gießerei-Rüstungsspezialistin,CHARACTER,ENGINEER,3,3,2,2,2,#{J}# Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R2,ALT_CORE_B_AX_16_C,BR,RARE,Foundry Armorer,Gießerei-Rüstungsspezialistin,CHARACTER,ENGINEER,#2#,3,2,2,2,{R} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_C,ALT_CORE_B_AX_17_C,AX,COMMON,Dr. Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,3,3,3,3,"{R} Du darfst die {j} Auslöser einer bleibenden Karte deiner Wahl aktivieren, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R1,ALT_CORE_B_AX_17_C,AX,RARE,Dr. Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,"{R} Du darfst die {j} Auslöser einer bleibenden Karte deiner Wahl aktivieren, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R2,ALT_CORE_B_AX_17_C,LY,RARE,Dr. Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,"{R} Du darfst die {j} Auslöser einer bleibenden Karte deiner Wahl aktivieren, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_C,ALT_CORE_B_AX_18_C,AX,COMMON,Athena,Athene,CHARACTER,DEITY,5,3,3,4,4,"{R} Wenn du mindestens zwei Wahrzeichen kontrollierst, verliere ich [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R1,ALT_CORE_B_AX_18_C,AX,RARE,Athena,Athene,CHARACTER,DEITY,5,3,3,4,4,"#{H} Wenn du mindestens zwei Wahrzeichen kontrollierst, erhalte ich 2 Verstärkungen.#  {R} Wenn du mindestens zwei Wahrzeichen kontrollierst, verliere ich [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R2,ALT_CORE_B_AX_18_C,OR,RARE,Athena,Athene,CHARACTER,DEITY,5,3,3,4,4,"#{H} Wenn du mindestens zwei andere Charaktere kontrollierst, erhalte ich 2 Verstärkungen.#  {R} Wenn du mindestens zwei #andere Charaktere# kontrollierst, verliere ich [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_C,ALT_CORE_B_AX_19_C,AX,COMMON,Ganesha,Ganesha,CHARACTER,DEITY,7,7,5,5,5,"{J} Für jede bleibende Karte, die du kontrollierst, darfst du ihre {j} Auslöser aktivieren.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R1,ALT_CORE_B_AX_19_C,AX,RARE,Ganesha,Ganesha,CHARACTER,DEITY,#6#,#6#,#4#,#4#,#4#,"{J} Für jede bleibende Karte, die du kontrollierst, darfst du ihre {j} Auslöser aktivieren.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R2,ALT_CORE_B_AX_19_C,MU,RARE,Ganesha,Ganesha,CHARACTER,DEITY,7,7,5,5,5,"{J} Für jeden #anderen Charakter#, den du kontrollierst, darfst du seine {j} Auslöser aktivieren.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_C,ALT_CORE_B_AX_20_C,AX,COMMON,Hooked,Am Haken,SPELL,MANEUVER,1,2,,,,Ein Charakter deiner Wahl wechselt Expeditionen. (Er verlässt seine Expedition und schließt sich der anderen Expedition des kontrollierenden Spielers an.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R1,ALT_CORE_B_AX_20_C,AX,RARE,Hooked,Am Haken,SPELL,MANEUVER,#2#,2,,,,Ein Charakter deiner Wahl wechselt Expeditionen. (Er verlässt seine Expedition und schließt sich der anderen Expedition des kontrollierenden Spielers an.)  #Ziehe eine Karte.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R2,ALT_CORE_B_AX_20_C,LY,RARE,Hooked,Am Haken,SPELL,MANEUVER,1,2,,,,Ein Charakter deiner Wahl wechselt Expeditionen. (Er verlässt seine Expedition und schließt sich der anderen Expedition des kontrollierenden Spielers an.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_C,ALT_CORE_B_AX_21_C,AX,COMMON,Boom!,Bumm!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Opfere einen Charakter, um einen Charakter oder eine bleibende Karte deiner Wahl abzulegen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R1,ALT_CORE_B_AX_21_C,AX,RARE,Boom!,Bumm!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Opfere einen Charakter #oder eine bleibende Karte#, um einen Charakter oder eine bleibende Karte deiner Wahl abzulegen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R2,ALT_CORE_B_AX_21_C,YZ,RARE,Boom!,Bumm!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Opfere einen Charakter, um einen Charakter oder eine bleibende Karte deiner Wahl abzulegen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_C,ALT_CORE_B_AX_22_C,AX,COMMON,Mechanical Training,Maschinenausbildung,SPELL,BOON,1,2,,,,"Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R1,ALT_CORE_B_AX_22_C,AX,RARE,Mechanical Training,Maschinenausbildung,SPELL,BOON,#2#,2,,,,"Aktiviere die {j} Auslöser #von bis zu zwei# bleibenden Karten deiner Wahl, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R2,ALT_CORE_B_AX_22_C,MU,RARE,Mechanical Training,Maschinenausbildung,SPELL,BOON,#2#,2,,,,"Aktiviere die {j} Auslöser eines #Charakters# deiner Wahl, den du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_C,ALT_CORE_B_AX_23_C,AX,COMMON,Kelon Surge,Kelon-Explosion,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in deine Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R1,ALT_CORE_B_AX_23_C,AX,RARE,Kelon Surge,Kelon-Explosion,SPELL,DISRUPTION,#4#,#4#,,,,"[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in deine Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.  #Wenn du mindestens zwei Wahrzeichen kontrollierst, erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R2,ALT_CORE_B_AX_23_C,OR,RARE,Kelon Surge,Kelon-Explosion,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in deine Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_C,ALT_CORE_B_AX_24_C,AX,COMMON,Brassbug Hub,Blechkäfer-Basis,PERMANENT,LANDMARK,3,3,,,,"{J} Ich erhalte drei Kelon-Zähler.  Zum Mittag — Du darfst {1} bezahlen und einen meiner Kelon-Zähler ausgeben, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R1,ALT_CORE_B_AX_24_C,AX,RARE,Brassbug Hub,Blechkäfer-Basis,PERMANENT,LANDMARK,#2#,#2#,,,,"{J} Ich erhalte drei Kelon-Zähler.  Zum Mittag — Du darfst {1} bezahlen und einen meiner Kelon-Zähler ausgeben, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R2,ALT_CORE_B_AX_24_C,OR,RARE,Brassbug Hub,Blechkäfer-Basis,PERMANENT,LANDMARK,#2#,#2#,,,,"{J} Ich erhalte drei Kelon-Zähler.  Zum Mittag — Du darfst {1} bezahlen und einen meiner Kelon-Zähler ausgeben, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_C,ALT_CORE_B_AX_25_C,AX,COMMON,Axiom Reprocessor,Axiom-Aufbereiter,PERMANENT,LANDMARK,4,4,,,,Zum Mittag — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R1,ALT_CORE_B_AX_25_C,AX,RARE,Axiom Reprocessor,Axiom-Aufbereiter,PERMANENT,LANDMARK,4,4,,,,#{J} [RESUPPLY].#  Zum Mittag — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R2,ALT_CORE_B_AX_25_C,MU,RARE,Axiom Reprocessor,Axiom-Aufbereiter,PERMANENT,LANDMARK,4,4,,,,Zum Mittag — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_C,ALT_CORE_B_AX_26_C,AX,COMMON,Kelon Cylinder,Kelon-Zylinder,PERMANENT,LANDMARK,1,1,,,,"{T} : Ich erhalte zwei Kelon-Zähler.  {T} : Gib einen meiner Kelon-Zähler aus: Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R1,ALT_CORE_B_AX_26_C,AX,RARE,Kelon Cylinder,Kelon-Zylinder,PERMANENT,LANDMARK,1,1,,,,#{J} Ein Charakter deiner Wahl erhält 1 Verstärkung.#  {T} : Ich erhalte zwei Kelon-Zähler.  {T} : Gib einen meiner Kelon-Zähler aus: #Charakter deiner Wahl erhält 1 Verstärkung.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R2,ALT_CORE_B_AX_26_C,BR,RARE,Kelon Cylinder,Kelon-Zylinder,PERMANENT,LANDMARK,1,1,,,,"{T} : Ich erhalte zwei Kelon-Zähler.  {T} : Gib einen meiner Kelon-Zähler aus: Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_C,ALT_CORE_B_AX_27_C,AX,COMMON,Kelon Generator,Kelon-Generator,PERMANENT,LANDMARK,3,3,,,,"{2}, {T} : Ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R1,ALT_CORE_B_AX_27_C,AX,RARE,Kelon Generator,Kelon-Generator,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T} : Ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R2,ALT_CORE_B_AX_27_C,OR,RARE,Kelon Generator,Kelon-Generator,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T} : Ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_C,ALT_CORE_B_AX_28_C,AX,COMMON,Armored Jammer,Gepanzerter Störsender,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R1,ALT_CORE_B_AX_28_C,AX,RARE,Armored Jammer,Gepanzerter Störsender,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #Wenn ich deine Wahrzeichenzone verlasse — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R2,ALT_CORE_B_AX_28_C,OR,RARE,Armored Jammer,Gepanzerter Störsender,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #Wenn ich deine Wahrzeichenzone verlasse — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_C,ALT_CORE_B_AX_29_C,AX,COMMON,"The Foundry, Axiom Bastion","Die Gießerei, Axiom-Bastion",PERMANENT,LANDMARK,3,3,,,,"{T} : Aktiviere die {r} Auslöser des nächsten Charakters, den du in dieser Runde aus deiner Hand spielst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R1,ALT_CORE_B_AX_29_C,AX,RARE,"The Foundry, Axiom Bastion","Die Gießerei, Axiom-Bastion",PERMANENT,LANDMARK,#4#,#4#,,,,"#{J} Ziehe eine Karte.#  {T} : Aktiviere die {r} Auslöser des nächsten Charakters, den du in dieser Runde aus deiner Hand spielst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R2,ALT_CORE_B_AX_29_C,BR,RARE,"The Foundry, Axiom Bastion","Die Gießerei, Axiom-Bastion",PERMANENT,LANDMARK,3,3,,,,"{T} : Aktiviere die {r} Auslöser des nächsten Charakters, den du in dieser Runde aus deiner Hand spielst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_C,ALT_CORE_B_AX_30_C,AX,COMMON,Brassbug Hive,Blechkäfer-Nest,PERMANENT,LANDMARK,5,5,,,,{J} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  Zum Mittag — Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R1,ALT_CORE_B_AX_30_C,AX,RARE,Brassbug Hive,Blechkäfer-Nest,PERMANENT,LANDMARK,#6#,#6#,,,,"{J} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  Zum Mittag — Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  #Wenn ein Roboter einer deiner Expeditionen beitritt, erhält er 1 Verstärkung.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R2,ALT_CORE_B_AX_30_C,YZ,RARE,Brassbug Hive,Blechkäfer-Nest,PERMANENT,LANDMARK,5,5,,,,{J} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  Zum Mittag — Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_31_C,ALT_CORE_B_AX_31_C,AX,COMMON,Brassbug,Blechkäfer,TOKEN,ROBOT,,,2,2,2,"(Wenn ich die Expeditionszone verlasse, entferne mich aus dem Spiel.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_01_C,ALT_CORE_B_BR_01_C,BR,COMMON,Kojo & Booda,Kojo & Booda,HERO,,,,,,,"Zum Mittag, wenn du der erste Spieler bist — Erschaffe eine [BOODA]-Gefährtenmarke in deiner Gefährten-Expedition.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_02_C,ALT_CORE_B_BR_02_C,BR,COMMON,Atsadi & Surge,Atsadi & Blitz,HERO,,,,,,,"Ich beginne das Spiel mit fünf Heldentumszählern.  Wenn du einen Charakter spielst, dessen Handkosten größer oder gleich meiner Anzahl an Heldentumszählern sind, dann ziehe eine Karte und ich erhalte einen Heldentumszähler.",,,,,,,,,,,,,,,
