ID,ID Base,Faction,Alteration,Name,Nome It,Type,Sottotipo,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effetto,Eco,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_07_R1,ALT_CORE_B_AX_07_C,AX,RARE,Foundry Mechanic,Meccanica della Fonderia,CHARACTER,INGEGNERE,1,1,#1#,1,#2#,,{D} : Il prossimo permanente che giochi in questo turno costa {1} in meno. (Scartami dalla Riserva per giocare questa azione.),,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R2,ALT_CORE_B_AX_07_C,OR,RARE,Foundry Mechanic,Meccanica della Fonderia,CHARACTER,INGEGNERE,1,1,#1#,1,#2#,,{D} : Il prossimo permanente che giochi in questo turno costa {1} in meno. (Scartami dalla Riserva per giocare questa azione.),,,,,,,,,,,,,,
ALT_CORE_B_AX_08_C,ALT_CORE_B_AX_08_C,AX,COMMON,Axiom Salvager,Rovistatore Axiom,CHARACTER,INGEGNERE,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R1,ALT_CORE_B_AX_08_C,AX,RARE,Axiom Salvager,Rovistatore Axiom,CHARACTER,INGEGNERE,1,#1#,1,1,#0#,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R2,ALT_CORE_B_AX_08_C,BR,RARE,Axiom Salvager,Rovistatore Axiom,CHARACTER,INGEGNERE,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_C,ALT_CORE_B_AX_09_C,AX,COMMON,Tinker Bell,Campanellino,CHARACTER,FATA,3,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R1,ALT_CORE_B_AX_09_C,AX,RARE,Tinker Bell,Campanellino,CHARACTER,FATA,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R2,ALT_CORE_B_AX_09_C,LY,RARE,Tinker Bell,Campanellino,CHARACTER,FATA,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_C,ALT_CORE_B_AX_10_C,AX,COMMON,"Jian, Assembly Overseer","Jian, Supervisore dell'Assemblaggio",CHARACTER,INGEGNERE,2,2,3,2,0,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R1,ALT_CORE_B_AX_10_C,AX,RARE,"Jian, Assembly Overseer","Jian, Supervisore dell'Assemblaggio",CHARACTER,INGEGNERE,2,2,3,2,0,,#{D} : Attiva gli inneschi {j} di un permanente bersaglio che controlli.# (Scartami dalla Riserva per giocare questa azione.),,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R2,ALT_CORE_B_AX_10_C,OR,RARE,"Jian, Assembly Overseer","Jian, Supervisore dell'Assemblaggio",CHARACTER,INGEGNERE,2,2,3,2,0,,#{D} : Attiva gli inneschi {j} di un permanente bersaglio che controlli.# (Scartami dalla Riserva per giocare questa azione.),,,,,,,,,,,,,,
ALT_CORE_B_AX_11_C,ALT_CORE_B_AX_11_C,AX,COMMON,Amelia Earhart,Amelia Earhart,CHARACTER,AVVENTURIERO,3,1,2,2,2,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R1,ALT_CORE_B_AX_11_C,AX,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,AVVENTURIERO,3,1,2,2,2,#{H} Ottengo 1 rinforzo$[BB].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R2,ALT_CORE_B_AX_11_C,OR,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,AVVENTURIERO,3,1,2,2,2,#{H} Ottengo 1 rinforzo$[BB].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_C,ALT_CORE_B_AX_12_C,AX,COMMON,Three Little Pigs,Tre Porcellini,CHARACTER,INGEGNERE,3,3,3,3,3,"{J} Se controlli due o più fulcri, ottengo 1 rinforzo$[BB]. (Le carte nella Riserva non sono controllate.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R1,ALT_CORE_B_AX_12_C,AX,RARE,Three Little Pigs,Tre Porcellini,CHARACTER,INGEGNERE,3,3,3,3,3,"{J} Se controlli due o più fulcri, ottengo #2 rinforzi$[BB]#. (Le carte nella Riserva non sono controllate.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R2,ALT_CORE_B_AX_12_C,BR,RARE,Three Little Pigs,Tre Porcellini,CHARACTER,INGEGNERE,3,3,3,3,3,"{J} Se controlli #uno# o più fulcri, ottengo 1 rinforzo$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_C,ALT_CORE_B_AX_13_C,AX,COMMON,Ada Lovelace,Ada Lovelace,CHARACTER,INGEGNERE,2,2,1,3,1,"{R} Puoi mettere una carta dalla tua mano nella Riserva. Se è un permanente, pesca una carta.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R1,ALT_CORE_B_AX_13_C,AX,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,INGEGNERE,2,2,1,#2#,1,{R} Puoi mettere una carta dalla tua mano nella Riserva #per pescare una carta#.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R2,ALT_CORE_B_AX_13_C,YZ,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,INGEGNERE,2,2,1,3,1,"{R} Puoi mettere una carta dalla tua mano nella Riserva. Se è una #magia#, pesca una carta.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_C,ALT_CORE_B_AX_14_C,AX,COMMON,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,2,2,0,Quando vado nella Riserva dalla tua mano — Puoi giocarmi senza pagare il mio costo e ottengo $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R1,ALT_CORE_B_AX_14_C,AX,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,Quando vado nella Riserva dalla tua mano — Puoi giocarmi senza pagare il mio costo e ottengo $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R2,ALT_CORE_B_AX_14_C,MU,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,Quando vado nella Riserva dalla tua mano — Puoi giocarmi senza pagare il mio costo e ottengo $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_C,ALT_CORE_B_AX_15_C,AX,COMMON,Axiom Scrambler,Codificatrice Axiom,CHARACTER,INGEGNERE,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R1,ALT_CORE_B_AX_15_C,AX,RARE,Axiom Scrambler,Codificatrice Axiom,CHARACTER,INGEGNERE,#3#,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R2,ALT_CORE_B_AX_15_C,MU,RARE,Axiom Scrambler,Codificatrice Axiom,CHARACTER,INGEGNERE,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_C,ALT_CORE_B_AX_16_C,AX,COMMON,Foundry Armorer,Armaiola della Fonderia,CHARACTER,INGEGNERE,3,3,2,2,2,{R} Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R1,ALT_CORE_B_AX_16_C,AX,RARE,Foundry Armorer,Armaiola della Fonderia,CHARACTER,INGEGNERE,3,3,2,2,2,#{J}# Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R2,ALT_CORE_B_AX_16_C,BR,RARE,Foundry Armorer,Armaiola della Fonderia,CHARACTER,INGEGNERE,#2#,3,2,2,2,{R} Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_C,ALT_CORE_B_AX_17_C,AX,COMMON,Frankenstein,Frankenstein,CHARACTER,INGEGNERE,4,3,3,3,3,{R} Puoi attivare gli inneschi {j} di un permanente bersaglio che controlli.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R1,ALT_CORE_B_AX_17_C,AX,RARE,Frankenstein,Frankenstein,CHARACTER,INGEGNERE,4,#2#,3,3,3,{R} Puoi attivare gli inneschi {j} di un permanente bersaglio che controlli.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R2,ALT_CORE_B_AX_17_C,LY,RARE,Frankenstein,Frankenstein,CHARACTER,INGEGNERE,4,#2#,3,3,3,{R} Puoi attivare gli inneschi {j} di un permanente bersaglio che controlli.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_C,ALT_CORE_B_AX_18_C,AX,COMMON,Athena,Atena,CHARACTER,DIVINITÀ,5,3,3,4,4,"{R} Se controlli due o più fulcri, perdo [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R1,ALT_CORE_B_AX_18_C,AX,RARE,Athena,Atena,CHARACTER,DIVINITÀ,5,3,3,4,4,"#{H} Se controlli due o più fulcri, ottengo 2 rinforzi.#  {R} Se controlli due o più fulcri, perdo [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R2,ALT_CORE_B_AX_18_C,OR,RARE,Athena,Atena,CHARACTER,DIVINITÀ,5,3,3,4,4,"#{H} Se controlli altri due o più personaggi, ottengo 2 rinforzi.#  {R} Se controlli #altri# due o più personaggi, perdo [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_C,ALT_CORE_B_AX_19_C,AX,COMMON,Ganesha,Ganesha,CHARACTER,DIVINITÀ,7,7,5,5,5,"{J} Per ogni permanente che controlli, puoi attivare i suoi inneschi {j}.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R1,ALT_CORE_B_AX_19_C,AX,RARE,Ganesha,Ganesha,CHARACTER,DIVINITÀ,#6#,#6#,#4#,#4#,#4#,"{J} Per ogni permanente che controlli, puoi attivare i suoi inneschi {j}.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R2,ALT_CORE_B_AX_19_C,MU,RARE,Ganesha,Ganesha,CHARACTER,DIVINITÀ,7,7,5,5,5,"{J} Per ogni #altro personaggio# che controlli, puoi attivare i suoi inneschi {j}.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_C,ALT_CORE_B_AX_20_C,AX,COMMON,Hooked,Agganciamento,SPELL,STRATAGEMMA,1,2,,,,Il personaggio bersaglio cambia spedizione. (Lascia la sua spedizione e si unisce all'altra spedizione del suo controllore.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R1,ALT_CORE_B_AX_20_C,AX,RARE,Hooked,Agganciamento,SPELL,STRATAGEMMA,#2#,2,,,,Il personaggio bersaglio cambia spedizione. (Lascia la sua spedizione e si unisce all'altra spedizione del suo controllore.)  #Pesca una carta.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R2,ALT_CORE_B_AX_20_C,LY,RARE,Hooked,Agganciamento,SPELL,STRATAGEMMA,1,2,,,,Il personaggio bersaglio cambia spedizione. (Lascia la sua spedizione e si unisce all'altra spedizione del suo controllore.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_C,ALT_CORE_B_AX_21_C,AX,COMMON,Boom!,Boom!,SPELL,IMPEDIMENTO,3,3,,,,"$[FLEETING].  Sacrifica un personaggio. Se lo fai, scarta il personaggio o il permanente bersaglio.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R1,ALT_CORE_B_AX_21_C,AX,RARE,Boom!,Boom!,SPELL,IMPEDIMENTO,3,3,,,,"$[FLEETING].  Sacrifica un personaggio #o un permanente#. Se lo fai, scarta il personaggio o il permanente bersaglio.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R2,ALT_CORE_B_AX_21_C,YZ,RARE,Boom!,Boom!,SPELL,IMPEDIMENTO,3,3,,,,"$[FLEETING].  Sacrifica un personaggio. Se lo fai, scarta il personaggio o il permanente bersaglio.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_C,ALT_CORE_B_AX_22_C,AX,COMMON,Mechanical Training,Addestramento Meccanico,SPELL,VANTAGGIO,1,2,,,,Attiva gli inneschi {j} di un permanente bersaglio che controlli.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R1,ALT_CORE_B_AX_22_C,AX,RARE,Mechanical Training,Addestramento Meccanico,SPELL,VANTAGGIO,#2#,2,,,,Attiva gli inneschi {j} di #un massimo di due# permanenti bersaglio che controlli.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R2,ALT_CORE_B_AX_22_C,MU,RARE,Mechanical Training,Addestramento Meccanico,SPELL,VANTAGGIO,#2#,2,,,,Attiva gli inneschi {j} di un #personaggio# bersaglio che controlli.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_C,ALT_CORE_B_AX_23_C,AX,COMMON,Kelon Surge,Esplosione di Kelon,SPELL,IMPEDIMENTO,3,3,,,,$[FLEETING].  Scegli uno:  • Manda un personaggio bersaglio con costo dalla mano pari o inferiore a {4} nella Riserva.  • Scarta un permanente bersaglio con costo dalla mano pari o inferiore a {4}.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R1,ALT_CORE_B_AX_23_C,AX,RARE,Kelon Surge,Esplosione di Kelon,SPELL,IMPEDIMENTO,#4#,#4#,,,,"[FLEETING].  Scegli uno:  • Manda un personaggio bersaglio con costo dalla mano pari o inferiore a {4} nella Riserva.  • Scarta un permanente bersaglio con costo dalla mano pari o inferiore a {4}.  #Se controlli due o più fulcri, crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R2,ALT_CORE_B_AX_23_C,OR,RARE,Kelon Surge,Esplosione di Kelon,SPELL,IMPEDIMENTO,3,3,,,,$[FLEETING].  Scegli uno:  • Manda un personaggio bersaglio con costo dalla mano pari o inferiore a {4} nella Riserva.  • Scarta un permanente bersaglio con costo dalla mano pari o inferiore a {4}.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_C,ALT_CORE_B_AX_24_C,AX,COMMON,Brassbug Hub,Ritrovo delle Ottonblatte,PERMANENT,FULCRO,3,3,,,,{J} Ottengo tre segnalini Kelon.  A mezzogiorno — Puoi pagare {1} e spendere uno dei miei segnalini Kelon per creare una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R1,ALT_CORE_B_AX_24_C,AX,RARE,Brassbug Hub,Ritrovo delle Ottonblatte,PERMANENT,FULCRO,#2#,#2#,,,,{J} Ottengo tre segnalini Kelon.  A mezzogiorno — Puoi pagare {1} e spendere uno dei miei segnalini Kelon per creare una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R2,ALT_CORE_B_AX_24_C,OR,RARE,Brassbug Hub,Ritrovo delle Ottonblatte,PERMANENT,FULCRO,#2#,#2#,,,,{J} Ottengo tre segnalini Kelon.  A mezzogiorno — Puoi pagare {1} e spendere uno dei miei segnalini Kelon per creare una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_C,ALT_CORE_B_AX_25_C,AX,COMMON,Axiom Reprocessor,Ricondizionatore Axiom,PERMANENT,FULCRO,4,4,,,,A mezzogiorno — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R1,ALT_CORE_B_AX_25_C,AX,RARE,Axiom Reprocessor,Ricondizionatore Axiom,PERMANENT,FULCRO,4,4,,,,#{J} [RESUPPLY].#  A mezzogiorno — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R2,ALT_CORE_B_AX_25_C,MU,RARE,Axiom Reprocessor,Ricondizionatore Axiom,PERMANENT,FULCRO,4,4,,,,A mezzogiorno — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_C,ALT_CORE_B_AX_26_C,AX,COMMON,Kelon Cylinder,Cilindro di Kelon,PERMANENT,FULCRO,1,1,,,,"{T} : Ottengo due segnalini Kelon.  {T}, Spendi uno dei miei segnalini Kelon: il prossimo personaggio che giochi in questo turno ottiene 1 rinforzo$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R1,ALT_CORE_B_AX_26_C,AX,RARE,Kelon Cylinder,Cilindro di Kelon,PERMANENT,FULCRO,1,1,,,,"#{J} Il personaggio bersaglio ottiene 1 rinforzo.#  {T} : Ottengo due segnalini Kelon.  {T}, Spendi uno dei miei segnalini Kelon: #il personaggio bersaglio ottiene 1 rinforzo.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R2,ALT_CORE_B_AX_26_C,BR,RARE,Kelon Cylinder,Cilindro di Kelon,PERMANENT,FULCRO,1,1,,,,"{T} : Ottengo due segnalini Kelon.  {T}, Spendi uno dei miei segnalini Kelon: il prossimo personaggio che giochi in questo turno ottiene 1 rinforzo.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_C,ALT_CORE_B_AX_27_C,AX,COMMON,Kelon Generator,Generatore Kelonico,PERMANENT,FULCRO,3,3,,,,"{2}, {T} : Pesca una carta.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R1,ALT_CORE_B_AX_27_C,AX,RARE,Kelon Generator,Generatore Kelonico,PERMANENT,FULCRO,#4#,#4#,,,,"#{1}#, {T} : Pesca una carta.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R2,ALT_CORE_B_AX_27_C,OR,RARE,Kelon Generator,Generatore Kelonico,PERMANENT,FULCRO,#4#,#4#,,,,"#{1}#, {T} : Pesca una carta.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_C,ALT_CORE_B_AX_28_C,AX,COMMON,Armored Jammer,Disturbatore di Frequenze Corazzato,PERMANENT,FULCRO,2,2,,,,{J} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R1,ALT_CORE_B_AX_28_C,AX,RARE,Armored Jammer,Disturbatore di Frequenze Corazzato,PERMANENT,FULCRO,2,2,,,,{J} $[SABOTAGE].  #Quando lascio la tua area dei fulcri — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R2,ALT_CORE_B_AX_28_C,OR,RARE,Armored Jammer,Disturbatore di Frequenze Corazzato,PERMANENT,FULCRO,2,2,,,,{J} $[SABOTAGE].  #Quando lascio la tua area dei fulcri — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_C,ALT_CORE_B_AX_29_C,AX,COMMON,"The Foundry, Axiom Bastion","La Fonderia, Bastione Axiom",PERMANENT,FULCRO,3,3,,,,{T} : Attiva gli inneschi {r} del prossimo personaggio che giochi dalla tua mano in questo turno.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R1,ALT_CORE_B_AX_29_C,AX,RARE,"The Foundry, Axiom Bastion","La Fonderia, Bastione Axiom",PERMANENT,FULCRO,#4#,#4#,,,,#{J} Pesca una carta.#  {T} : Attiva gli inneschi {r} del prossimo personaggio che giochi dalla tua mano in questo turno.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R2,ALT_CORE_B_AX_29_C,BR,RARE,"The Foundry, Axiom Bastion","La Fonderia, Bastione Axiom",PERMANENT,FULCRO,3,3,,,,{T} : Attiva gli inneschi {r} del prossimo personaggio che giochi dalla tua mano in questo turno.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_C,ALT_CORE_B_AX_30_C,AX,COMMON,Brassbug Hive,Alveare delle Ottonblatte,PERMANENT,FULCRO,5,5,,,,{J} Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.  A mezzogiorno — Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R1,ALT_CORE_B_AX_30_C,AX,RARE,Brassbug Hive,Alveare delle Ottonblatte,PERMANENT,FULCRO,#6#,#6#,,,,{J} Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.  A mezzogiorno — Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.  #Quando un Robot si unisce alle tue spedizioni — Ottiene 1 rinforzo.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R2,ALT_CORE_B_AX_30_C,YZ,RARE,Brassbug Hive,Alveare delle Ottonblatte,PERMANENT,FULCRO,5,5,,,,{J} Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.  A mezzogiorno — Crea una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_31_C,ALT_CORE_B_AX_31_C,AX,COMMON,Brassbug,Ottonblatta,TOKEN,ROBOT,,,2,2,2,"(Se lascio l'area delle spedizioni, rimuovimi dalla partita.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_01_C,ALT_CORE_B_BR_01_C,BR,COMMON,Kojo & Booda,Kojo e Booda,HERO,,,,,,,"A mezzogiorno, se sei il primo giocatore — Crea una pedina Compagno [BOODA] nella spedizione del tuo compagno.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_02_C,ALT_CORE_B_BR_02_C,BR,COMMON,Atsadi & Surge,Atsadi e Folgore,HERO,,,,,,,Inizio la partita con cinque segnalini Eroismo.  Quando giochi un personaggio con costo dalla mano pari o superiore al numero dei miei segnalini Eroismo — Pesca una carta e ottengo un segnalino Eroismo.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_03_C,ALT_CORE_B_BR_03_C,BR,COMMON,Basira & Kaizaimon,Basira e Kaizaimon,HERO,,,,,,,Quando un personaggio che controlli ottiene 1 o più rinforzi — Puoi consumarmi ({T}) per far ottenere 1 rinforzo$[BB] al personaggio bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_C,ALT_CORE_B_BR_04_C,BR,COMMON,Ratatoskr,Ratatoskr,CHARACTER,MESSAGGERO,1,3,1,1,1,{R} Ottengo 2 rinforzi$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R1,ALT_CORE_B_BR_04_C,BR,RARE,Ratatoskr,Ratatoskr,CHARACTER,MESSAGGERO,1,3,1,1,1,{R} Ottengo #3 rinforzi[BB]#.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R2,ALT_CORE_B_BR_04_C,OR,RARE,Ratatoskr,Ratatoskr,CHARACTER,MESSAGGERO,1,3,1,1,1,{R} #Crea due pedine Soldato [ORDIS_RECRUIT] nella mia spedizione.#,,,,,,,,,,,,,,,
ALT_CORE_B_BR_05_C,ALT_CORE_B_BR_05_C,BR,COMMON,Issun-Bōshi,Issun-Bōshi,CHARACTER,AVVENTURIERO,1,1,0,0,2,,{D} : Il prossimo personaggio che giochi in questo turno ottiene 1 rinforzo. (Scartami dalla Riserva per giocare questa azione.),,,,,,,,,,,,,,
