trk_id,str_to_translate,context,fr_FR,es_ES,it_IT,de_DE,LOCK
416883,"#$<FLEETING>.#  #All Characters in target Expedition# gain <ASLEEP>. (This only affects one player's Characters. During Dusk, ignore their statistics. During Rest, they don't go to Reserve and they lose Asleep.)",LY_Rare_TwinkleTwinkle,"#$<FLEETING>.#  #Chaque Personnage dans l'Expédition ciblée# gagne <ASLEEP>. (Cela affecte les personnages d'un seul joueur. Au Crépuscule, ignorez leurs statistiques. Au Repos, ils ne vont pas en Réserve et ils perdent Endormi.)","#$<FLEETING>.#  #Todos los personajes de la expedición objetivo# ganan <ASLEEP>. (Esto afecta solo a los personajes de un mismo jugador. Durante el anochecer, ignora sus estadísticas. Durante el descanso, no va a la reserva y pierde sueño.)","#$<FLEETING>.#  #Tutti i personaggi in una spedizione bersaglio# ottengono <ASLEEP>. (Si applica solo ai personaggi di un giocatore. Durante il crepuscolo, ignora le sue statistiche. Durante il riposo, non va nella Riserva e perde Dormiente.)","#$<FLEETING>.#  #Alle Charaktere in einer Expedition deiner Wahl# erhalten <ASLEEP>. (Dies betrifft nur die Charaktere eines Spielers. Am Abend ignoriere seine Statistiken. Während der Ruhepause geht er nicht in die Reserve und verliert Schlafend.)",1
416909,"#$<FLEETING>.#  Target Character gains #2 boosts# and loses <FLEETING_CHAR>.",BR_Rare_HelpingHand,"#$<FLEETING>.#  Un Personnage ciblé gagne #2 boosts# et perd <FLEETING_CHAR>.","#$<FLEETING>.#  Un personaje objetivo gana #2 potenciadores# y pierde <FLEETING_CHAR>.","#$<FLEETING>.#  Un personaggio bersaglio ottiene #2 rinforzi# e perde <FLEETING_CHAR>.","#$<FLEETING>.#  Ein Charakter deiner Wahl erhält #2 Verstärkungen# und verliert <FLEETING_CHAR>.",1
416910,#$<SEASONED>.#,BR_Rare_Kappa,#$<SEASONED>.#,#$<SEASONED>.#,#$<SEASONED>.#,#$<SEASONED>.#,1
416904,"#$<SEASONED_ME_FS>.#  #{H} You may pay {2} to have me gain 1 boost.#",BR_Rare_BravosPathfinder,"#$<SEASONED_ME_FS>.#  #{H} Vous pouvez payer {2} pour que je gagne 1 boost.#","#$<SEASONED_ME_FS>.#  #{H} Puedes pagar {2} para que gane 1 potenciador.#","#$<SEASONED_ME_FS>.#  #{H} Puoi pagare {2} per farmi ottenere 1 rinforzo.#","#$<SEASONED_ME_FS>.#  #{H} Du darfst {2} bezahlen, damit ich 1 Verstärkung erhalte.#",1
346017,#$<TOUGH_1>.#,BR_Rare_Shenlong,#$<TOUGH_1>.#,#$<TOUGH_1>.#,#$<TOUGH_1>.#,#$<TOUGH_1>.#,1
416898,#$<TOUGH_2>.#,BR_Rare_Achilles,#$<TOUGH_2>.#,#$<TOUGH_2>.#,#$<TOUGH_2>.#,#$<TOUGH_2>.#,1
416730,"#$<TOUGH_2>.#  At Noon — Target Expedition moves forward one region.",OD_Rare_GrandEndeavor,"#$<TOUGH_2>.#  À Midi — L'Expédition ciblée avance d'une région.","#$<TOUGH_2>.#  Al mediodía — Una expedición objetivo avanza una región.","#$<TOUGH_2>.#  A mezzogiorno — Una spedizione bersaglio avanza di una regione.","#$<TOUGH_2>.#  Zum Mittag — Eine Expedition deiner Wahl bewegt sich eine Region vorwärts.",1
416856,"#<FLEETING>.#  Target Character gains <FLEETING_CHAR>. (If it would be sent to Reserve, discard it instead.)  #Draw a card.#",LY_Rare_ACappellaTraining,"#<FLEETING>.#  Un Personnage ciblé gagne <FLEETING_CHAR>. (S'il devait être envoyé en Réserve, défaussez-le à la place.)  #Piochez une carte.#","#<FLEETING>.#  Un personaje objetivo gana <FLEETING_CHAR>. (Si fuese a ir a la reserva, en vez de eso, descártalo.)  #Roba una carta.#","#<FLEETING>.#  Un personaggio bersaglio ottiene <FLEETING_CHAR>. (Se sta per finire nella Riserva, scartalo invece.)  #Pesca una carta.#","#<FLEETING>.#  Ein Charakter deiner Wahl erhält <FLEETING_CHAR>. (Falls er in die Reserve geschickt werden soll, lege ihn stattdessen ab.)  #Ziehe eine Karte.#",1
416807,"#At Noon — Draw a card.#",MU_Rare_Inari,"#À Midi — Piochez une carte.#","#Al mediodía — Roba una carta.#","#A mezzogiorno — Pesca una carta.#","#Zum Mittag — Ziehe eine Karte.#",1
416741,"#Cards# your opponents play cost {1} more.",OD_Rare_RobinHood,"Les #cartes# jouées par vos adversaires coûtent {1} de plus.","#Las cartas# que jueguen tus oponentes cuestan {1} más.","Le #carte# giocate dai tuoi avversari costano {1} in più.","#Karten#, die deine Gegner spielen, kosten {1} mehr.",1
416735,"#I am $<DEFENDER> unless you control two or more other Bureaucrats.#",OD_Rare_MonolithArchivist,,,,,0
416872,"#If you would roll a die, you may add 1 to its result.# (Choose after you see the result.)",LY_Rare_Martengale,"#Si vous deviez lancer un dé, vous pouvez ajouter 1 au résultat.# (Choisissez après avoir vu le résultat.)","#Si fueses a tirar un dado, puedes sumar 1 a su resultado.# (Eliges si quieres hacerlo después de ver el resultado.)","#Se stai per lanciare un dado, puoi aggiungere 1 al risultato.# (Scegli dopo aver visto il risultato.)","#Falls du würfeln würdest, darfst du 1 zum Ergebnis addieren#. (Wähle, nachdem du das Ergebnis gesehen hast.)",1
416692,"#When I'm sacrificed — You may have target Character gain 2 boosts.#",YZ_Rare_YzmirStargazer,"#Lorsque je suis sacrifiée — Vous pouvez faire gagner 2 boosts au Personnage ciblé.#","#Cuando me sacrifiques — Puedes hacer que un personaje objetivo gane 2 potenciadores.#","#Quando mi sacrifichi — Puoi far ottenere a un personaggio bersaglio 2 rinforzi.#","#Wenn ich geopfert werde — Ein Charakter deiner Wahl darf 2 Verstärkungen erhalten.#",1
416948,"#When a Robot joins your Expeditions — You may sacrifice me to give it 2 boosts.#  When I'm sacrificed, if I was not <FLEETING> — Put me in Reserve.",AX_Rare_MoonlightJellyfish,,,,,0
341687,"#{1}#, {T} : Draw a card.",OD_Rare_KelonicGenerator;AX_Rare_KelonicGenerator,"#{1}#, {T} : Piochez une carte.","#{1}#, {T}: Roba una carta.","#{1}#, {T}: pesca una carta.","#{1}#, {T} : Ziehe eine Karte.",1
416868,"#{D} : <RESUPPLY>.# (Put the top card of your deck in Reserve. Discard me from Reserve to do this.)",LY_Rare_LyraChronicler;LY_Rare_LyraNavigator;AX_Rare_LyraChronicler,"#{D} : <RESUPPLY>.# (Mettez la première carte de votre deck en Réserve. Défaussez-moi de la Réserve pour ça.)","#{D}: <RESUPPLY>.# (Coloca la primera carta de tu mazo en la reserva. Descártame de la reserva para hacer esto.)","#{D}: <RESUPPLY>.# (Metti la prima carta del tuo mazzo nella Riserva. Scartami dalla Riserva per giocare questa azione.)","#{D} : <RESUPPLY>.# (Lege die oberste Karte deines Decks in die Reserve. Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
416732,"#{D} : Activate the {j} abilities of target Permanent you control.# (Discard me from Reserve to do this.)",OD_Rare_JianAssemblyOverseer;AX_Rare_Inari;AX_Rare_JianAssemblyOverseer,,,,,0
416736,"#{D} : Create an <ORDIS_RECRUIT> Soldier token in target Expedition.# (Discard me from Reserve to do this.)",OD_Rare_MonolithLegate,"#{D} : Créez un jeton Soldat <ORDIS_RECRUIT> dans l'Expédition ciblée.# (Défaussez-moi de la Réserve pour ça.)","#{D}: Crea una ficha de soldado <ORDIS_RECRUIT> en una expedición objetivo.# (Descártame de la reserva para hacer esto.)","#{D}: crea una pedina Soldato <ORDIS_RECRUIT> in una spedizione bersaglio.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Erschaffe eine <ORDIS_RECRUIT>-Soldatenmarke in einer Expedition deiner Wahl.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
340302,"#{D} : Draw a card.# (Discard me from Reserve to do this.)",YZ_Rare_Sakarabru,"#{D} : Piochez une carte.# (Défaussez-moi de la Réserve pour ça.)","#{D}: Roba una carta.# (Descártame de la reserva para hacer esto.)","#{D}: pesca una carta.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Ziehe eine Karte.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
416792,"#{D} : Target Character with Hand Cost {3} or less gains <ANCHORED>.# (Discard me from Reserve to do this.)",MU_Rare_Aja;MU_Rare_Kodama;MU_Rare_Mowgli;MU_Rare_SonofYggdrasil;LY_Rare_Kodama,"#{D} : Un Personnage ciblé de Coût de Main {3} ou moins gagne <ANCHORED>.# (Défaussez-moi de la Réserve pour ça.)","#{D}: Un personaje objetivo con coste desde la mano de {3} o menos gana <ANCHORED>.# (Descártame de la reserva para hacer esto.)","#{D}: un personaggio bersaglio con costo dalla mano pari o inferiore a {3} ottiene <ANCHORED>.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Ein Charakter deiner Wahl mit Handkosten {3} oder weniger erhält <ANCHORED>.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
327547,"#{D} : The next Character you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect)",OD_Rare_Ozma,,,,,0
340308,"#{D} : The next Character you play this turn gains 1 boost.# (Discard me from Reserve to do this.)",OD_Rare_HavenWarrior;MU_Rare_MeditationTraining;BR_Rare_HavenTrainee;BR_Rare_HavenWarrior;BR_Rare_Kappa,"#{D} : Le prochain Personnage que vous jouez ce tour gagne 1 boost.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente personaje que juegues este turno gana 1 potenciador.# (Descártame de la reserva para hacer esto.)","#{D}: il prossimo personaggio che giochi in questo turno ottiene 1 rinforzo.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
416902,"#{D} : The next Character you play this turn gains 2 boosts.# (Discard me from Reserve to do this.)",BR_Rare_Atlas,"#{D} : Le prochain Personnage que vous jouez ce tour gagne 2 boosts.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente personaje que juegues este turno gana 2 potenciadores.# (Descártame de la reserva para hacer esto.)","#{D}: il prossimo personaggio che giochi in questo turno ottiene 2 rinforzi.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Der nächste Charakter, den du in dieser Runde spielst, erhält 2 Verstärkungen.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
416913,"#{D} : The next Character you play this turn loses <FLEETING>.# (Discard me from Reserve to do this.)",BR_Rare_LadyoftheLake,"#{D} : Le prochain Personnage que vous jouez ce tour perd <FLEETING>.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente personaje que juegues este turno pierde <FLEETING>.# (Descártame de la reserva para hacer esto.)","#{D}: il prossimo personaggio che giochi in questo turno perde <FLEETING>.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Der nächste Charakter, den du in dieser Runde spielst, verliert <FLEETING>.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
340312,"#{D} : The next Permanent you play this turn costs {1} less.# (Discard me from Reserve to do this.)",AX_Rare_TheFrogPrince,"#{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente permanente que juegues este turno cuesta {1} menos.# (Descártame de la reserva para hacer esto.)","#{D}: il prossimo permanente che giochi in questo turno costa {1} in meno.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
416676,"#{D} : The next Spell you play this turn costs {1} less.# (Discard me from Reserve to do this.)",YZ_Rare_OrdisCadets,"#{D} : Le prochain Sort que vous jouez ce tour coûte {1} de moins.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente hechizo que juegues este turno cuesta {1} menos.# (Descártame de la reserva para hacer esto.)","#{D}: la prossima magia che giochi in questo turno costa {1} in meno.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Der nächste Zauber, den du in dieser Runde spielst, kostet {1} weniger.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",1
