Creator;Hero;Description;Description Claude Revised;Deck Letter;Decklist_URL;Decklist
Cernnunos;Kauri & Puff;"A Kauri deck focused on animals. It's full of low-cost animals supported by Arawn for stat bursts. The Kauri card draw prevents you from getting too exhausted by playing a lot of low-costs. The other cards include Muna's classic spell set and good -mana animals. Special mention goes to the otter, which combos well with Pelican and caregiver.

The deck works well as a starter deck because, despite its animal focus, it offers a variety of effects (Ascend, Anchor, Tough, Sleep, Move to reserve, removal, etc.) while remaining fairly straightforward and not requiring many combos to function.";A low-cost animal-tribal deck built around Kauri's card draw ability to sustain a constant stream of cheap threats. The strategy is to flood the board with efficient animals, supported by Arawn for stat bursts, while Kauri's power prevents hand exhaustion from the high volume of plays. Classic Muna spells complement the creature suite, and the Otter provides a notable combo with Pelican and Caregiver for unexpected value generation. Despite its tribal focus, the deck covers a wide range of mechanics � Ascend, Anchor, Tough, Sleep, and removal � without requiring complex multi-card setups to function. It is a great starter deck for new players, offering a diverse toolkit within a straightforward and intuitive game plan.;Kauri A;https://www.altered.gg/decks/01KR4YGMFCNTZH9WSBR20Y9RPQ;"1 ALT_CYCLONE_B_MU_65_C
3 ALT_CYCLONE_B_YZ_72_R2
3 ALT_CYCLONE_B_MU_70_C
3 ALT_BISE_B_MU_57_R1
3 ALT_CYCLONE_B_MU_67_C
2 ALT_CYCLONE_B_MU_80_C
3 ALT_BISE_B_MU_60_C
3 ALT_CORE_B_MU_28_C
3 ALT_CYCLONE_B_MU_66_C
3 ALT_CYCLONE_B_OR_66_R2
2 ALT_DUSTER_B_MU_95_R1
2 ALT_CYCLONE_B_OR_79_R2
3 ALT_CORE_B_MU_04_C
3 ALT_BISE_B_MU_50_C
1 ALT_CORE_B_MU_26_C
2 ALT_ALIZE_B_MU_34_R1"
Cohlrabi;Kojo & Booda;"Hungry Hungry Kojo. 

This is just meant to be a straightforward Kojo as he is currently list. It shows off a lot of what current players are doing with the hero. 

The Hunger is a fun and splashy card that might excite new players, Fisherman is strong and has an interesting strategy, and rage in there to see players eyes light up when they realize they can hit Booda with it. ";A straightforward aggressive deck showcasing the best of Kojo's current toolkit. The strategy is to maintain pressure through powerful Bravos characters and key synergies, building toward The Hunger as a splashy and exciting game-ending threat that tends to captivate new players. Fisherman adds strategic depth through its resource manipulation, while Rage creates memorable moments by targeting Booda for unexpected board-wide effects. The deck reflects what experienced players are doing with Kojo in the current meta and works well as a showcase of the hero's strengths. It is accessible to newcomers while offering enough layers for experienced players to explore.;Kojo A;https://www.altered.gg/decks/01KR4YWCDKWY9YG3GDHTA1PRS2;"1 ALT_CORE_B_BR_01_C
3 ALT_BISE_B_YZ_56_R2
3 ALT_CORE_B_BR_05_C
3 ALT_CORE_B_BR_08_C
3 ALT_ALIZE_B_BR_32_C
3 ALT_CORE_B_BR_19_C
2 ALT_CORE_B_BR_26_R1
2 ALT_CORE_B_BR_29_R1
3 ALT_CYCLONE_B_BR_69_R1
3 ALT_CYCLONE_B_BR_70_C
3 ALT_CYCLONE_B_BR_80_C
2 ALT_CYCLONE_B_BR_81_R1
3 ALT_DUSTER_B_BR_89_C
3 ALT_DUSTER_B_BR_94_R1
3 ALT_COREKS_B_BR_07_C"
Arthour;Lindiwe & Maw;"Classic Lindiwe starter deck

Core strategy : 
Deal with high value opponent's cards with removal cards and ""after you"" cards, while winning expeditions with an army of mana moths and a highly boosted Maw.
This requires a good balance between sacrifice effects, low cost characters to sacrifice, removal cards, and of course the draw to get all these cards in hand.

Key synergies :
- Perfect balance between sacrifice effects and characters to sacrifice => sacrifice cards / effects (isba counted thrice, lantern counted twice).
9 cards / characters to sacrifice (jellyfish and armory counted twice, mana moths excluded because they only transfer stats)
- Chrysalis and mobile armory => moving forward with defenser characters
- After you with removal cards => Baba's isba and all the low cost characters provide enough tempo to handle many situations with the removal cards.

This decks works as a starter deck because it contains most of the main cards designed for Lindiwe, useful for the player to learn the basics.";A sacrifice-engine control deck built around Lindiwe's ability to generate boosts and draw through recurring character sacrifice. The game plan is to cycle low-cost characters as sacrifice fuel while using After You removal spells � enabled by Baba's Isba and cheap tempo plays � to neutralize the opponent's threats, ultimately winning expeditions with a massively boosted Maw. Chrysalis and Mobile Armory create a forward-advancing defender package, letting the deck push into expeditions safely. The deck contains the core cards designed for Lindiwe, making it an ideal introduction to all the mechanics she relies on. It is approachable for new players while rewarding those who learn to balance sacrifice fodder, removal triggers, and board advancement.;Lindiwe B;https://www.altered.gg/decks/01KR4ZEQSR3NCDR85MS0QFEEH5;"1 ALT_CORE_B_YZ_02_C
2 ALT_ALIZE_B_OR_45_R2
2 ALT_CORE_B_AX_21_R2
3 ALT_CORE_B_YZ_05_R1
3 ALT_CORE_B_YZ_20_C
3 ALT_ALIZE_B_YZ_33_C
2 ALT_CYCLONE_B_AX_73_R2
3 ALT_CORE_B_YZ_28_R1
2 ALT_ALIZE_B_YZ_42_C
3 ALT_ALIZE_B_YZ_44_R1
3 ALT_DUSTER_B_YZ_86_C
3 ALT_CORE_B_YZ_04_C
3 ALT_CORE_B_YZ_06_C
2 ALT_CYCLONE_B_YZ_72_C
3 ALT_CORE_B_YZ_21_C
2 ALT_BISE_B_YZ_51_C"
Lykel;Matz & Hive;This deck is a straightforward presentation of Matz, built around his even permanent curve. The goal is to learn how to place permanents and gradually build up your board while having characters that synergise with those permanents. The deck's purpose is clear: play Reunion and draw enough to reach it. The number of permanents may seem high, but it guarantees you can place one every turn and reliably trigger Matz's power.;A permanent-focused midrange deck built around Matz's ability to trigger value effects whenever a permanent is placed on an even-cost turn. The strategy is straightforward: play a permanent every turn along an even-cost curve, building a synergistic board of characters that benefit from each placement, and draw enough to reach Reunion as the deck's powerful finisher. The high permanent count ensures Matz's power fires reliably each turn without requiring complex setup or decision trees. Characters in the deck are all selected for their synergy with permanents, creating natural cohesion across every draw. This deck is an excellent introduction to Ordis permanent mechanics, teaching players the rhythmic, building play pattern that defines Matz.;Matz A;https://www.altered.gg/decks/01KR4ZPNBHWS73VJZE6FPZJGHZ;"1 ALT_DUSTER_B_OR_85_C
2 ALT_CYCLONE_B_AX_77_R2
3 ALT_DUSTER_B_OR_102_C
3 ALT_CORE_B_AX_28_R2
3 ALT_BISE_B_OR_59_C
2 ALT_ALIZE_B_OR_42_C
2 ALT_CYCLONE_B_AX_78_R2
2 ALT_DUSTER_B_OR_100_R1
3 ALT_DUSTER_B_OR_86_C
3 ALT_DUSTER_B_LY_102_R2
2 ALT_BISE_B_OR_54_C
2 ALT_BISE_B_OR_49_C
3 ALT_DUSTER_B_OR_92_C
2 ALT_DUSTER_B_OR_97_E
3 ALT_DUSTER_B_OR_101_R1
3 ALT_DUSTER_B_OR_90_C
1 ALT_DUSTER_B_OR_100_C"
Elfiris;Moyo & Silk;"This deck turns around two main mecanisms

. The power of Moyo with adapted amount of+ and+ spell
. Exhaust the opponent which an important Yzmir mecanism 

The goal is to be able to play the Flutter of moth as soon as possible.
That's why there is significant amount of card with cost reduction and Maleros.

The infirmary allows some after you and playing the flutter of moth faster.

The goal is also to show that Yzmir is here to control the opponent with some character and permanent removal and clutch BigSpell such as sakarabru's fury rare and Winter nova Rare.

The deck needs to draw and play BigSpell fast. The addition of card that can draw or gives manaseed is nice way to answer this problematic.

Hope you will enjoy it.

https://www.altered.gg/decks/0KQPF9ERHNBWDPZQARP706";A big-spell control deck built around Moyo's dual-axis strategy of boosting allies with exhaust spells while locking down opponents. The primary objective is to deploy Flutter of Moth as early as possible, using cost-reduction tools and Maleros to accelerate toward it. The Infirmary enables After You plays and speeds up the Moth's deployment, while the control suite � Sakarabru's Fury Rare and Winter Nova Rare � provides answers to threats and permanents. Card draw and mana seeds are critical to finding and fueling the big spells on time. This deck teaches players the Yzmir archetype of exhaustion control combined with expensive, high-impact spells, and is best suited for players comfortable planning several turns ahead.;Moyo B;https://www.altered.gg/decks/01KR5013XGPY31CHKHTCJ9RY34;"1 ALT_CYCLONE_B_YZ_65_C
3 ALT_CYCLONE_B_YZ_68_C
3 ALT_DUSTER_B_YZ_92_C
3 ALT_ALIZE_B_YZ_39_C
3 ALT_DUSTER_B_YZ_101_C
3 ALT_CYCLONE_B_YZ_78_C
2 ALT_DUSTER_B_YZ_94_E
3 ALT_DUSTER_B_YZ_102_R1
2 ALT_CYCLONE_B_YZ_80_R1
1 ALT_ALIZE_B_YZ_37_R1
3 ALT_DUSTER_B_AX_98_R2
3 ALT_CYCLONE_B_YZ_75_R1
2 ALT_CORE_B_YZ_21_C
2 ALT_CORE_B_YZ_24_C
3 ALT_ALIZE_B_YZ_43_R1
3 ALT_DUSTER_B_YZ_91_C"
NyanKoro;Nadir & Bubbles;"forcus on nadir eff to draw forest maker and water marker
move enermy back to where you have strong start
and make them contact to do thing
use character forcus on forest and water start 
help player learn nadir is fund hero to play :D (not hard to learn but hard to master)";A terrain-manipulation deck built around Nadir's ability to place Forest and Water landmarks and draw cards from them. The strategy is to create favorable starting positions using Forest Maker and Water Marker, force opponents to contest terrain where the deck has natural advantages, and generate consistent card advantage through Nadir's hero power. The creature suite focuses on forest and water synergies, amplifying the value of each landmark placed. The deck is a great introduction to Lyra's terrain-based game plan, offering a clear and intuitive loop that rewards positional thinking. While the basics are easy to grasp, true mastery of Nadir's landmark placement offers significant room for improvement.;Nadir B;https://www.altered.gg/decks/01KR50XN89WX4SEANAA2898E4X;"1 ALT_CYCLONE_B_LY_65_C
3 ALT_DUSTER_B_LY_102_R1
3 ALT_DUSTER_B_LY_86_R1
3 ALT_DUSTER_B_LY_94_R1
3 ALT_DUSTER_B_LY_97_C
3 ALT_CYCLONE_B_LY_71_C
3 ALT_DUSTER_B_LY_101_R1
3 ALT_CYCLONE_B_LY_69_C
3 ALT_CYCLONE_B_LY_68_C
3 ALT_CYCLONE_B_LY_72_R1
3 ALT_CYCLONE_B_LY_79_C
3 ALT_CORE_B_LY_23_C
3 ALT_CORE_B_LY_24_C
3 ALT_ALIZE_B_LY_35_C"
Knightsong;Nevenka & Blotch;"The core strategy is to play aggressively, using low-cost creatures with good stats or effects to win expeditions and maintain tempo in combination with Nevenka's ability to boost/anchor your best cards when needed.

The key card in this deck is rare Martengale to avoid Nevenka's ability's downside but the card can also be used to buff other dice rolls such as Trickster, Snowball Commando, or Lyra Signet. 

Another key synergy are the return to hand effects from Inkcaster, Hathor, and Reka Guide, which can provide hand advantage while also cycling your key cards for their effects or lower hand cost.

For a starting hand, you want to look for a 1-cost card to play like Martengale or Magical Training and then a card like Inkcaster or Hathor to compete for expeditions while also being able to bounce back another card later for early tempo.

This works as a starter deck because it highlights the strongest aspect of Nevenka, using her hero ability to sneak expeditions wins at the last moment or anchor valuable cards. It also has a lot of synergy for the dice rolling theme that draws people to her in the first place, while aiming to keep the consequences of unlucky rolls to a minimum so that new players aren't discouraged by the mechanic.

The cards in this deck were all chosen for their synergies and relative ease of use and understanding. While there are certain synergy plays possible in this deck, a new player could also just as easily play out cards however they wish and will still be able to net value out of them. Cards are all 2x copies or above for simplicity and consistency.

The spells were selected so that a player will generally have viable options available to them to either gain more card advantage and maintain tempo or remove a key element from the opponent.

The deck also features at least one card from each of the first five sets, giving new players a glimpse into the breadth of the Altered game and universe, but without adding too many complicated mechanics at once.";An aggressive tempo deck built around Nevenka's dice-rolling hero power, which boosts or anchors key characters at critical moments. The strategy is to win expeditions with efficient low-cost creatures while using Nevenka's ability to push for late-game expedition steals or lock down valuable characters. Rare Martengale neutralizes the downside of the hero power while also buffing other dice-roll cards like Trickster and Snowball Commando, and return-to-hand effects from Inkcaster, Hathor, and Reka Guide recycle key pieces for repeated value. All cards are run at two or more copies for consistency, and no card requires complex setup, keeping decision trees simple for new players. This deck is an ideal introduction to Nevenka, showcasing her dice-roll theme while minimizing the impact of unlucky rolls.;Nevenka D;https://www.altered.gg/decks/01KR516BMNDQH329TEK2S90GZP;"1 ALT_CORE_B_LY_01_C
3 ALT_COREKS_B_LY_04_R1
2 ALT_CYCLONE_B_LY_66_C
3 ALT_COREKS_B_YZ_07_R2
3 ALT_ALIZE_B_LY_32_C
3 ALT_COREKS_B_LY_10_R1
2 ALT_DUSTER_B_LY_87_C
2 ALT_COREKS_B_LY_07_C
2 ALT_COREKS_B_LY_09_C
2 ALT_DUSTER_B_MU_95_R2
2 ALT_CORE_A_YZ_19_R2
2 ALT_COREKS_B_LY_23_C
2 ALT_CYCLONE_A_LY_78_C
2 ALT_BISE_B_LY_60_C
2 ALT_COREKS_B_LY_24_C
2 ALT_CYCLONE_B_BR_81_R2
3 ALT_COREKS_B_LY_06_C
2 ALT_COREKS_B_LY_11_C"
Oriazzz;Rin & Orchid;"The idea is to play lots of good characters with over stats in forest biomes. There are many 3-mana cards to optimize the anchor abilities. Aloe Vera is a great engine in this deck. It can stay on board all game and make you win pretty easily.

The ascend package gives punch to take early 2-0 or end game.

All that can be anchored by muna botanist and anchor-support cards.

You can build your hand with Rin power by making anchor support or Coppelia going to reserve. If you haven't these you can filter your hand based on the match-up. 

Attention was made on putting some of the most played muna cards of each set. 
- Set 1 : Aloe Vera
- Set 2 : floral tent
- Set 3 : Requiem
- Set 4 : Cuckoo / Gargoyle
- Set 5 : Muna botanist

To sum-up : it's a easy-to-play deck with a great learning curve due to the improvement you will make by adapting to match ups and make a great use of Rin hero power. ";A forest-anchor midrange deck built around placing over-statted characters in forest biomes and protecting them through Rin's hero power. The strategy is to establish a dominant board using 3-mana characters that anchor well, lock down key pieces with Muna Botanist and anchor-support effects, and use Aloe Vera as a persistent value engine that stays on board all game. The Ascend package provides early-game punch for quick 2-0 openings or a decisive late push, while Rin's hero power filters the hand for the right answer in any matchup. The deck includes signature Muna cards from Sets 1�5, giving new players a broad introduction to the faction's toolkit. It is easy to pick up and rewards players who invest in adapting their play to different matchups.;Rin D;https://www.altered.gg/decks/01KR51CWMB87JYCCBZ7EP571VS;"1 ALT_CORE_B_MU_03_C
3 ALT_CYCLONE_B_OR_71_R2
2 ALT_ALIZE_B_MU_33_R1
2 ALT_CORE_B_MU_28_C
2 ALT_BISE_B_MU_60_C
3 ALT_CYCLONE_B_MU_70_C
3 ALT_DUSTER_B_MU_88_R1
3 ALT_CYCLONE_B_MU_66_C
3 ALT_CORE_B_MU_13_C
3 ALT_CORE_B_MU_04_C
2 ALT_CYCLONE_B_MU_68_C
3 ALT_ALIZE_B_MU_44_C
3 ALT_DUSTER_B_MU_89_C
2 ALT_COREKS_B_AX_14_R2
2 ALT_CYCLONE_B_OR_67_R2
3 ALT_COREKS_B_MU_16_R1"
VaderMIB;Sierra & Oddball;"Sierra robots.
Sierra has always be associated primarily with the Hive, together with robots. She sinergizes with permanents and robots.
So, the core of the deck remains the Hive, which is here to be set up as early as possible and can win games almost by itself. It is the undisputed emblem of Sierra.
The deck works around robots, with lunar medusa, most precious after you robot ally.
Foundry armorer is one of the best starting card. And she makes robots.
The other side of the deck works around drawing capabilities : hooked (draw and expedition win, another Axiom emblem cards), abandoned depot.
Science fair is a great sinergy with permanents: put one in r�serve, draw and play it.
Mechanical training works with hive, depot and bug-out bag for cheap bodies or draw.
The rest of the deck uses the bunch of other powerful robots.";A robot-synergy permanents deck built around Sierra's ability to generate value from a network of robots and key Axiom permanents. The Hive is the deck's centerpiece � set up as early as possible, it can single-handedly win games while anchoring the entire robot strategy. Foundry Armorer is the best turn-one play, producing robots and enabling Lunar Medusa's powerful After You effect, while Hooked and Abandoned Depot provide card draw and expedition control. Science Fair and Mechanical Training round out the synergy package, turning the Hive, Depot, and Bug-Out Bag into efficient draw engines or cheap body generators. This deck is an excellent showcase of Axiom's distinctive robot and permanent synergy, and is approachable for players learning how to manage complex board states.;Sierra A;https://www.altered.gg/decks/01KR51P1QMSKFB5XG22HV99PPR;"1 ALT_CORE_B_AX_01_C
3 ALT_COREKS_B_AX_30_R1
3 ALT_COREKS_B_AX_20_R1
3 ALT_COREKS_B_AX_16_R1
3 ALT_DUSTER_B_AX_86_C
3 ALT_COREKS_B_YZ_05_R2
3 ALT_CYCLONE_B_AX_79_C
3 ALT_BISE_B_AX_62_C
3 ALT_COREKS_B_AX_22_C
1 ALT_ALIZE_B_YZ_42_R2
3 ALT_BISE_B_AX_51_C
2 ALT_BISE_B_AX_53_R1
3 ALT_COREKS_B_AX_07_C
2 ALT_DUSTER_B_AX_96_C
2 ALT_DUSTER_B_AX_100_C
2 ALT_CYCLONE_B_AX_80_C"
Rinku;Sigismar & Wingspan;"Relentless aggressive deck.
Reka Investor is your best turn one play, since the mana seed can represent Soar or Ordis Trooper every turn after that.
The Sandman will win you a lot of late games.
Use ascend to push through tough spots.
Has at least 1 card from each of Set 1-5";A relentless aggro deck built around Sigismar's Ascend power and a fast, linear offense from turn one. The strategy is to apply immediate pressure with Reka Investor as the ideal opening play, whose mana seed then fuels Soar or Ordis Trooper every subsequent turn for a continuous aggressive curve. Ascend effects push through defensive setups during tough expeditions, while The Sandman provides a reliable late-game closer when the board is close. The deck features at least one card from each of Sets 1�5, giving new players a broad overview of Ordis's offensive toolkit. It is a straightforward and punishing deck that teaches the value of early tempo and consistent aggression.;Sigismar C;https://www.altered.gg/decks/01KR51YZFHY0R6EDGBHC18MYH0;"1 ALT_CORE_B_OR_01_C
3 ALT_CORE_B_OR_05_R1
3 ALT_CYCLONE_B_OR_67_C
3 ALT_CYCLONE_B_OR_71_C
3 ALT_CORE_B_OR_16_R1
3 ALT_CORE_B_LY_15_R2
3 ALT_DUSTER_B_OR_92_R1
3 ALT_BISE_B_OR_54_C
2 ALT_CORE_B_OR_24_C
2 ALT_BISE_B_OR_59_C
3 ALT_BISE_B_OR_49_C
3 ALT_CYCLONE_B_OR_66_C
1 ALT_CORE_B_YZ_20_R2
1 ALT_ALIZE_B_OR_42_C
3 ALT_CORE_B_OR_09_C
2 ALT_CYCLONE_B_OR_79_R1
1 ALT_ALIZE_B_OR_44_C"
Lyrael;Sol & Halua;Introduce the different mechanics in order to finish your turn before the opponent and activate Halua as quickly and as often as possible.;A tempo deck built around finishing turns ahead of the opponent to repeatedly trigger Sol's companion Halua for board-wide effects. The strategy is to leverage a suite of mechanics � cost reduction, After You, and efficient characters � to end turns first as consistently as possible throughout the game. The deck is densely packed with creatures that have strong stats or relevant effects, ensuring Halua's triggers always generate meaningful value. Effective hand and mana management are the keys to activating the hero combo reliably, making good resource decisions more important than complex sequencing. This deck is an ideal introduction to Bravos' tempo-driven playstyle, teaching players the critical skill of tracking turn order and managing actions to maximize their hero power.;Sol A;https://www.altered.gg/decks/01KR523ZDS0CYKKCZFTF77EZCC;"1 ALT_CYCLONE_B_BR_65_C
3 ALT_CYCLONE_B_BR_81_R1
3 ALT_CYCLONE_B_OR_80_R2
3 ALT_DUSTER_B_BR_88_C
3 ALT_DUSTER_B_BR_98_E
3 ALT_CYCLONE_B_BR_67_C
3 ALT_CYCLONE_B_BR_66_C
3 ALT_CYCLONE_B_BR_73_R1
3 ALT_CYCLONE_B_BR_77_C
3 ALT_CORE_B_BR_17_R1
3 ALT_ALIZE_B_BR_40_C
3 ALT_CYCLONE_B_BR_75_R1
3 ALT_BISE_B_BR_61_C
3 ALT_CYCLONE_B_BR_71_C"
Netjery;Subhash & Marmo;This deck combines aggression, robot synergies, and draw power to maintain constant pressure without running out of steam. Its many management cards and solid After You effects let it keep the advantage from the first turns. Fairly accessible, it nonetheless requires good CA and tempo management. Its learning curve helps players discover how to play Altered.;An aggressive robot deck built around Subhash's ability to combine constant pressure with robot synergies and powerful draw tools. The strategy is to apply early aggression using efficient robot characters while maintaining hand advantage through draw effects and After You triggers, never allowing the opponent to stabilize. Strong card advantage management cards ensure the pressure never runs dry, and the After You suite provides flexible answers without sacrificing tempo. The deck is accessible to new players but rewards those who develop a feel for card and tempo management. It is a solid introduction to Axiom's aggressive side and teaches foundational Altered concepts of board presence, resource efficiency, and action advantage.;Subhash C;https://www.altered.gg/decks/01KR52B0C9H6ZK8XBB6FSMGJ1B;"1 ALT_CORE_B_AX_03_C
3 ALT_DUSTER_B_AX_86_C
3 ALT_DUSTER_B_AX_96_C
3 ALT_DUSTER_B_AX_98_C
1 ALT_CYCLONE_B_AX_77_C
3 ALT_CYCLONE_B_AX_79_R1
3 ALT_BISE_B_AX_53_R1
3 ALT_BISE_B_AX_62_C
3 ALT_ALIZE_B_AX_40_C
1 ALT_ALIZE_B_AX_42_R1
3 ALT_CORE_B_AX_05_R1
3 ALT_CORE_B_AX_06_C
3 ALT_CORE_B_AX_20_R1
3 ALT_CORE_B_AX_22_C
2 ALT_CORE_B_AX_28_C
2 ALT_CORE_B_YZ_05_R2"
Floboum;Teija & Nauraa;"The list builds on the original starter concept, adding a few useful cards from the various sets.
We play plants that anchor when they enter play, to benefit longer from the boost Teija gives them, as well as their very interesting ""At Noon"" effects, and we grow them as the game progresses.
The idea is to set up one of our resupply engines � Aloe, or Grape Harvester boosted by Teija + Ogun or Spindle � to recover an extra card into reserve each turn, notably the Druid or the Healer who have a Support effect to re-anchor one of our characters.
The Rare Spindle, the deck's key card, protects our units while boosting one of them that remains in play each turn.
The deck is built around one of the Muna faction's flagship concepts: Anchoring.
And Teija seems to me the best hero to showcase its full potential, allowing the boost she grants to the first character played each day to have an impact across multiple days.";An anchoring plant deck built around Teija's ability to boost the first character played each day, maximizing its impact across multiple turns through persistent anchoring. The strategy is to play plants that anchor on entry, then set up resupply engines � Aloe Vera or Grape Harvester boosted by Teija plus Ogun or Spindle � to recover extra cards into reserve each turn via Druid or Healer's Support effect, re-anchoring characters repeatedly. Rare Spindle is the deck's key card, protecting characters while boosting one each turn it remains in play, and the overall loop showcases Muna's flagship mechanic: Anchoring. The deck builds on the original starter concept with cards from multiple sets, offering a natural progression of tools. It is a rewarding introduction to Muna's long-game value engine for players who enjoy setting up and executing a cohesive strategy.;Teija E;https://www.altered.gg/decks/01KR52FYNSYQH1AYB69310DTMT;"1 ALT_CORE_B_MU_01_C
3 ALT_CORE_B_MU_30_R1
3 ALT_CORE_B_MU_06_R1
2 ALT_CORE_B_MU_28_C
3 ALT_CORE_B_MU_16_R1
2 ALT_BISE_B_MU_50_C
3 ALT_CORE_B_MU_15_C
2 ALT_BISE_B_MU_60_C
3 ALT_ALIZE_B_MU_44_C
3 ALT_CORE_B_MU_04_C
3 ALT_CORE_B_MU_13_C
2 ALT_DUSTER_B_MU_98_C
2 ALT_CORE_B_MU_25_C
3 ALT_CORE_B_MU_08_R1
3 ALT_COREKS_B_AX_06_R2
2 ALT_CYCLONE_B_MU_70_C"
Rinku;Treyst & Rossum;"Tries to get the 5 scrap counters as soon as possible.
Utilizies Hooked! to trade 1-1 while gaining card advantage.
A variety of -> effects with Gibil can help you gain an advantage in the late game.
Very clear what the game plan is.
Has a few 1s to keep the opponent on their toes.
Has cards from Set 1-5";A scrap-engine deck built around Treyst's ability to convert accumulated scrap counters into powerful recurring effects. The primary game plan is to reach five scrap counters as quickly as possible, using Hooked to trade favorably while generating card advantage along the way. Gibil's scrap-triggered effects then take over in the late game, turning each counter into a board-wide swing that is difficult for opponents to recover from. The game plan is clear and linear, making in-game decisions straightforward even for new players. The deck includes cards from Sets 1�5, offering a good overview of Axiom's scrap tools and teaching the fundamentals of resource accumulation and patience-based win conditions.;Treyst C;https://www.altered.gg/decks/01KR52Q1EBN1QNYCTNS8H0G4JX;"1 ALT_CORE_B_AX_02_C
3 ALT_BISE_B_AX_49_C
3 ALT_ALIZE_B_AX_41_C
3 ALT_CORE_B_AX_08_R1
1 ALT_CORE_B_AX_26_R1
3 ALT_CYCLONE_B_AX_70_C
1 ALT_CYCLONE_B_AX_77_C
3 ALT_BISE_B_AX_53_R1
3 ALT_CORE_B_AX_04_C
3 ALT_CORE_B_AX_20_R1
3 ALT_CORE_B_BR_30_R2
1 ALT_ALIZE_B_AX_42_C
3 ALT_CORE_B_AX_11_C
1 ALT_CORE_B_LY_13_R2
1 ALT_DUSTER_B_AX_98_C
2 ALT_ALIZE_B_AX_40_C
1 ALT_CORE_B_AX_28_R1
2 ALT_BISE_B_AX_62_C
2 ALT_CORE_B_AX_07_C"
Psyno;Turuun & Benih;"Main strategy: Install Grand Bois or the Fouisseur, grow them and maintain them.

Key pieces: Grand Bois and Fouisseur, which will grow easily.
Ways to anchor: Druid, Healer, Botanist, Magical Training.
A bit of control: Requiem and Sleep.
Protection for Grand Bois with Kauri's Intervention.
Picnic Air, Vixen and Dapeng to add stats.
Coucou can relay boosts or be placed opposite Grand Bois, since opponents often prefer to play on the other side.

Always a fairly simple and fun deck. Makes good use of the hero power.";A grow-and-anchor midrange deck built around installing Grand Bois or the Fouisseur early and protecting them while they snowball in stats. The strategy is to anchor key characters using Druid, Healer, Botanist, and Magical Training, then layer in stat boosts from Picnic Air, Vixen, and Dapeng to create an insurmountable board presence. Requiem and Sleep provide interaction for opposing threats, and Kauri's Intervention shields Grand Bois from removal at critical moments. Coucou is a versatile tool that relays boosts or bait opponents into the less favorable expedition. The deck is straightforward and enjoyable, making great use of Turuun's hero power and providing a clear, satisfying game plan that is easy for new players to execute.;Turuun A;https://www.altered.gg/decks/01KR52SM6EY7PFD4K52TJ318ZM;"1 ALT_DUSTER_B_MU_85_C
3 ALT_DUSTER_B_MU_95_R1
3 ALT_DUSTER_B_MU_88_C
3 ALT_CORE_B_MU_13_C
3 ALT_CORE_B_MU_04_C
3 ALT_BISE_B_MU_56_R1
3 ALT_BISE_B_MU_49_R1
2 ALT_CYCLONE_B_MU_75_R1
2 ALT_CORE_B_MU_28_C
2 ALT_CORE_B_AX_22_R2
2 ALT_BISE_B_MU_60_C
1 ALT_BISE_B_MU_53_C
2 ALT_DUSTER_B_MU_96_E
3 ALT_BISE_B_MU_51_C
2 ALT_BISE_B_LY_61_R2
2 ALT_DUSTER_B_MU_100_C
3 ALT_CYCLONE_B_MU_70_C"
Cernnunos;Waru & Mack;"Waru cosplaying turuun ... Ok this sounds a bit weird, but Waru is a Hero would can profit a lot from Quetzal. And surprisingly Ordis have cards like Gran Bwa, picnic, souvenir seller and the snow maiden... 
With a good amount of draw the deck can quickly search piece of combo to unleash an absurd board in late game

The deck don't really embody waru's gameplay at first glance ... but setting up some floodgates card like Gran bwa and quetzal and create value from card that stays an extra turn ... seems ""waru"" enough for me. And it's a bit easier to play than heavy control.
";A late-game combo deck built around Waru's hero ability using a Turuun-style strategy centered on Quetzal and Ordis growth cards. The strategy is to set up floodgate permanents like Gran Bwa and Quetzal that generate compounding value from characters staying on board an extra turn, then leverage Ordis synergies through Picnic, Souvenir Seller, and Snow Maiden to fuel the engine. Strong card draw accelerates the search for combo pieces and allows the deck to build an overwhelming board presence in the late game. While the deck does not initially look like a traditional Waru build, the value-from-extension playstyle is a natural fit for the hero's kit. It is easier to pilot than heavy control builds and is a great introduction to Waru's unique take on the Ordis value-generation archetype.;Waru A;https://www.altered.gg/decks/01KR537WF96ZKEAP9EGF08DGPK;"1 ALT_CORE_B_OR_02_C
3 ALT_DUSTER_B_MU_100_R2
3 ALT_BISE_B_MU_56_R2
3 ALT_CORE_B_OR_18_R1
3 ALT_CORE_B_OR_16_R1
3 ALT_DUSTER_B_OR_87_C
2 ALT_BISE_B_OR_61_C
2 ALT_ALIZE_B_MU_39_R2
2 ALT_ALIZE_B_OR_40_C
1 ALT_ALIZE_P_OR_48_R1
3 ALT_BISE_B_OR_54_C
2 ALT_BISE_B_OR_59_C
3 ALT_CORE_B_OR_08_C
2 ALT_CORE_B_OR_24_C
2 ALT_COREKS_B_OR_05_C
3 ALT_ALIZE_B_OR_44_C
2 ALT_ALIZE_B_OR_43_C"
