ID,ID Base,Faction,Alteration,Name,Name ES,Type,Sub-Type,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effect,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Rare dans les precos ?
ALT_CORE_B_AX_11_R2,ALT_CORE_B_AX_11_C,OR,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} Gano 1 potenciador.#,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_12_C,ALT_CORE_B_AX_12_C,AX,COMMON,Three Little Pigs,Los tres cerditos,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Si controlas dos hitos o más, gano 1 potenciador$[BB]. (Las cartas de la reserva no las controla nadie.)",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_12_R1,ALT_CORE_B_AX_12_C,AX,RARE,Three Little Pigs,Los tres cerditos,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Si controlas dos hitos o más, gano #2 potenciadores$[BB]#. (Las cartas de la reserva no las controla nadie.)",,,,,,,,,,,,,,,1
ALT_CORE_B_AX_12_R2,ALT_CORE_B_AX_12_C,BR,RARE,Three Little Pigs,Los tres cerditos,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Si controlas #un# hito o más, gano 1 potenciador.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_13_C,ALT_CORE_B_AX_13_C,AX,COMMON,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} Puedes colocar una carta de tu mano en la reserva. Si es un permanente, roba una carta.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_13_R1,ALT_CORE_B_AX_13_C,AX,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,#2#,1,{R} Puedes colocar una carta de tu mano en la reserva #para robar una carta#.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_13_R2,ALT_CORE_B_AX_13_C,YZ,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} Puedes colocar una carta de tu mano en la reserva. Si es un #hechizo#, roba una carta.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_14_C,ALT_CORE_B_AX_14_C,AX,COMMON,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,2,2,0,Cuando voy a la reserva desde tu mano — Puedes jugarme sin coste y gano $[ASLEEP].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_14_R1,ALT_CORE_B_AX_14_C,AX,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,Cuando voy a la reserva desde tu mano — Puedes jugarme sin coste y gano $[ASLEEP].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_14_R2,ALT_CORE_B_AX_14_C,MU,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,Cuando voy a la reserva desde tu mano — Puedes jugarme sin coste y gano $[ASLEEP].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_15_C,ALT_CORE_B_AX_15_C,AX,COMMON,Axiom Scrambler,Codificadora de Axiom,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_15_R1,ALT_CORE_B_AX_15_C,AX,RARE,Axiom Scrambler,Codificadora de Axiom,CHARACTER,ENGINEER,#3#,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,1
ALT_CORE_B_AX_15_R2,ALT_CORE_B_AX_15_C,MU,RARE,Axiom Scrambler,Codificadora de Axiom,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_16_C,ALT_CORE_B_AX_16_C,AX,COMMON,Foundry Armorer,Blindadora de la Fundición,CHARACTER,ENGINEER,3,3,2,2,2,{R} Crea una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_16_R1,ALT_CORE_B_AX_16_C,AX,RARE,Foundry Armorer,Blindadora de la Fundición,CHARACTER,ENGINEER,3,3,2,2,2,#{J}# Crea una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_16_R2,ALT_CORE_B_AX_16_C,BR,RARE,Foundry Armorer,Blindadora de la Fundición,CHARACTER,ENGINEER,#2#,3,2,2,2,{R} Crea una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_17_C,ALT_CORE_B_AX_17_C,AX,COMMON,Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,3,3,3,3,{R} Puedes activar los efectos disparados {j} de un permanente objetivo que controles.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_17_R1,ALT_CORE_B_AX_17_C,AX,RARE,Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,{R} Puedes activar los efectos disparados {j} de un permanente objetivo que controles.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_17_R2,ALT_CORE_B_AX_17_C,LY,RARE,Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,{R} Puedes activar los efectos disparados {j} de un permanente objetivo que controles.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_18_C,ALT_CORE_B_AX_18_C,AX,COMMON,Athena,Atenea,CHARACTER,DEITY,5,3,3,4,4,"{R} Si controlas dos hitos o más, pierdo [FLEETING_CHAR].",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_18_R1,ALT_CORE_B_AX_18_C,AX,RARE,Athena,Atenea,CHARACTER,DEITY,5,3,3,4,4,"#{H} Si controlas dos hitos o más, gano 2 potenciadores.#  {R} Si controlas dos hitos o más, pierdo [FLEETING_CHAR].",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_18_R2,ALT_CORE_B_AX_18_C,OR,RARE,Athena,Atenea,CHARACTER,DEITY,5,3,3,4,4,"#{H} Si controlas otros dos personajes o más, gano 2 potenciadores.#  {R} Si controlas #otros dos personajes# o más, pierdo [FLEETING_CHAR].",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_19_C,ALT_CORE_B_AX_19_C,AX,COMMON,Ganesha,Ganesha,CHARACTER,DEITY,7,7,5,5,5,"{J} Por cada permanente que controles, puedes activar sus efectos disparados {j}.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_19_R1,ALT_CORE_B_AX_19_C,AX,RARE,Ganesha,Ganesha,CHARACTER,DEITY,#6#,#6#,#4#,#4#,#4#,"{J} Por cada permanente que controles, puedes activar sus efectos disparados {j}.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_19_R2,ALT_CORE_B_AX_19_C,MU,RARE,Ganesha,Ganesha,CHARACTER,DEITY,7,7,5,5,5,"{J} Por cada #otro personaje# que controles, puedes activar sus efectos disparados {j}.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_20_C,ALT_CORE_B_AX_20_C,AX,COMMON,Hooked,Enganche,SPELL,MANEUVER,1,2,,,,Un personaje objetivo se traslada de expedición. (Abandona su expedición y se incorpora a la otra expedición de su controlador.),,,,,,,,,,,,,,,0
ALT_CORE_B_AX_20_R1,ALT_CORE_B_AX_20_C,AX,RARE,Hooked,Enganche,SPELL,MANEUVER,#2#,2,,,,Un personaje objetivo se traslada de expedición. (Abandona su expedición y se incorpora a la otra expedición de su controlador.)  #Roba una carta.#,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_20_R2,ALT_CORE_B_AX_20_C,LY,RARE,Hooked,Enganche,SPELL,MANEUVER,1,2,,,,Un personaje objetivo se traslada de expedición. (Abandona su expedición y se incorpora a la otra expedición de su controlador.),,,,,,,,,,,,,,,0
ALT_CORE_B_AX_21_C,ALT_CORE_B_AX_21_C,AX,COMMON,Boom!,¡Bum!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifica un personaje. Si lo haces, descarta un personaje o permanente objetivo.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_21_R1,ALT_CORE_B_AX_21_C,AX,RARE,Boom!,¡Bum!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifica un personaje #o permanente#. Si lo haces, descarta un personaje o permanente objetivo.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_21_R2,ALT_CORE_B_AX_21_C,YZ,RARE,Boom!,¡Bum!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifica un personaje. Si lo haces, descarta un personaje o permanente objetivo.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_22_C,ALT_CORE_B_AX_22_C,AX,COMMON,Mechanical Training,Entrenamiento de mecánica,SPELL,BOON,1,2,,,,Activa los efectos disparados {j} de un permanente objetivo que controles.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_22_R1,ALT_CORE_B_AX_22_C,AX,RARE,Mechanical Training,Entrenamiento de mecánica,SPELL,BOON,#2#,2,,,,Activa los efectos disparados {j} de #hasta dos# permanentes objetivo que controles.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_22_R2,ALT_CORE_B_AX_22_C,MU,RARE,Mechanical Training,Entrenamiento de mecánica,SPELL,BOON,#2#,2,,,,Activa los efectos disparados {j} de un #personaje# objetivo que controles.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_23_C,ALT_CORE_B_AX_23_C,AX,COMMON,Kelon Surge,Descarga de kelón,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Elige una opción:  • Envía a la reserva un personaje objetivo con coste desde la mano de {4} o menos.  • Descarta un permanente objetivo con coste desde la mano de {4} o menos.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_23_R1,ALT_CORE_B_AX_23_C,AX,RARE,Kelon Surge,Descarga de kelón,SPELL,DISRUPTION,#4#,#4#,,,,"[FLEETING].  Elige una opción:  • Envía a la reserva un personaje objetivo con coste desde la mano de {4} o menos.  • Descarta un permanente objetivo con coste desde la mano de {4} o menos.  #Si controlas dos hitos o más, crea una ficha de robot [BRASSBUG] en una expedición objetivo.#",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_23_R2,ALT_CORE_B_AX_23_C,OR,RARE,Kelon Surge,Descarga de kelón,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Elige una opción:  • Envía a la reserva un personaje objetivo con coste desde la mano de {4} o menos.  • Descarta un permanente objetivo con coste desde la mano de {4} o menos.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_24_C,ALT_CORE_B_AX_24_C,AX,COMMON,Brassbug Hub,Central de bicholatas,PERMANENT,LANDMARK,3,3,,,,{J} Gano tres contadores de kelón.  Al mediodía — Puedes pagar {1} y gastar uno de mis contadores de kelón para crear una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_24_R1,ALT_CORE_B_AX_24_C,AX,RARE,Brassbug Hub,Central de bicholatas,PERMANENT,LANDMARK,#2#,#2#,,,,{J} Gano tres contadores de kelón.  Al mediodía — Puedes pagar {1} y gastar uno de mis contadores de kelón para crear una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_24_R2,ALT_CORE_B_AX_24_C,OR,RARE,Brassbug Hub,Central de bicholatas,PERMANENT,LANDMARK,#2#,#2#,,,,{J} Gano tres contadores de kelón.  Al mediodía — Puedes pagar {1} y gastar uno de mis contadores de kelón para crear una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_25_C,ALT_CORE_B_AX_25_C,AX,COMMON,Axiom Reprocessor,Reprocesador de Axiom,PERMANENT,LANDMARK,4,4,,,,Al mediodía — $[RESUPPLY].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_25_R1,ALT_CORE_B_AX_25_C,AX,RARE,Axiom Reprocessor,Reprocesador de Axiom,PERMANENT,LANDMARK,4,4,,,,#{J} [RESUPPLY].#  Al mediodía — $[RESUPPLY].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_25_R2,ALT_CORE_B_AX_25_C,MU,RARE,Axiom Reprocessor,Reprocesador de Axiom,PERMANENT,LANDMARK,4,4,,,,Al mediodía — $[RESUPPLY].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_26_C,ALT_CORE_B_AX_26_C,AX,COMMON,Kelon Cylinder,Cilindro de kelón,PERMANENT,LANDMARK,1,1,,,,"{T}: Gano dos contadores de kelón.  {T}, gastar uno de mis contadores de kelón: el siguiente personaje que juegues este turno gana 1 potenciador$[BB].",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_26_R1,ALT_CORE_B_AX_26_C,AX,RARE,Kelon Cylinder,Cilindro de kelón,PERMANENT,LANDMARK,1,1,,,,"#{J} Un personaje objetivo gana 1 potenciador.#  {T}: Gano dos contadores de kelón.  {T}, gastar uno de mis contadores de kelón: un #personaje objetivo gana 1 potenciador.#",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_26_R2,ALT_CORE_B_AX_26_C,BR,RARE,Kelon Cylinder,Cilindro de kelón,PERMANENT,LANDMARK,1,1,,,,"{T}: Gano dos contadores de kelón.  {T}, gastar uno de mis contadores de kelón: el siguiente personaje que juegues este turno gana 1 potenciador.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_27_C,ALT_CORE_B_AX_27_C,AX,COMMON,Kelon Generator,Generador kelónico,PERMANENT,LANDMARK,3,3,,,,"{2}, {T}: Roba una carta.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_27_R1,ALT_CORE_B_AX_27_C,AX,RARE,Kelon Generator,Generador kelónico,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T}: Roba una carta.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_27_R2,ALT_CORE_B_AX_27_C,OR,RARE,Kelon Generator,Generador kelónico,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T}: Roba una carta.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_28_C,ALT_CORE_B_AX_28_C,AX,COMMON,Armored Jammer,Interferente blindado,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_28_R1,ALT_CORE_B_AX_28_C,AX,RARE,Armored Jammer,Interferente blindado,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #Cuando abandone tu zona de hitos — [SABOTAGE].#,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_28_R2,ALT_CORE_B_AX_28_C,OR,RARE,Armored Jammer,Interferente blindado,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #Cuando abandone tu zona de hitos — [SABOTAGE].#,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_29_C,ALT_CORE_B_AX_29_C,AX,COMMON,"The Foundry, Axiom Bastion","La Fundición, bastión de Axiom",PERMANENT,LANDMARK,3,3,,,,{T}: Activa los efectos disparados {r} del siguiente personaje que juegues desde tu mano este turno.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_29_R1,ALT_CORE_B_AX_29_C,AX,RARE,"The Foundry, Axiom Bastion","La Fundición, bastión de Axiom",PERMANENT,LANDMARK,#4#,#4#,,,,#{J} Roba una carta.#  {T}: Activa los efectos disparados {r} del siguiente personaje que juegues desde tu mano este turno.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_29_R2,ALT_CORE_B_AX_29_C,BR,RARE,"The Foundry, Axiom Bastion","La Fundición, bastión de Axiom",PERMANENT,LANDMARK,3,3,,,,{T}: Activa los efectos disparados {r} del siguiente personaje que juegues desde tu mano este turno.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_30_C,ALT_CORE_B_AX_30_C,AX,COMMON,Brassbug Hive,Colmena de bicholatas,PERMANENT,LANDMARK,5,5,,,,{J} Crea una ficha de robot [BRASSBUG] en una expedición objetivo.  Al mediodía — Crea una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_30_R1,ALT_CORE_B_AX_30_C,AX,RARE,Brassbug Hive,Colmena de bicholatas,PERMANENT,LANDMARK,#6#,#6#,,,,{J} Crea una ficha de robot [BRASSBUG] en una expedición objetivo.  Al mediodía — Crea una ficha de robot [BRASSBUG] en una expedición objetivo.  #Cuando un robot se incorpore a una de tus expediciones — Este gana 1 potenciador.#,,,,,,,,,,,,,,,1
ALT_CORE_B_AX_30_R2,ALT_CORE_B_AX_30_C,YZ,RARE,Brassbug Hive,Colmena de bicholatas,PERMANENT,LANDMARK,5,5,,,,{J} Crea una ficha de robot [BRASSBUG] en una expedición objetivo.  Al mediodía — Crea una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_31_C,ALT_CORE_B_AX_31_C,AX,COMMON,Brassbug,Bicholata,TOKEN,ROBOT,,,2,2,2,"(Si abandono la zona de expedición, retírame del juego.)",,,,,,,,,,,,,,,0
ALT_CORE_B_BR_01_C,ALT_CORE_B_BR_01_C,BR,COMMON,Kojo & Booda,Kojo y Booda,HERO,,,,,,,"Al mediodía, si eres el primer jugador — Crea una ficha de compañero [BOODA] en tu expedición del compañero.",,,,,,,,,,,,,,,0
ALT_CORE_B_BR_02_C,ALT_CORE_B_BR_02_C,BR,COMMON,Atsadi & Surge,Atsadi y Chispazo,HERO,,,,,,,Comienzo la partida con cinco contadores de heroísmo.  Cuando juegues un personaje con coste desde la mano superior o igual a mi número de contadores de heroísmo — Tú robas una carta y yo gano un contador de heroísmo.,,,,,,,,,,,,,,,0
ALT_CORE_B_BR_03_C,ALT_CORE_B_BR_03_C,BR,COMMON,Basira & Kaizaimon,Basira y Kaizaimon,HERO,,,,,,,Cuando un personaje que controles gane 1 potenciador o más — Puedes agotarme ({T}) para que un personaje objetivo gane 1 potenciador$[BB].,,,,,,,,,,,,,,,0
ALT_CORE_B_BR_04_C,ALT_CORE_B_BR_04_C,BR,COMMON,Ratatoskr,Ratatoskr,CHARACTER,MESSENGER,1,3,1,1,1,{R} Gano 2 potenciadores$[BB].,,,,,,,,,,,,,,,0
ALT_CORE_B_BR_04_R1,ALT_CORE_B_BR_04_C,BR,RARE,Ratatoskr,Ratatoskr,CHARACTER,MESSENGER,1,3,1,1,1,{R} Gano #3 potenciadores$[BB]#.,,,,,,,,,,,,,,,1
ALT_CORE_B_BR_04_R2,ALT_CORE_B_BR_04_C,OR,RARE,Ratatoskr,Ratatoskr,CHARACTER,MESSENGER,1,3,1,1,1,{R} #Crea dos fichas de soldado [ORDIS_RECRUIT] en mi expedición.#,,,,,,,,,,,,,,,1
ALT_CORE_B_BR_05_C,ALT_CORE_B_BR_05_C,BR,COMMON,Issun-bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,1,0,0,2,,{D}: El siguiente personaje que juegues este turno gana 1 potenciador. (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,0
ALT_CORE_B_BR_05_R1,ALT_CORE_B_BR_05_C,BR,RARE,Issun-bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,#2#,0,0,2,#{R} Un personaje objetivo gana 1 potenciador.#,{D}: El siguiente personaje que juegues este turno gana 1 potenciador. (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,0
ALT_CORE_B_BR_05_R2,ALT_CORE_B_BR_05_C,MU,RARE,Issun-bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,#2#,0,0,2,#{R} Un personaje objetivo gana 1 potenciador.#,{D}: El siguiente personaje que juegues este turno gana 1 potenciador. (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,0
ALT_CORE_B_BR_06_C,ALT_CORE_B_BR_06_C,BR,COMMON,Tiny Jinn,Jinn chiquitín,CHARACTER,ELEMENTAL,2,3,0,3,0,"Cuando abandone la zona de expedición, si estoy [BOOSTED] — Colócame en la zona de maná de mi propietario (como orbe de maná agotado).  {R} Gano 1 potenciador.",,,,,,,,,,,,,,,0
