ID,ID Base,Faction,Alteration,Name,Name FR,Type,Sub-Type,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effect,Echo,Rare dans les precos ?,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_06_R1,ALT_CORE_B_AX_06_C,AX,RARE,Ogun,Ogun,CHARACTER,ENGINEER DEITY,2,2,2,1,1,"{J} #Vous pouvez payer {2} pour créer un jeton Robot [BRASSBUG] dans l'Expédition ciblée.# Puis, les Robots que vous contrôlez gagnent 1 boost.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R2,ALT_CORE_B_AX_06_C,MU,RARE,Ogun,Ogun,CHARACTER,ENGINEER DEITY,2,2,2,1,1,{J} #Les Plantes# que vous contrôlez gagnent 1 boost.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_07_C,ALT_CORE_B_AX_07_C,AX,COMMON,Foundry Mechanic,Mécanicienne de la Fonderie,CHARACTER,ENGINEER,1,1,0,1,1,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),0,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R1,ALT_CORE_B_AX_07_C,AX,RARE,Foundry Mechanic,Mécanicienne de la Fonderie,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),1,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R2,ALT_CORE_B_AX_07_C,OR,RARE,Foundry Mechanic,Mécanicienne de la Fonderie,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),1,,,,,,,,,,,,,
ALT_CORE_B_AX_08_C,ALT_CORE_B_AX_08_C,AX,COMMON,Axiom Salvager,Récupérateur Axiom,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R1,ALT_CORE_B_AX_08_C,AX,RARE,Axiom Salvager,Récupérateur Axiom,CHARACTER,ENGINEER,1,#1#,1,1,#0#,{R} $[RESUPPLY].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R2,ALT_CORE_B_AX_08_C,BR,RARE,Axiom Salvager,Récupérateur Axiom,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_09_C,ALT_CORE_B_AX_09_C,AX,COMMON,Tinker Bell,Fée Clochette,CHARACTER,FAIRY,3,3,1,3,3,{R} $[SABOTAGE].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R1,ALT_CORE_B_AX_09_C,AX,RARE,Tinker Bell,Fée Clochette,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R2,ALT_CORE_B_AX_09_C,LY,RARE,Tinker Bell,Fée Clochette,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_10_C,ALT_CORE_B_AX_10_C,AX,COMMON,"Jian, Assembly Overseer","Jian, Superviseur d'Assemblage",CHARACTER,ENGINEER,2,2,3,2,0,,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R1,ALT_CORE_B_AX_10_C,AX,RARE,"Jian, Assembly Overseer","Jian, Superviseur d'Assemblage",CHARACTER,ENGINEER,2,2,3,2,0,,#{D} : Activez les déclencheurs {j} du Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),1,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R2,ALT_CORE_B_AX_10_C,OR,RARE,"Jian, Assembly Overseer","Jian, Superviseur d'Assemblage",CHARACTER,ENGINEER,2,2,3,2,0,,#{D} : Activez les déclencheurs {j} du Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.),0,,,,,,,,,,,,,
ALT_CORE_B_AX_11_C,ALT_CORE_B_AX_11_C,AX,COMMON,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R1,ALT_CORE_B_AX_11_C,AX,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} Je gagne 1 boost.#,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R2,ALT_CORE_B_AX_11_C,OR,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} Je gagne 1 boost.#,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_12_C,ALT_CORE_B_AX_12_C,AX,COMMON,Three Little Pigs,Trois Petits Cochons,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Si vous contrôlez au moins deux Repères, je gagne 1 boost$[BB]. (Les cartes en Réserve ne sont pas contrôlées.)",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R1,ALT_CORE_B_AX_12_C,AX,RARE,Three Little Pigs,Trois Petits Cochons,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Si vous contrôlez au moins deux Repères, je gagne #2 boosts$[BB]#. (Les cartes en Réserve ne sont pas contrôlées.)",,1,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R2,ALT_CORE_B_AX_12_C,BR,RARE,Three Little Pigs,Trois Petits Cochons,CHARACTER,ENGINEER,3,3,3,3,3,"{J} Si vous contrôlez #au moins un# Repère, je gagne 1 boost.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_13_C,ALT_CORE_B_AX_13_C,AX,COMMON,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un Permanent, piochez une carte.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R1,ALT_CORE_B_AX_13_C,AX,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,#2#,1,{R} Vous pouvez mettre une carte de votre main en Réserve #pour piocher une carte#.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R2,ALT_CORE_B_AX_13_C,YZ,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} Vous pouvez mettre une carte de votre main en Réserve. Si c'est un #Sort#, piochez une carte.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_14_C,ALT_CORE_B_AX_14_C,AX,COMMON,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,2,2,0,Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne $[ASLEEP].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R1,ALT_CORE_B_AX_14_C,AX,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne $[ASLEEP].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R2,ALT_CORE_B_AX_14_C,MU,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,Lorsque je vais en Réserve depuis votre main — Vous pouvez me jouer gratuitement et je gagne $[ASLEEP].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_15_C,ALT_CORE_B_AX_15_C,AX,COMMON,Axiom Scrambler,Brouilleur Axiom,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R1,ALT_CORE_B_AX_15_C,AX,RARE,Axiom Scrambler,Brouilleur Axiom,CHARACTER,ENGINEER,#3#,3,2,4,2,{H} $[SABOTAGE].,,1,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R2,ALT_CORE_B_AX_15_C,MU,RARE,Axiom Scrambler,Brouilleur Axiom,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_16_C,ALT_CORE_B_AX_16_C,AX,COMMON,Foundry Armorer,Armurière de la Fonderie,CHARACTER,ENGINEER,3,3,2,2,2,{R} Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R1,ALT_CORE_B_AX_16_C,AX,RARE,Foundry Armorer,Armurière de la Fonderie,CHARACTER,ENGINEER,3,3,2,2,2,#{J}# Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R2,ALT_CORE_B_AX_16_C,BR,RARE,Foundry Armorer,Armurière de la Fonderie,CHARACTER,ENGINEER,#2#,3,2,2,2,{R} Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_17_C,ALT_CORE_B_AX_17_C,AX,COMMON,Frankenstein,Dr Frankenstein,CHARACTER,ENGINEER,4,3,3,3,3,{R} Vous pouvez activer les déclencheurs {j} du Permanent ciblé que vous contrôlez.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R1,ALT_CORE_B_AX_17_C,AX,RARE,Frankenstein,Dr Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,{R} Vous pouvez activer les déclencheurs {j} du Permanent ciblé que vous contrôlez.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R2,ALT_CORE_B_AX_17_C,LY,RARE,Frankenstein,Dr Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,{R} Vous pouvez activer les déclencheurs {j} du Permanent ciblé que vous contrôlez.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_18_C,ALT_CORE_B_AX_18_C,AX,COMMON,Athena,Athéna,CHARACTER,DEITY,5,3,3,4,4,"{R} Si vous contrôlez au moins deux Repères, je perds [FLEETING_CHAR].",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R1,ALT_CORE_B_AX_18_C,AX,RARE,Athena,Athéna,CHARACTER,DEITY,5,3,3,4,4,"#{H} Si vous contrôlez au moins deux Repères, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux Repères, je perds [FLEETING_CHAR].",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R2,ALT_CORE_B_AX_18_C,OR,RARE,Athena,Athéna,CHARACTER,DEITY,5,3,3,4,4,"#{H} Si vous contrôlez au moins deux autres Personnages, je gagne 2 boosts.#  {R} Si vous contrôlez au moins deux #autres Personnages#, je perds [FLEETING_CHAR].",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_19_C,ALT_CORE_B_AX_19_C,AX,COMMON,Ganesha,Ganesh,CHARACTER,DEITY,7,7,5,5,5,"{J} Pour chaque Permanent que vous contrôlez, vous pouvez activer ses déclencheurs {j}.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R1,ALT_CORE_B_AX_19_C,AX,RARE,Ganesha,Ganesh,CHARACTER,DEITY,#6#,#6#,#4#,#4#,#4#,"{J} Pour chaque Permanent que vous contrôlez, vous pouvez activer ses déclencheurs {j}.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R2,ALT_CORE_B_AX_19_C,MU,RARE,Ganesha,Ganesh,CHARACTER,DEITY,7,7,5,5,5,"{J} Pour chaque #autre Personnage# que vous contrôlez, vous pouvez activer ses déclencheurs {j}.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_20_C,ALT_CORE_B_AX_20_C,AX,COMMON,Hooked,Happé,SPELL,MANEUVER,1,2,,,,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.),,0,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R1,ALT_CORE_B_AX_20_C,AX,RARE,Hooked,Happé,SPELL,MANEUVER,#2#,2,,,,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.)  #Piochez une carte.#,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R2,ALT_CORE_B_AX_20_C,LY,RARE,Hooked,Happé,SPELL,MANEUVER,1,2,,,,Un Personnage ciblé change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.),,0,,,,,,,,,,,,,
ALT_CORE_B_AX_21_C,ALT_CORE_B_AX_21_C,AX,COMMON,Boom!,Boum !,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifiez un Personnage. Si vous le faites, défaussez un Personnage ou Permanent ciblé.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R1,ALT_CORE_B_AX_21_C,AX,RARE,Boom!,Boum !,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifiez un Personnage #ou un Permanent#. Si vous le faites, défaussez un Personnage ou Permanent ciblé.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R2,ALT_CORE_B_AX_21_C,YZ,RARE,Boom!,Boum !,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifiez un Personnage. Si vous le faites, défaussez un Personnage ou un Permanent ciblé.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_22_C,ALT_CORE_B_AX_22_C,AX,COMMON,Mechanical Training,Entraînement Mécanique,SPELL,BOON,1,2,,,,Activez les déclencheurs {j} du Permanent ciblé que vous contrôlez.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R1,ALT_CORE_B_AX_22_C,AX,RARE,Mechanical Training,Entraînement Mécanique,SPELL,BOON,#2#,2,,,,Activez les déclencheurs {j} de #jusqu'à deux# Permanents ciblés que vous contrôlez.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R2,ALT_CORE_B_AX_22_C,MU,RARE,Mechanical Training,Entraînement Mécanique,SPELL,BOON,#2#,2,,,,Activez les déclencheurs {j} du #Personnage# ciblé que vous contrôlez.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_23_C,ALT_CORE_B_AX_23_C,AX,COMMON,Kelon Surge,Décharge de Kélon,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Choisissez l'un :  • Envoyez en Réserve un Personnage ciblé avec un Coût de Main {4} ou moins.  • Défaussez un Permanent ciblé avec un Coût de Main {4} ou moins.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R1,ALT_CORE_B_AX_23_C,AX,RARE,Kelon Surge,Décharge de Kélon,SPELL,DISRUPTION,#4#,#4#,,,,"[FLEETING].  Choisissez l'un :  • Envoyez en Réserve un Personnage ciblé avec un Coût de Main {4} ou moins.  • Défaussez un Permanent ciblé avec un Coût de Main {4} ou moins.  #Si vous contrôlez au moins deux Repères, créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.#",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R2,ALT_CORE_B_AX_23_C,OR,RARE,Kelon Surge,Décharge de Kélon,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Choisissez l'un :  • Envoyez en Réserve un Personnage ciblé avec un Coût de Main {4} ou moins.  • Défaussez un Permanent ciblé avec un Coût de Main {4} ou moins.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_24_C,ALT_CORE_B_AX_24_C,AX,COMMON,Brassbug Hub,Hub des Scarabots,PERMANENT,LANDMARK,3,3,,,,{J} Je gagne trois compteurs Kélon.  À Midi — Vous pouvez payer {1} et dépenser un de mes compteurs Kélon pour créer un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R1,ALT_CORE_B_AX_24_C,AX,RARE,Brassbug Hub,Hub des Scarabots,PERMANENT,LANDMARK,#2#,#2#,,,,{J} Je gagne trois compteurs Kélon.  À Midi — Vous pouvez payer {1} et dépenser un de mes compteurs Kélon pour créer un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R2,ALT_CORE_B_AX_24_C,OR,RARE,Brassbug Hub,Hub des Scarabots,PERMANENT,LANDMARK,#2#,#2#,,,,{J} Je gagne trois compteurs Kélon.  À Midi — Vous pouvez payer {1} et dépenser un de mes compteurs Kélon pour créer un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_25_C,ALT_CORE_B_AX_25_C,AX,COMMON,Axiom Reprocessor,Recycleur Axiom,PERMANENT,LANDMARK,4,4,,,,À Midi — $[RESUPPLY].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R1,ALT_CORE_B_AX_25_C,AX,RARE,Axiom Reprocessor,Recycleur Axiom,PERMANENT,LANDMARK,4,4,,,,#{J} [RESUPPLY].#  À Midi — $[RESUPPLY].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R2,ALT_CORE_B_AX_25_C,MU,RARE,Axiom Reprocessor,Recycleur Axiom,PERMANENT,LANDMARK,4,4,,,,À Midi — $[RESUPPLY].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_26_C,ALT_CORE_B_AX_26_C,AX,COMMON,Kelon Cylinder,Cylindre de Kélon,PERMANENT,LANDMARK,1,1,,,,"{T} : Je gagne deux compteurs Kélon.  {T}, dépensez un de mes compteurs Kélon : le prochain Personnage que vous jouez ce tour gagne 1 boost$[BB].",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R1,ALT_CORE_B_AX_26_C,AX,RARE,Kelon Cylinder,Cylindre de Kélon,PERMANENT,LANDMARK,1,1,,,,"#{J} Un Personnage ciblé gagne 1 boost.#  {T} : Je gagne deux compteurs Kélon.  {T}, dépensez un de mes compteurs Kélon : #un Personnage ciblé gagne 1 boost.#",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R2,ALT_CORE_B_AX_26_C,BR,RARE,Kelon Cylinder,Cylindre de Kélon,PERMANENT,LANDMARK,1,1,,,,"{T} : Je gagne deux compteurs Kélon.  {T}, dépensez un de mes compteurs Kélon : le prochain Personnage que vous jouez ce tour gagne 1 boost.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_27_C,ALT_CORE_B_AX_27_C,AX,COMMON,Kelon Generator,Générateur Kélonique,PERMANENT,LANDMARK,3,3,,,,"{2}, {T} : Piochez une carte.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R1,ALT_CORE_B_AX_27_C,AX,RARE,Kelon Generator,Générateur Kélonique,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T} : Piochez une carte.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R2,ALT_CORE_B_AX_27_C,OR,RARE,Kelon Generator,Générateur Kélonique,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T} : Piochez une carte.",,0,,,,,,,,,,,,,
ALT_CORE_B_AX_28_C,ALT_CORE_B_AX_28_C,AX,COMMON,Armored Jammer,Brouilleur Blindé,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R1,ALT_CORE_B_AX_28_C,AX,RARE,Armored Jammer,Brouilleur Blindé,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #Lorsque je quitte votre zone de Repères — [SABOTAGE].#,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R2,ALT_CORE_B_AX_28_C,OR,RARE,Armored Jammer,Brouilleur Blindé,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #Lorsque je quitte votre zone de Repères — [SABOTAGE].#,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_29_C,ALT_CORE_B_AX_29_C,AX,COMMON,"The Foundry, Axiom Bastion","La Fonderie, Bastion Axiom",PERMANENT,LANDMARK,3,3,,,,{T} : Activez les déclencheurs {r} du prochain Personnage que vous jouez de votre main ce tour.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R1,ALT_CORE_B_AX_29_C,AX,RARE,"The Foundry, Axiom Bastion","La Fonderie, Bastion Axiom",PERMANENT,LANDMARK,#4#,#4#,,,,#{J} Piochez une carte.#  {T} : Activez les déclencheurs {r} du prochain Personnage que vous jouez de votre main ce tour.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R2,ALT_CORE_B_AX_29_C,BR,RARE,"The Foundry, Axiom Bastion","La Fonderie, Bastion Axiom",PERMANENT,LANDMARK,3,3,,,,{T} : Activez les déclencheurs {r} du prochain Personnage que vous jouez de votre main ce tour.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_30_C,ALT_CORE_B_AX_30_C,AX,COMMON,Brassbug Hive,Ruche des Scarabots,PERMANENT,LANDMARK,5,5,,,,{J} Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.  À Midi — Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R1,ALT_CORE_B_AX_30_C,AX,RARE,Brassbug Hive,Ruche des Scarabots,PERMANENT,LANDMARK,#6#,#6#,,,,{J} Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.  À Midi — Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.  #Lorsqu'un Robot rejoint vos Expéditions — Il gagne 1 boost.#,,1,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R2,ALT_CORE_B_AX_30_C,YZ,RARE,Brassbug Hive,Ruche des Scarabots,PERMANENT,LANDMARK,5,5,,,,{J} Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.  À Midi — Créez un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_31_C,ALT_CORE_B_AX_31_C,AX,COMMON,Brassbug,Scarabot,TOKEN,ROBOT,,,2,2,2,"(Si je quitte la zone d'Expédition, retirez-moi du jeu.)",,0,,,,,,,,,,,,,
ALT_CORE_B_BR_01_C,ALT_CORE_B_BR_01_C,BR,COMMON,Kojo & Booda,Kojo & Booda,HERO,,,,,,,"À Midi, si vous êtes le premier joueur — Créez un jeton Compagnon [BOODA] dans votre Expédition Compagnon.",,0,,,,,,,,,,,,,
ALT_CORE_B_BR_02_C,ALT_CORE_B_BR_02_C,BR,COMMON,Atsadi & Surge,Atsadi & Surge,HERO,,,,,,,Je commence la partie avec cinq compteurs Héroïsme.  Lorsque vous jouez un Personnage avec un Coût de Main supérieur ou égal à mon nombre de compteurs Héroïsme — Piochez une carte et je gagne un compteur Héroïsme.,,0,,,,,,,,,,,,,
ALT_CORE_B_BR_03_C,ALT_CORE_B_BR_03_C,BR,COMMON,Basira & Kaizaimon,Basira & Kaizaimon,HERO,,,,,,,Lorsqu'un Personnage que vous contrôlez gagne au moins 1 boost — Vous pouvez m'épuiser ({T}) pour qu'un Personnage ciblé gagne 1 boost$[BB].,,0,,,,,,,,,,,,,
ALT_CORE_B_BR_04_C,ALT_CORE_B_BR_04_C,BR,COMMON,Ratatoskr,Ratatosk,CHARACTER,MESSENGER,1,3,1,1,1,{R} Je gagne 2 boosts.,,0,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R1,ALT_CORE_B_BR_04_C,BR,RARE,Ratatoskr,Ratatosk,CHARACTER,MESSENGER,1,3,1,1,1,{R} Je gagne #3 boosts$[BB]#.,,1,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R2,ALT_CORE_B_BR_04_C,OR,RARE,Ratatoskr,Ratatosk,CHARACTER,MESSENGER,1,3,1,1,1,{R} #Créez deux jetons Soldat [ORDIS_RECRUIT] dans mon Expédition.#,,1,,,,,,,,,,,,,
ALT_CORE_B_BR_05_C,ALT_CORE_B_BR_05_C,BR,COMMON,Issun-Bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,1,0,0,2,,{D} : Le prochain Personnage que vous jouez ce tour gagne 1 boost. (Défaussez-moi de la Réserve pour ça.),0,,,,,,,,,,,,,
ALT_CORE_B_BR_05_R1,ALT_CORE_B_BR_05_C,BR,RARE,Issun-Bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,#2#,0,0,2,#{R} Un Personnage ciblé gagne 1 boost.#,{D} : Le prochain Personnage que vous jouez ce tour gagne 1 boost. (Défaussez-moi de la Réserve pour ça.),0,,,,,,,,,,,,,
