ID,ID Base,Faction,Alteration,Name EN,Name DE,Type,Subtyp,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effekt,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Rare dans les precos ?
ALT_CORE_B_AX_14_R2,ALT_CORE_B_AX_14_C,MU,RARE,Coppélia,Coppélia,,,,,,,,Wenn ich aus deiner Hand in die Reserve gehe — Du darfst mich gratis spielen und ich erhalte $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_C,ALT_CORE_B_AX_15_C,AX,COMMON,Axiom Scrambler,Axiom-Scramblerin,,,,,,,,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R1,ALT_CORE_B_AX_15_C,AX,RARE,Axiom Scrambler,Axiom-Scramblerin,,,,,,,,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R2,ALT_CORE_B_AX_15_C,MU,RARE,Axiom Scrambler,Axiom-Scramblerin,,,,,,,,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_C,ALT_CORE_B_AX_16_C,AX,COMMON,Foundry Armorer,Gießerei-Rüstungsspezialistin,,,,,,,,{R} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R1,ALT_CORE_B_AX_16_C,AX,RARE,Foundry Armorer,Gießerei-Rüstungsspezialistin,,,,,,,,#{J}# Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R2,ALT_CORE_B_AX_16_C,BR,RARE,Foundry Armorer,Gießerei-Rüstungsspezialistin,,,,,,,,{R} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_C,ALT_CORE_B_AX_17_C,AX,COMMON,Dr. Frankenstein,Dr. Frankenstein,,,,,,,,"{R} Du darfst die {j} Auslöser einer bleibenden Karte deiner Wahl aktivieren, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R1,ALT_CORE_B_AX_17_C,AX,RARE,Dr. Frankenstein,Dr. Frankenstein,,,,,,,,"{R} Du darfst die {j} Auslöser einer bleibenden Karte deiner Wahl aktivieren, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R2,ALT_CORE_B_AX_17_C,LY,RARE,Dr. Frankenstein,Dr. Frankenstein,,,,,,,,"{R} Du darfst die {j} Auslöser einer bleibenden Karte deiner Wahl aktivieren, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_C,ALT_CORE_B_AX_18_C,AX,COMMON,Athena,Athene,,,,,,,,"{R} Falls du mindestens zwei Wahrzeichen kontrollierst, verliere ich [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R1,ALT_CORE_B_AX_18_C,AX,RARE,Athena,Athene,,,,,,,,"#{H} Falls du mindestens zwei Wahrzeichen kontrollierst, erhalte ich 2 Verstärkungen.#  {R} Falls du mindestens zwei Wahrzeichen kontrollierst, verliere ich [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R2,ALT_CORE_B_AX_18_C,OR,RARE,Athena,Athene,,,,,,,,"#{H} Falls du mindestens zwei andere Charaktere kontrollierst, erhalte ich 2 Verstärkungen.#  {R} Falls du mindestens zwei #andere Charaktere# kontrollierst, verliere ich [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_C,ALT_CORE_B_AX_19_C,AX,COMMON,Ganesha,Ganesha,,,,,,,,"{J} Für jede bleibende Karte, die du kontrollierst, darfst du ihre {j} Auslöser aktivieren.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R1,ALT_CORE_B_AX_19_C,AX,RARE,Ganesha,Ganesha,,,,,,,,"{J} Für jede bleibende Karte, die du kontrollierst, darfst du ihre {j} Auslöser aktivieren.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R2,ALT_CORE_B_AX_19_C,MU,RARE,Ganesha,Ganesha,,,,,,,,"{J} Für jeden #anderen Charakter#, den du kontrollierst, darfst du seine {j} Auslöser aktivieren.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_C,ALT_CORE_B_AX_20_C,AX,COMMON,Hooked,Am Haken,,,,,,,,Ein Charakter deiner Wahl wechselt Expeditionen. (Er verlässt seine Expedition und schließt sich der anderen Expedition des kontrollierenden Spielers an.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R1,ALT_CORE_B_AX_20_C,AX,RARE,Hooked,Am Haken,,,,,,,,Ein Charakter deiner Wahl wechselt Expeditionen. (Er verlässt seine Expedition und schließt sich der anderen Expedition des kontrollierenden Spielers an.)  #Ziehe eine Karte.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R2,ALT_CORE_B_AX_20_C,LY,RARE,Hooked,Am Haken,,,,,,,,Ein Charakter deiner Wahl wechselt Expeditionen. (Er verlässt seine Expedition und schließt sich der anderen Expedition des kontrollierenden Spielers an.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_C,ALT_CORE_B_AX_21_C,AX,COMMON,Boom!,Bumm!,,,,,,,,"$[FLEETING].  Opfere einen Charakter, um einen Charakter oder eine bleibende Karte deiner Wahl abzulegen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R1,ALT_CORE_B_AX_21_C,AX,RARE,Boom!,Bumm!,,,,,,,,"$[FLEETING].  Opfere einen Charakter #oder eine bleibende Karte#, um einen Charakter oder eine bleibende Karte deiner Wahl abzulegen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R2,ALT_CORE_B_AX_21_C,YZ,RARE,Boom!,Bumm!,,,,,,,,"$[FLEETING].  Opfere einen Charakter, um einen Charakter oder eine bleibende Karte deiner Wahl abzulegen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_C,ALT_CORE_B_AX_22_C,AX,COMMON,Mechanical Training,Maschinentraining,,,,,,,,"Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R1,ALT_CORE_B_AX_22_C,AX,RARE,Mechanical Training,Maschinentraining,,,,,,,,"Aktiviere die {j} Auslöser #von bis zu zwei# bleibenden Karten deiner Wahl, die du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R2,ALT_CORE_B_AX_22_C,MU,RARE,Mechanical Training,Maschinentraining,,,,,,,,"Aktiviere die {j} Auslöser eines #Charakters# deiner Wahl, den du kontrollierst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_C,ALT_CORE_B_AX_23_C,AX,COMMON,Kelon Burst,Kelon-Explosion,,,,,,,,$[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in die Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R1,ALT_CORE_B_AX_23_C,AX,RARE,Kelon Burst,Kelon-Explosion,,,,,,,,"[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in die Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.  #Falls du mindestens zwei Wahrzeichen kontrollierst, erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R2,ALT_CORE_B_AX_23_C,OR,RARE,Kelon Burst,Kelon-Explosion,,,,,,,,$[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in die Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_C,ALT_CORE_B_AX_24_C,AX,COMMON,Brassbug Hub,Blechkäfer-Basis,,,,,,,,"{J} Ich erhalte drei Kelon-Zähler.  Zum Mittag — Du darfst {1} bezahlen und einen meiner Kelon-Zähler ausgeben, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R1,ALT_CORE_B_AX_24_C,AX,RARE,Brassbug Hub,Blechkäfer-Basis,,,,,,,,"{J} Ich erhalte drei Kelon-Zähler.  Zum Mittag — Du darfst {1} bezahlen und einen meiner Kelon-Zähler ausgeben, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R2,ALT_CORE_B_AX_24_C,OR,RARE,Brassbug Hub,Blechkäfer-Basis,,,,,,,,"{J} Ich erhalte drei Kelon-Zähler.  Zum Mittag — Du darfst {1} bezahlen und einen meiner Kelon-Zähler ausgeben, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_C,ALT_CORE_B_AX_25_C,AX,COMMON,Axiom Reprocessor,Axiom-Aufbereiter,,,,,,,,Zum Mittag — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R1,ALT_CORE_B_AX_25_C,AX,RARE,Axiom Reprocessor,Axiom-Aufbereiter,,,,,,,,#{J} [RESUPPLY].#  Zum Mittag — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R2,ALT_CORE_B_AX_25_C,MU,RARE,Axiom Reprocessor,Axiom-Aufbereiter,,,,,,,,Zum Mittag — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_C,ALT_CORE_B_AX_26_C,AX,COMMON,Kelon Cylinder,Kelon-Zylinder,,,,,,,,"{T} : Ich erhalte zwei Kelon-Zähler.  {T} : Gib einen meiner Kelon-Zähler aus: Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R1,ALT_CORE_B_AX_26_C,AX,RARE,Kelon Cylinder,Kelon-Zylinder,,,,,,,,#{J} Ein Charakter deiner Wahl erhält 1 Verstärkung.#  {T} : Ich erhalte zwei Kelon-Zähler.  {T} : Gib einen meiner Kelon-Zähler aus: #Ein Charakter deiner Wahl erhält 1 Verstärkung.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R2,ALT_CORE_B_AX_26_C,BR,RARE,Kelon Cylinder,Kelon-Zylinder,,,,,,,,"{T} : Ich erhalte zwei Kelon-Zähler.  {T} : Gib einen meiner Kelon-Zähler aus: Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_C,ALT_CORE_B_AX_27_C,AX,COMMON,Kelonic Generator,Kelon-Generator,,,,,,,,"{2}, {T} : Ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R1,ALT_CORE_B_AX_27_C,AX,RARE,Kelonic Generator,Kelon-Generator,,,,,,,,"#{1}#, {T} : Ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R2,ALT_CORE_B_AX_27_C,OR,RARE,Kelonic Generator,Kelon-Generator,,,,,,,,"#{1}#, {T} : Ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_C,ALT_CORE_B_AX_28_C,AX,COMMON,Armored Jammer,Gepanzerter Störsender,,,,,,,,{J} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R1,ALT_CORE_B_AX_28_C,AX,RARE,Armored Jammer,Gepanzerter Störsender,,,,,,,,{J} $[SABOTAGE].  #Wenn ich deine Wahrzeichenzone verlasse — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R2,ALT_CORE_B_AX_28_C,OR,RARE,Armored Jammer,Gepanzerter Störsender,,,,,,,,{J} $[SABOTAGE].  #Wenn ich deine Wahrzeichenzone verlasse — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_C,ALT_CORE_B_AX_29_C,AX,COMMON,"The Foundry, Axiom Bastion","Die Gießerei, Axiom-Bastion",,,,,,,,"{T} : Aktiviere die {r} Auslöser des nächsten Charakters, den du in dieser Runde aus deiner Hand spielst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R1,ALT_CORE_B_AX_29_C,AX,RARE,"The Foundry, Axiom Bastion","Die Gießerei, Axiom-Bastion",,,,,,,,"#{J} Ziehe eine Karte.#  {T} : Aktiviere die {r} Auslöser des nächsten Charakters, den du in dieser Runde aus deiner Hand spielst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R2,ALT_CORE_B_AX_29_C,BR,RARE,"The Foundry, Axiom Bastion","Die Gießerei, Axiom-Bastion",,,,,,,,"{T} : Aktiviere die {r} Auslöser des nächsten Charakters, den du in dieser Runde aus deiner Hand spielst.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_C,ALT_CORE_B_AX_30_C,AX,COMMON,Brassbug Hive,Blechkäfer-Nest,,,,,,,,{J} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  Zum Mittag — Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R1,ALT_CORE_B_AX_30_C,AX,RARE,Brassbug Hive,Blechkäfer-Nest,,,,,,,,{J} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  Zum Mittag — Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  #Wenn ein Roboter einer deiner Expeditionen beitritt — Er erhält 1 Verstärkung.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R2,ALT_CORE_B_AX_30_C,YZ,RARE,Brassbug Hive,Blechkäfer-Nest,,,,,,,,{J} Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.  Zum Mittag — Erschaffe eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_31_C,ALT_CORE_B_AX_31_C,AX,COMMON,Brassbug,Blechkäfer,,,,,,,,"(Falls ich die Expeditionszone verlasse, entferne mich aus dem Spiel.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_01_C,ALT_CORE_B_BR_01_C,BR,COMMON,Kojo & Booda,Kojo & Booda,,,,,,,,"Zum Mittag, falls du der erste Spieler bist — Erschaffe eine [BOODA]-Gefährtenmarke in deiner Gefährten-Expedition.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_02_C,ALT_CORE_B_BR_02_C,BR,COMMON,Atsadi & Surge,Atsadi & Blitz,,,,,,,,"Ich beginne das Spiel mit fünf Heldentumszählern.  Wenn du einen Charakter spielst, dessen Handkosten größer oder gleich meiner Anzahl an Heldentumszählern sind — Ziehe eine Karte und ich erhalte einen Heldentumszähler.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_03_C,ALT_CORE_B_BR_03_C,BR,COMMON,Basira & Kaizaimon,Basira & Kaizaimon,,,,,,,,"Wenn ein Charakter, den du kontrollierst, mindestens 1 Verstärkung erhält — Du darfst mich erschöpfen ({T}), damit der Charakter deiner Wahl 1 Verstärkung$[BB] erhält.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_C,ALT_CORE_B_BR_04_C,BR,COMMON,Ratatoskr,Ratatoskr,,,,,,,,{R} Ich erhalte 2 Verstärkungen$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R1,ALT_CORE_B_BR_04_C,BR,RARE,Ratatoskr,Ratatoskr,,,,,,,,{R} Ich erhalte #3 Verstärkungen$[BB]#.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R2,ALT_CORE_B_BR_04_C,OR,RARE,Ratatoskr,Ratatoskr,,,,,,,,{R} #Erschaffe zwei [ORDIS_RECRUIT]-Soldatenmarken in meiner Expedition.#,,,,,,,,,,,,,,,
ALT_CORE_B_BR_05_C,ALT_CORE_B_BR_05_C,BR,COMMON,Issun-Bōshi,Issun-bōshi,,,,,,,,,"{D} : Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung. (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_BR_05_R1,ALT_CORE_B_BR_05_C,BR,RARE,Issun-Bōshi,Issun-bōshi,,,,,,,,#{R} Ein Charakter deiner Wahl erhält 1 Verstärkung#.,"{D} : Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung. (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_BR_05_R2,ALT_CORE_B_BR_05_C,MU,RARE,Issun-Bōshi,Issun-bōshi,,,,,,,,#{R} Ein Charakter deiner Wahl erhält 1 Verstärkung#.,"{D} : Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung. (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_BR_06_C,ALT_CORE_B_BR_06_C,BR,COMMON,Tiny Jinn,Mini-Dschinn,,,,,,,,Wenn ich die Expeditionszone verlasse und falls ich [BOOSTED] bin — Lege mich in die Manazone meines Besitzers (als erschöpfte Manakugel).  {R} Ich erhalte 1 Verstärkung.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_06_R1,ALT_CORE_B_BR_06_C,BR,RARE,Tiny Jinn,Mini-Dschinn,,,,,,,,Wenn ich die Expeditionszone verlasse und falls ich [BOOSTED] bin — Lege mich in die Manazone meines Besitzers (als erschöpfte Manakugel).  {R} Ich erhalte 1 Verstärkung.,,,,,,,,,,,,,,,
