ID;ID Base;Faction;Alteration;Name EN;Name FR;Name DE;Name ES;Name IT;Type;Sub-Type;Cost;Recall Cost;Vegetal;Mineral;Aquatic;Effect EN;Echo EN;Effect FR;Echo FR;Effect DE;Echo DE;Effect ES;Echo ES;Effect IT;Echo IT;Flavor EN;Flavor FR;Flavor DE;Flavor ES;Flavor IT;Numbering;Artist
ALT_BISE_A_MU_58_R1;ALT_BISE_A_MU_58_C;MU;RARE;The Minotaur;The Minotaur;The Minotaur;The Minotaur;The Minotaur;CHARACTER;ANIMAL DRUID;6;6;5;5;5;$[SCOUT_3] {3}.  {J} #Target Character# gains [ANCHORED].;#{I} At Noon — I gain 1 boost, up to a max of 2.#;;;;;;;;;Our mascot will always be available for a few selfies.;;;;;;Zero Wen
ALT_BISE_A_MU_58_R2;ALT_BISE_A_MU_58_C;LY;RARE;The Minotaur;The Minotaur;The Minotaur;The Minotaur;The Minotaur;CHARACTER;ANIMAL DRUID;6;6;5;5;5;$[SCOUT_3] {3}.  {J} #Target Character# gains [ANCHORED].;{I} #When you play a Character with a base statistic of 0 — I gain 1 boost, up to a max of 2.#;;;;;;;;;Our mascot will always be available for a few selfies.;;;;;;Zero Wen
ALT_BISE_A_OR_57_C;ALT_BISE_A_OR_57_C;OR;COMMON;Ariadne;Ariadne;Ariadne;Ariadne;Ariadne;CHARACTER;BUREAUCRAT NOBLE;5;5;4;4;4;When an opponent plays a Character — If there are no Characters in the Expedition facing me, that Character switches Expeditions.;;;;;;;;;;Big up to all the little people who keep the event running.;;;;;;Zero Wen
ALT_BISE_A_OR_57_R1;ALT_BISE_A_OR_57_C;OR;RARE;Ariadne;Ariadne;Ariadne;Ariadne;Ariadne;CHARACTER;BUREAUCRAT NOBLE;#4#;#4#;#3#;#3#;#3#;When an opponent plays a Character — If there are no Characters in the Expedition facing me, that Character switches Expeditions.;;;;;;;;;;Big up to all the little people who keep the event running.;;;;;;Zero Wen
ALT_BISE_A_OR_57_R2;ALT_BISE_A_OR_57_C;MU;RARE;Ariadne;Ariadne;Ariadne;Ariadne;Ariadne;CHARACTER;BUREAUCRAT NOBLE;#4#;#4#;#3#;#3#;#3#;When an opponent plays a Character — If there are no Characters in the Expedition facing me, that Character switches Expeditions.;;;;;;;;;;Big up to all the little people who keep the event running.;;;;;;Zero Wen
ALT_BISE_A_YZ_52_C;ALT_BISE_A_YZ_52_C;YZ;COMMON;Pasiphaë;Pasiphaë;Pasiphaë;Pasiphaë;Pasiphaë;CHARACTER;NOBLE;2;2;0;0;0;{J} I gain [FLEETING].  {J} I gain 1 boost per Character target opponent controls.;;;;;;;;;;Goodies! Who wants goodies?;;;;;;Jean-Baptiste Andrier
ALT_BISE_A_YZ_52_R1;ALT_BISE_A_YZ_52_C;YZ;RARE;Pasiphaë;Pasiphaë;Pasiphaë;Pasiphaë;Pasiphaë;CHARACTER;NOBLE;2;2;0;0;0;{J} I gain 1 boost per Character target opponent controls.;;;;;;;;;;Goodies! Who wants goodies?;;;;;;Jean-Baptiste Andrier
ALT_BISE_A_YZ_52_R2;ALT_BISE_A_YZ_52_C;MU;RARE;Pasiphaë;Pasiphaë;Pasiphaë;Pasiphaë;Pasiphaë;CHARACTER;NOBLE;2;2;0;0;0;{J} I gain 1 boost per Character target opponent controls.;;;;;;;;;;Goodies! Who wants goodies?;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_AX_49_C;ALT_BISE_B_AX_49_C;AX;COMMON;Sap Sniffer;Sap Sniffer;Sap Sniffer;Sap Sniffer;Sap Sniffer;CHARACTER;ANIMAL;1;1;0;1;1;{R} You may [AUGMENT] target card in play or in Reserve. (If it has counters, it gains 1 more. This can't target Hero cards.);;;;;;;;;;Indigenous to the ruins, these little creatures can smell Sap from a mile away.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_49_R1;ALT_BISE_B_AX_49_C;AX;RARE;Sap Sniffer;Sap Sniffer;Sap Sniffer;Sap Sniffer;Sap Sniffer;CHARACTER;ANIMAL;1;1;0;1;1;#{J}# You may [AUGMENT] target card in play or in Reserve. (If it has counters, it gains 1 more. This can't target Hero cards.);;;;;;;;;;Indigenous to the ruins, these little creatures can smell Sap from a mile away.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_49_R2;ALT_BISE_B_AX_49_C;BR;RARE;Sap Sniffer;Sap Sniffer;Sap Sniffer;Sap Sniffer;Sap Sniffer;CHARACTER;ANIMAL;1;1;0;1;1;{R} You may [AUGMENT] target card in play or in Reserve. (If it has counters, it gains 1 more. This can't target Hero cards.);;;;;;;;;;Indigenous to the ruins, these little creatures can smell Sap from a mile away.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_50_C;ALT_BISE_B_AX_50_C;AX;COMMON;Dredger Drone;Dredger Drone;Dredger Drone;Dredger Drone;Dredger Drone;CHARACTER;ROBOT;2;3;1;2;2;{R} You may spend 1 of my boosts to [RESUPPLY_INF]. (Put the top card of your deck in Reserve.);{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;The more you dig, the better your chances of finding something unique.;;;;;;Anh Tung
ALT_BISE_B_AX_50_R1;ALT_BISE_B_AX_50_C;AX;RARE;Dredger Drone;Dredger Drone;Dredger Drone;Dredger Drone;Dredger Drone;CHARACTER;ROBOT;2;3;1;2;2;{R} You may spend #1 counter# from #a card you control or in your Reserve# to [RESUPPLY_INF].;{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;The more you dig, the better your chances of finding something unique.;;;;;;Anh Tung
ALT_BISE_B_AX_50_R2;ALT_BISE_B_AX_50_C;LY;RARE;Dredger Drone;Dredger Drone;Dredger Drone;Dredger Drone;Dredger Drone;CHARACTER;ROBOT;2;3;#0#;2;2;{R} You may spend #1 counter# from #a card you control or in your Reserve# to [RESUPPLY_INF].;{I} #When you play another Character with a base statistic of 0# — I gain 1 boost, up to a #max of 2.#;;;;;;;;;The more you dig, the better your chances of finding something unique.;;;;;;Anh Tung
ALT_BISE_B_AX_51_C;ALT_BISE_B_AX_51_C;AX;COMMON;Designer Drone;Designer Drone;Designer Drone;Designer Drone;Designer Drone;CHARACTER;ROBOT ENGINEER;1;3;1;1;1;;{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;Designed by designers to help them design.;;;;;;Anh Tung
ALT_BISE_B_AX_51_R1;ALT_BISE_B_AX_51_C;AX;RARE;Designer Drone;Designer Drone;Designer Drone;Designer Drone;Designer Drone;CHARACTER;ROBOT ENGINEER;1;3;1;1;1;#{R} You may spend 1 counter from a card you control or in your Reserve to reduce the cost of the next Permanent you play this Afternoon by {2}.#;{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;Designed by designers to help them design.;;;;;;Anh Tung
ALT_BISE_B_AX_51_R2;ALT_BISE_B_AX_51_C;OR;RARE;Designer Drone;Designer Drone;Designer Drone;Designer Drone;Designer Drone;CHARACTER;ROBOT ENGINEER;1;#2#;1;1;1;#{R} You may spend 1 counter from a card you control or in your Reserve to reduce the cost of the next Permanent you play this Afternoon by {2}.#;{I} #When another Character joins your Expeditions# — I gain 1 boost, up to a #max of 2.#;;;;;;;;;Designed by designers to help them design.;;;;;;Anh Tung
ALT_BISE_B_AX_52_C;ALT_BISE_B_AX_52_C;AX;COMMON;Drillmole;Drillmole;Drillmole;Drillmole;Drillmole;CHARACTER;ROBOT;2;3;2;2;0;{R} You may spend 1 of my boosts to [SABOTAGE_INF]. (Discard up to one target card from a Reserve.);{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;Not my cabbages!;;;;;;Anh Tung
ALT_BISE_B_AX_52_R1;ALT_BISE_B_AX_52_C;AX;RARE;Drillmole;Drillmole;Drillmole;Drillmole;Drillmole;CHARACTER;ROBOT;2;3;2;2;#1#;{R} You may spend #1 counter# from #a card you control or in your Reserve# to [SABOTAGE_INF].;{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;Not my cabbages!;;;;;;Anh Tung
ALT_BISE_B_AX_52_R2;ALT_BISE_B_AX_52_C;OR;RARE;Drillmole;Drillmole;Drillmole;Drillmole;Drillmole;CHARACTER;ROBOT;2;3;2;2;#1#;{R} You may spend #1 counter# from #a card you control or in your Reserve# to [SABOTAGE_INF].;{I} #When another Character joins your Expeditions# — I gain 1 boost, up to a #max of 2.#;;;;;;;;;Not my cabbages!;;;;;;Anh Tung
ALT_BISE_B_AX_53_C;ALT_BISE_B_AX_53_C;AX;COMMON;The Grems;The Grems;The Grems;The Grems;The Grems;CHARACTER;ENGINEER;2;2;1;2;2;{R} Choose up to one:  • Discard target Permanent with Hand Cost {3} or less.  • Sacrifice a Permanent. If you do, create a [BRASSBUG] Robot token in target Expedition.;;;;;;;;;;It's not demolition, but basic recycling. Or so they say.;;;;;;Atanas Lozanski
ALT_BISE_B_AX_53_R1;ALT_BISE_B_AX_53_C;AX;RARE;The Grems;The Grems;The Grems;The Grems;The Grems;CHARACTER;ENGINEER;2;2;#2#;2;2;{R} Choose up to one:  • Discard target Permanent with Hand Cost #{5} or less.#  • Sacrifice a Permanent. If you do, create a [BRASSBUG] Robot token in target Expedition.;;;;;;;;;;It's not demolition, but basic recycling. Or so they say.;;;;;;Atanas Lozanski
ALT_BISE_B_AX_53_R2;ALT_BISE_B_AX_53_C;BR;RARE;The Grems;The Grems;The Grems;The Grems;The Grems;CHARACTER;ENGINEER;2;2;1;2;2;{R} Choose up to one:  • Discard target Permanent with Hand Cost {3} or less.  • Sacrifice a Permanent. If you do, create a [BRASSBUG] Robot token in target Expedition.;;;;;;;;;;It's not demolition, but basic recycling. Or so they say.;;;;;;Atanas Lozanski
ALT_BISE_B_AX_54_C;ALT_BISE_B_AX_54_C;AX;COMMON;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;CHARACTER;ENGINEER MESSENGER;3;3;3;2;3;$[SCOUT_1] {1}. {J} You may [AUGMENT] target card in play or in Reserve. (If it has counters, it gains 1 more. This can't target Hero cards.);;;;;;;;;;This wheel is the result of hours of mechanical training.;;;;;;Aaron Ming
ALT_BISE_B_AX_54_R1;ALT_BISE_B_AX_54_C;AX;RARE;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;CHARACTER;ENGINEER MESSENGER;3;3;3;2;3;#$[SCOUT_2] {2}.#  {J} [AUGMENT_IMP] #any number# of target cards in play or in Reserve. (If they have counters, they gain 1 more. This can't target Hero cards.);;;;;;;;;;This wheel is the result of hours of mechanical training.;;;;;;Aaron Ming
ALT_BISE_B_AX_54_R2;ALT_BISE_B_AX_54_C;OR;RARE;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;Aby, Sap Courier;CHARACTER;ENGINEER MESSENGER;3;3;3;2;3;#$[SCOUT_2] {2}.#  {J} [AUGMENT_IMP] #any number# of target cards in play or in Reserve. (If they have counters, they gain 1 more. This can't target Hero cards.);;;;;;;;;;This wheel is the result of hours of mechanical training.;;;;;;Aaron Ming
ALT_BISE_B_AX_55_C;ALT_BISE_B_AX_55_C;AX;COMMON;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;CHARACTER;ENGINEER;3;2;2;3;2;{R} If your hand is empty, I gain 1 boost.;;;;;;;;;;With the appropriate tech, Sap can exhibit energetic properties sufficient to replace Kelon.;;;;;;Anh Tung
ALT_BISE_B_AX_55_R1;ALT_BISE_B_AX_55_C;AX;RARE;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;CHARACTER;ENGINEER;3;2;2;#2#;2;{R} If your hand is empty, #I gain 2 boosts, otherwise I gain 1 boost.#;;;;;;;;;;With the appropriate tech, Sap can exhibit energetic properties sufficient to replace Kelon.;;;;;;Anh Tung
ALT_BISE_B_AX_55_R2;ALT_BISE_B_AX_55_C;BR;RARE;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;Shortage Supervisor;CHARACTER;ENGINEER;3;2;2;#2#;2;{R} If your hand is empty, #I gain 2 boosts, otherwise I gain 1 boost.#;;;;;;;;;;With the appropriate tech, Sap can exhibit energetic properties sufficient to replace Kelon.;;;;;;Anh Tung
ALT_BISE_B_AX_56_C;ALT_BISE_B_AX_56_C;AX;COMMON;Icarus;Icarus;Icarus;Icarus;Icarus;CHARACTER;ADVENTURER;4;3;4;4;2;$[SCOUT_1] {1}.  {J} Ready all cards in your Reserve.;;;;;;;;;;This time, I hope the Sap wax will hold.;;;;;;Atanas Lozanski
ALT_BISE_B_AX_56_R1;ALT_BISE_B_AX_56_C;AX;RARE;Icarus;Icarus;Icarus;Icarus;Icarus;CHARACTER;ADVENTURER;4;3;4;4;2;$[SCOUT_1] {1}. ;#{I} You may play exhausted cards from your Reserve.#;;;;;;;;;This time, I hope the Sap wax will hold.;;;;;;Atanas Lozanski
ALT_BISE_B_AX_56_R2;ALT_BISE_B_AX_56_C;YZ;RARE;Icarus;Icarus;Icarus;Icarus;Icarus;CHARACTER;ADVENTURER;4;3;4;4;2;$[SCOUT_1] {1}.  {J} Ready all cards in your Reserve.;;;;;;;;;;This time, I hope the Sap wax will hold.;;;;;;Atanas Lozanski
ALT_BISE_B_AX_57_C;ALT_BISE_B_AX_57_C;AX;COMMON;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;CHARACTER;ROBOT;5;6;5;5;5;{R} You may spend 1 of my boosts to ready two Mana Orbs.;{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;It's no longer flawed, but there's still room for improvement.;;;;;;Anh Tung
ALT_BISE_B_AX_57_R1;ALT_BISE_B_AX_57_C;AX;RARE;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;CHARACTER;ROBOT;5;6;5;5;5;{R} You may spend #1 counter# from #a card you control or in your Reserve# to ready two Mana Orbs.;{I} At Noon — Choose one:  • I gain 1 boost, up to a max of 3.  • {T} : I gain 2 boosts, up to a max of 3.;;;;;;;;;It's no longer flawed, but there's still room for improvement.;;;;;;Anh Tung
ALT_BISE_B_AX_57_R2;ALT_BISE_B_AX_57_C;BR;RARE;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;Enhanced Prototype;CHARACTER;ROBOT;5;6;5;5;5;{R} You may spend #1 counter# from #a card you control or in your Reserve# to ready two Mana Orbs.;{I} #When you play another Character# — I gain 1 boost, up to a max of 3.;;;;;;;;;It's no longer flawed, but there's still room for improvement.;;;;;;Anh Tung
ALT_BISE_B_AX_58_C;ALT_BISE_B_AX_58_C;AX;COMMON;Bugfix;Bugfix;Bugfix;Bugfix;Bugfix;SPELL;MANEUVER;1;2;;;;[COOLDOWN]. (If I go to Reserve after my effect resolves, exhaust me {T}. Exhausted cards can't be played and have no Support abilities.)  You may spend 1 counter from a card you control or in your Reserve to create a [BRASSBUG] Robot token in target Expedition.;;;;;;;;;;It's not Kelon, but this Sap will make you feel better, I swear.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_58_R1;ALT_BISE_B_AX_58_C;AX;RARE;Bugfix;Bugfix;Bugfix;Bugfix;Bugfix;SPELL;MANEUVER;1;#1#;;;;[COOLDOWN].  You may spend 1 counter from a card you control or in your Reserve to create a [BRASSBUG] Robot token in target Expedition.;;;;;;;;;;It's not Kelon, but this Sap will make you feel better, I swear.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_58_R2;ALT_BISE_B_AX_58_C;OR;RARE;Bugfix;Bugfix;Bugfix;Bugfix;Bugfix;SPELL;MANEUVER;1;2;;;;[COOLDOWN].  You may spend 1 counter from a card you control or in your Reserve to create a [BRASSBUG] Robot token in target Expedition.;;;;;;;;;;It's not Kelon, but this Sap will make you feel better, I swear.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_59_C;ALT_BISE_B_AX_59_C;AX;COMMON;Sap Overflow;Sap Overflow;Sap Overflow;Sap Overflow;Sap Overflow;SPELL;DISRUPTION;4;4;;;;$[FLEETING].  Discard target Character in play or in Reserve.;;;;;;;;;;With every dig, the Sap becomes riskier to harvest.;;;;;;HuoMiao Studio
ALT_BISE_B_AX_59_R1;ALT_BISE_B_AX_59_C;AX;RARE;Sap Overflow;Sap Overflow;Sap Overflow;Sap Overflow;Sap Overflow;SPELL;DISRUPTION;4;4;;;;[FLEETING].  #Choose one:  • Spend 1 counter from a card you control or in your Reserve to discard target Permanent.#  • Discard target Character in play or in Reserve.;;;;;;;;;;With every dig, the Sap becomes riskier to harvest.;;;;;;HuoMiao Studio
ALT_BISE_B_AX_59_R2;ALT_BISE_B_AX_59_C;OR;RARE;Sap Overflow;Sap Overflow;Sap Overflow;Sap Overflow;Sap Overflow;SPELL;DISRUPTION;4;4;;;;[FLEETING].  #Choose one:  • Spend 1 counter from a card you control or in your Reserve to discard target Permanent.#  • Discard target Character in play or in Reserve.;;;;;;;;;;With every dig, the Sap becomes riskier to harvest.;;;;;;HuoMiao Studio
ALT_BISE_B_AX_60_C;ALT_BISE_B_AX_60_C;AX;COMMON;Sap Extractor;Sap Extractor;Sap Extractor;Sap Extractor;Sap Extractor;LANDMARK_PERMANENT;CONSTRUCTION;1;1;;;;At Noon — You may [AUGMENT] target card in play or in Reserve. (If it has counters, it gains 1 more. This can't target Hero cards.);;;;;;;;;;The Sap courses through the whole city like blood in a mortal's veins.;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_AX_60_R1;ALT_BISE_B_AX_60_C;AX;RARE;Sap Extractor;Sap Extractor;Sap Extractor;Sap Extractor;Sap Extractor;LANDMARK_PERMANENT;CONSTRUCTION;#3#;#3#;;;;At Noon — [AUGMENT_IMP] #any number# of target cards in play or in Reserve. (If they have counters, they gain 1 more. This can't target Hero cards.);;;;;;;;;;The Sap courses through the whole city like blood in a mortal's veins.;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_AX_60_R2;ALT_BISE_B_AX_60_C;YZ;RARE;Sap Extractor;Sap Extractor;Sap Extractor;Sap Extractor;Sap Extractor;LANDMARK_PERMANENT;CONSTRUCTION;#3#;#3#;;;;At Noon — [AUGMENT_IMP] #any number# of target cards in play or in Reserve. (If they have counters, they gain 1 more. This can't target Hero cards.);;;;;;;;;;The Sap courses through the whole city like blood in a mortal's veins.;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_AX_61_C;ALT_BISE_B_AX_61_C;AX;COMMON;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;LANDMARK_PERMANENT;CONSTRUCTION;3;3;;;;{J} $[RESUPPLY].  Your Reserve limit is increased by one.;;;;;;;;;;Two's company, three's a crowd.;;;;;;Justice Wong
ALT_BISE_B_AX_61_R1;ALT_BISE_B_AX_61_C;AX;RARE;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;LANDMARK_PERMANENT;CONSTRUCTION;#2#;#2#;;;;{J} [RESUPPLY].  Your Reserve limit is increased by one.;;;;;;;;;;Two's company, three's a crowd.;;;;;;Justice Wong
ALT_BISE_B_AX_61_R2;ALT_BISE_B_AX_61_C;LY;RARE;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;Tech Lab Unit;LANDMARK_PERMANENT;CONSTRUCTION;#2#;#2#;;;;{J} [RESUPPLY].  Your Reserve limit is increased by one.;;;;;;;;;;Two's company, three's a crowd.;;;;;;Justice Wong
ALT_BISE_B_AX_62_C;ALT_BISE_B_AX_62_C;AX;COMMON;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;EXPEDITION_PERMANENT;GEAR;2;2;;;;{J} Create a [BRASSBUG] Robot token in my Expedition.;;;;;;;;;;They forgot to pack the Eat Me energy bars.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_62_R1;ALT_BISE_B_AX_62_C;AX;RARE;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;EXPEDITION_PERMANENT;GEAR;#3#;2;;;;#{H}# Create a [BRASSBUG] Robot token in my Expedition.  #{R} [RESUPPLY].#;;;;;;;;;;They forgot to pack the Eat Me energy bars.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_62_R2;ALT_BISE_B_AX_62_C;OR;RARE;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;Bug-Out Bag;EXPEDITION_PERMANENT;GEAR;2;2;;;;{J} Create a [BRASSBUG] Robot token in my Expedition.  #{R} [RESUPPLY].#;;;;;;;;;;They forgot to pack the Eat Me energy bars.;;;;;;Kevin Sidharta
ALT_BISE_B_AX_63_C;ALT_BISE_B_AX_63_C;AX;COMMON;The Refinery;The Refinery;The Refinery;The Refinery;The Refinery;LANDMARK_PERMANENT;CONSTRUCTION;2;2;;;;When a card leaves your Reserve during the Afternoon — I gain 1 Sap counter.  {T}, Spend 3 of my Sap counters: Characters in your Reserve gain 1 boost.;;;;;;;;;;The use of Sap will alter the course of science as we know it.;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_AX_63_R1;ALT_BISE_B_AX_63_C;AX;RARE;The Refinery;The Refinery;The Refinery;The Refinery;The Refinery;LANDMARK_PERMANENT;CONSTRUCTION;2;2;;;;When a card leaves your Reserve during the Afternoon — I gain 1 Sap counter.  {T}, Spend 3 of my Sap counters: #distribute 3 boosts among any Characters in Reserve#.;;;;;;;;;;The use of Sap will alter the course of science as we know it.;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_AX_63_R2;ALT_BISE_B_AX_63_C;LY;RARE;The Refinery;The Refinery;The Refinery;The Refinery;The Refinery;LANDMARK_PERMANENT;CONSTRUCTION;2;2;;;;When a card leaves your Reserve during the Afternoon — I gain 1 Sap counter.  {T}, Spend 3 of my Sap counters: Characters in your Reserve gain 1 boost.;;;;;;;;;;The use of Sap will alter the course of science as we know it.;;;;;;Jean-Baptiste Andrier
ALT_BISE_B_BR_49_C;ALT_BISE_B_BR_49_C;BR;COMMON;Junior Chef;Junior Chef;Junior Chef;Junior Chef;Junior Chef;CHARACTER;ANIMAL APPRENTICE;1;3;1;1;1;;{I} When you play another Character — I gain 1 boost, up to a max of 3.;;;;;;;;;The Bravos are always the best with a blade, whether it's in a duel or in the kitchen.;;;;;;Nestor Papatriantafyllou
ALT_BISE_B_BR_49_R1;ALT_BISE_B_BR_49_C;BR;RARE;Junior Chef;Junior Chef;Junior Chef;Junior Chef;Junior Chef;CHARACTER;ANIMAL APPRENTICE;1;3;1;1;1;#{R} If I have 2 or more boosts, [RESUPPLY_LOW].#;{I} When you play another Character — I gain 1 boost, up to a max of 3.;;;;;;;;;The Bravos are always the best with a blade, whether it's in a duel or in the kitchen.;;;;;;Nestor Papatriantafyllou
ALT_BISE_B_BR_49_R2;ALT_BISE_B_BR_49_C;AX;RARE;Junior Chef;Junior Chef;Junior Chef;Junior Chef;Junior Chef;CHARACTER;ANIMAL APPRENTICE;1;3;1;1;1;#{R} If I have 2 or more boosts, [RESUPPLY_LOW].#;{I} #At Noon — Choose one:#  • I gain 1 boost, up to a max of 3.  • #{T} : I gain 2 boosts#, up to a max of 3.;;;;;;;;;The Bravos are always the best with a blade, whether it's in a duel or in the kitchen.;;;;;;Nestor Papatriantafyllou
