ID;ID Base;Faction;Alteration;Name;Name En;Colonne3;Colonne2;Colonne1;Type;Sub-Type;Cost;Recall Cost;Vegetal;Mineral;Aquatic;Effect;Echo;;;;;;;;;flavor;;;;;#;Artist;Placeholder Y/N;Etat Brief;Tags;State;Changement;Commentaire;Promo?;;;;;
ALT_DUSTER_B_AX_89_C;ALT_DUSTER_B_AX_89_C;AX;COMMON;Nikola Tesla;Nikola Tesla;;;;CHARACTER;ENGINEER;2;2;2;2;2;{R} I gain 1 boost if you control an exhausted Permanent or if there's an exhausted card in your Reserve.;;;;;;;;;;"""With this new invention, we can generate a force field to protect the city!""";;;;;005;Fahmi Fauzi;FAUX;Brief Done;{T}, {R};;;;B;;;;;
ALT_DUSTER_B_AX_89_R1;ALT_DUSTER_B_AX_89_C;AX;RARE;Nikola Tesla;Nikola Tesla;;;;CHARACTER;ENGINEER;#1#;2;#1#;#1#;#1#;{R} I gain 1 boost #per# exhausted Permanent you control and #per# exhausted card in your Reserve, up to a max of 3 boosts on me.;;;;;;;;;;"""With this new invention, we can generate a force field to protect the city!""";;;;;005;Fahmi Fauzi;FAUX;Brief Done;{T}, {R};;;;B;;;;;
ALT_DUSTER_B_AX_89_R2;ALT_DUSTER_B_AX_89_C;OR;RARE;Nikola Tesla;Nikola Tesla;;;;CHARACTER;ENGINEER;#1#;2;#1#;#1#;#1#;{R} I gain 1 boost #per# exhausted Permanent you control and #per# exhausted card in your Reserve, up to a max of 3 boosts on me.;;;;;;;;;;"""With this new invention, we can generate a force field to protect the city!""";;;;;005;Fahmi Fauzi;FAUX;Brief Done;{T}, {R};;;;B;;;;;
ALT_DUSTER_B_AX_86_C;ALT_DUSTER_B_AX_86_C;AX;COMMON;Tik-Tok;Tik-Tok;;;;CHARACTER;ARTIST ROBOT;2;2;3;2;2;{H} Exhaust ({T}) a Permanent you control or a card in your Reserve. (Exhausted cards can't be played and have no Support abilities.);;;;;;;;;;HashtagDanceTillUDrop HashtagOzmaLoveLove;;;;;006;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Simple;;;;B;;;;;
ALT_DUSTER_B_AX_86_R1;ALT_DUSTER_B_AX_86_C;AX;RARE;Tik-Tok;Tik-Tok;;;;CHARACTER;ARTIST ROBOT;2;2;3;2;2;{H} #Each player# exhausts ({T}) a Permanent they control or a card in their Reserve.;;;;;;;;;;HashtagDanceTillUDrop HashtagOzmaLoveLove;;;;;006;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Reserve Interaction;;;;B;;;;;
ALT_DUSTER_B_AX_86_R2;ALT_DUSTER_B_AX_86_C;YZ;RARE;Tik-Tok;Tik-Tok;;;;CHARACTER;ARTIST ROBOT;2;2;3;2;2;{H} #Each player# exhausts ({T}) a Permanent they control or a card in their Reserve.;;;;;;;;;;HashtagDanceTillUDrop HashtagOzmaLoveLove;;;;;006;Jean-Baptiste Andrier;FAUX;Brief Done;{T};;;;B;;;;;
ALT_DUSTER_B_AX_91_C;ALT_DUSTER_B_AX_91_C;AX;COMMON;Vending Bot;Vending Bot;;;;CHARACTER;ROBOT MERCHANT;3;2;0;2;3;{R} [EXHAUSTED_RESUPPLY]. (Put the top card of your deck in Reserve, then exhaust it {T}. Exhausted cards can't be played and have no Support abilities.);;;;;;;;;;"""Sap Cola! Pepsap! Guaranteed sugar-free!""";;;;;007;Anh Tung;FAUX;Envoi Brief;{T}, Card Advantage, {R};;;;B;;;;;
ALT_DUSTER_B_AX_91_R1;ALT_DUSTER_B_AX_91_C;AX;RARE;Vending Bot;Vending Bot;;;;CHARACTER;ROBOT MERCHANT;#2#;2;0;#3#;3;{R} [EXHAUSTED_RESUPPLY].;;;;;;;;;;"""Sap Cola! Pepsap! Guaranteed sugar-free!""";;;;;007;Anh Tung;FAUX;Envoi Brief;{T}, Card Advantage, {R};;;;B;;;;;
ALT_DUSTER_B_AX_91_R2;ALT_DUSTER_B_AX_91_C;OR;RARE;Vending Bot;Vending Bot;;;;CHARACTER;ROBOT MERCHANT;#2#;2;0;#3#;3;{R} [EXHAUSTED_RESUPPLY].;;;;;;;;;;"""Sap Cola! Pepsap! Guaranteed sugar-free!""";;;;;007;Anh Tung;FAUX;Envoi Brief;{T}, Card Advantage, {R};;;;B;;;;;
ALT_DUSTER_B_AX_93_C;ALT_DUSTER_B_AX_93_C;AX;COMMON;Reka Magnate;Reka Magnate;;;;CHARACTER;BUREAUCRAT;3;3;2;2;3;"{R} Choose one:  • [SABOTAGE].  • Create a [MANASEED] token in your Landmarks. (It's a Permanent with ""{T}, Sacrifice me: Ready a Mana Orb."")";;;;;;;;;;"""A disruptive smoothie to knock the competition off balance!""";;;;;008;Nestor Papatriantafyllou;FAUX;Brief Done;{R}, Reserve Interaction, Mainfeature 1 - Manaseed;;;;B;;;;;
ALT_DUSTER_B_AX_93_R1;ALT_DUSTER_B_AX_93_C;AX;RARE;Reka Magnate;Reka Magnate;;;;CHARACTER;BUREAUCRAT;3;3;2;2;3;{R} Choose one, #or exhaust a Permanent you control to choose both:#  • [SABOTAGE].  • Create a [MANASEED] token in your Landmarks.;;;;;;;;;;"""A disruptive smoothie to knock the competition off balance!""";;;;;008;Nestor Papatriantafyllou;FAUX;Brief Done;{R}, Reserve Interaction, Mainfeature 1 - Manaseed;;;;B;;;;;
ALT_DUSTER_B_AX_93_R2;ALT_DUSTER_B_AX_93_C;BR;RARE;Reka Magnate;Reka Magnate;;;;CHARACTER;BUREAUCRAT;3;3;2;2;3;{R} Choose one, #or exhaust a Permanent you control to choose both:#  • [SABOTAGE].  • Create a [MANASEED] token in your Landmarks.;;;;;;;;;;"""A disruptive smoothie to knock the competition off balance!""";;;;;008;Nestor Papatriantafyllou;FAUX;Brief Done;{R}, Reserve Interaction, Mainfeature 1 - Manaseed;;;;B;;;;;
ALT_DUSTER_B_AX_96_C;ALT_DUSTER_B_AX_96_C;AX;COMMON;The Shell;The Shell;;;;CHARACTER;ROBOT;3;3;3;3;1;{R} You may put a card from your hand in Reserve to draw a card.;;;;;;;;;;"""Does this physical shell define me?""";;;;;009;Taras Susak;FAUX;Brief Done;{R}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_96_R1;ALT_DUSTER_B_AX_96_C;AX;RARE;The Shell;The Shell;;;;CHARACTER;ROBOT;#2#;3;3;3;1;{R} You may put a card from your hand in Reserve to draw a card.;;;;;;;;;;"""Does this physical shell define me?""";;;;;009;Taras Susak;FAUX;Envoi Brief;{R}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_96_R2;ALT_DUSTER_B_AX_96_C;BR;RARE;The Shell;The Shell;;;;CHARACTER;ROBOT;#2#;3;3;3;1;{R} You may put a card from your hand in Reserve to draw a card.;;;;;;;;;;"""Does this physical shell define me?""";;;;;009;Taras Susak;FAUX;Envoi Brief;{R}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_92_C;ALT_DUSTER_B_AX_92_C;AX;COMMON;Reka Bioengineer;Reka Bioengineer;;;;CHARACTER;ENGINEER;4;4;3;4;4;"{J} You may exhaust ({T}) a card in your Reserve to create a [MANASEED] token in your Landmarks. (It's a Permanent with ""{T}, Sacrifice me: Ready a Mana Orb."")";;;;;;;;;;In the wild rush to find new uses for Manaseeds, it seems the sky's the limit…;;;;;010;Victor Canton;FAUX;Brief Done;{T}, Mainfeature 1 - Manaseed;;;;B;;;;;
ALT_DUSTER_B_AX_92_R1;ALT_DUSTER_B_AX_92_C;AX;RARE;Reka Bioengineer;Reka Bioengineer;;;;CHARACTER;ENGINEER;4;#3#;3;4;4;{J} You may exhaust ({T}) target card in #any player's# Reserve. If you do, create a [MANASEED] token in #that player's# Landmarks.;;;;;;;;;;In the wild rush to find new uses for Manaseeds, it seems the sky's the limit…;;;;;010;Victor Canton;FAUX;Brief Done;{T}, Mainfeature 1 - Manaseed, Multiplayer, Feature 1 - Gift;;;;B;;;;;
ALT_DUSTER_B_AX_92_R2;ALT_DUSTER_B_AX_92_C;YZ;RARE;Reka Bioengineer;Reka Bioengineer;;;;CHARACTER;ENGINEER;4;#3#;3;4;4;{J} You may exhaust ({T}) target card in #any player's# Reserve. If you do, create a [MANASEED] token in #that player's# Landmarks.;;;;;;;;;;In the wild rush to find new uses for Manaseeds, it seems the sky's the limit…;;;;;010;Victor Canton;FAUX;Brief Done;{T}, Mainfeature 1 - Manaseed, Multiplayer, Feature 1 - Gift;;;;B;;;;;
ALT_DUSTER_B_AX_95_C;ALT_DUSTER_B_AX_95_C;AX;COMMON;Sphura, Reka Hexarch;Sphura, Reka Hexarch;;;;CHARACTER;NOBLE ENGINEER;5;5;4;4;4;Play me for {1} less if you control an exhausted Permanent.  Play me for {1} less if there's an exhausted card in your Reserve.  {J} If there are four or more exhausted cards among Permanents you control and cards in your Reserve, ready up to two of them.;;;;;;;;;;"""The Juice is more than just energy; it's our lifeblood!""";;;;;011;Anh Tung;VRAI;Brief Done;Complex, Warning Uniques, Promo Booster, Constructed buildaround;;;;B;;;;;
ALT_DUSTER_B_AX_95_E;ALT_DUSTER_B_AX_95_C;AX;EXALTED;Sphura, Reka Hexarch;Sphura, Reka Hexarch;;;;CHARACTER;NOBLE ENGINEER;5;5;4;4;4;Play me for {1} less if you control an exhausted Permanent.  Play me for {1} less if there's an exhausted card in your Reserve.  {J} If there are four or more exhausted cards among Permanents you control and cards in your Reserve, ready up to two of them.;;;;;;;;;;"""The Juice is more than just energy; it's our lifeblood!""";;;;;011;Anh Tung;FAUX;Brief Done;Complex, Warning Uniques, Promo Booster, Constructed buildaround;;;;B;;;;;
ALT_DUSTER_B_AX_90_C;ALT_DUSTER_B_AX_90_C;AX;COMMON;Thomas Edison;Thomas Edison;;;;CHARACTER;ENGINEER ROGUE;5;5;5;5;5;{J} You may discard a Character from your Reserve. If you do, I activate one of its {r} abilities as if it was mine.;;;;;;;;;;"""Thanks to MY new invention, the city is safe!""";;;;;012;Victor Canton;FAUX;Brief Done;Complex, Warning Uniques;;;;B;;;;;
ALT_DUSTER_B_AX_90_R1;ALT_DUSTER_B_AX_90_C;AX;RARE;Thomas Edison;Thomas Edison;;;;CHARACTER;ENGINEER ROGUE;5;#4#;#4#;#4#;#4#;{J} You may discard #up to two# Characters from your Reserve. If you do, I activate #up to two# of their {r} abilities as if they were mine.;;;;;;;;;;"""Thanks to MY new invention, the city is safe!""";;;;;012;Victor Canton;FAUX;Envoi Brief;Complex, Warning Uniques;;;;B;;;;;
ALT_DUSTER_B_AX_90_R2;ALT_DUSTER_B_AX_90_C;BR;RARE;Thomas Edison;Thomas Edison;;;;CHARACTER;ENGINEER ROGUE;5;#4#;#4#;#4#;#4#;{J} You may discard #up to two# Characters from your Reserve. If you do, I activate #up to two# of their {r} abilities as if they were mine.;;;;;;;;;;"""Thanks to MY new invention, the city is safe!""";;;;;012;Victor Canton;FAUX;Envoi Brief;Complex, Warning Uniques;;;;B;;;;;
ALT_DUSTER_B_AX_97_C;ALT_DUSTER_B_AX_97_C;AX;COMMON;Failed Demo;Failed Demo;;;;SPELL;DISRUPTION;2;2;;;;[FLEETING].  Exhaust ({T}) a card in your Reserve. If you do, send to Reserve target Character with Base Cost {3} or less. (Reserve Cost if it's Fleeting, or Hand Cost if not.);;;;;;;;;;"Not a failure; just another step towards success.";;;;;013;Jean-Baptiste Andrier;FAUX;Brief Done;Constructed spoiler;;;;B;;;;;
ALT_DUSTER_B_AX_97_R1;ALT_DUSTER_B_AX_97_C;AX;RARE;Failed Demo;Failed Demo;;;;SPELL;DISRUPTION;2;#3#;;;;#[COOLDOWN].#  Exhaust ({T}) a card in your Reserve. If you do, send to Reserve target Character with Base Cost {3} or less. (Reserve Cost if it's Fleeting, or Hand Cost if not.);;;;;;;;;;"Not a failure; just another step towards success.";;;;;013;Jean-Baptiste Andrier;FAUX;Brief Done;Constructed spoiler;;;;B;;;;;
ALT_DUSTER_B_AX_97_R2;ALT_DUSTER_B_AX_97_C;LY;RARE;Failed Demo;Failed Demo;;;;SPELL;DISRUPTION;2;2;;;;[FLEETING].  Exhaust ({T}) a card in your Reserve. If you do, send to Reserve target Character with Base Cost {3} or less. (Reserve Cost if it's Fleeting, or Hand Cost if not.);;;;;;;;;;"Not a failure; just another step towards success.";;;;;013;Jean-Baptiste Andrier;FAUX;Brief Done;Constructed spoiler;;;;B;;;;;
ALT_DUSTER_B_AX_98_C;ALT_DUSTER_B_AX_98_C;AX;COMMON;Technological Encounter;Technological Encounter;;;;SPELL;CONJURATION MANEUVER;4;2;;;;"$[COOLDOWN].  Draw a card, then create a [MANASEED] token in your Landmarks. (It's a Permanent with ""{T}, Sacrifice me: Ready a Mana Orb."")";;;;;;;;;;"""The fruit of our research will lead our peoples to new heights.""";;;;;014;DOBA;FAUX;Envoi Brief;Mainfeature 1 - Manaseed, Card Advantage, Promo Adventure Pass, Spell Base Cost 4+;;;;B;;;;;
ALT_DUSTER_B_AX_98_R1;ALT_DUSTER_B_AX_98_C;AX;RARE;Technological Encounter;Technological Encounter;;;;SPELL;CONJURATION MANEUVER;#3#;2;;;;[COOLDOWN].  Draw a card, then create a [MANASEED] token in your Landmarks.;;;;;;;;;;"""The fruit of our research will lead our peoples to new heights.""";;;;;014;DOBA;FAUX;Envoi Brief;Mainfeature 1 - Manaseed, Card Advantage, Promo Adventure Pass;;;;B;;;;;
ALT_DUSTER_B_AX_98_R2;ALT_DUSTER_B_AX_98_C;YZ;RARE;Technological Encounter;Technological Encounter;;;;SPELL;CONJURATION MANEUVER;4;2;;;;[COOLDOWN].  Draw a card, then create a [MANASEED] token in your Landmarks.;;;;;;;;;;"""The fruit of our research will lead our peoples to new heights.""";;;;;014;DOBA;FAUX;Envoi Brief;Mainfeature 1 - Manaseed, Card Advantage, Promo Adventure Pass, Spell Base Cost 4+;;;;B;;;;;
ALT_DUSTER_B_AX_99_C;ALT_DUSTER_B_AX_99_C;AX;COMMON;Fab Lab Unit;Fab Lab Unit;;;;EXPEDITION_PERMANENT;GEAR;2;1;;;;{T} : The next Character played from your hand in my Expedition this turn activates one of its {r} abilities.;;;;;;;;;;All the power of the Foundry distilled into this miracle of technology.;;;;;015;Anh Tung;FAUX;Brief Done;Feature 2 - Gear, {T};;;;B;;;;;
ALT_DUSTER_B_AX_99_R1;ALT_DUSTER_B_AX_99_C;AX;RARE;Fab Lab Unit;Fab Lab Unit;;;;EXPEDITION_PERMANENT;GEAR;2;1;;;;{T} : The next Character played from your hand in my Expedition this turn activates one of its {r} abilities, #then gains 1 boost.#;;;;;;;;;;All the power of the Foundry distilled into this miracle of technology.;;;;;015;Anh Tung;FAUX;Brief Done;Feature 2 - Gear, {T}, Complex;;;;B;;;;;
ALT_DUSTER_B_AX_99_R2;ALT_DUSTER_B_AX_99_C;BR;RARE;Fab Lab Unit;Fab Lab Unit;;;;EXPEDITION_PERMANENT;GEAR;2;1;;;;{T} : The next Character played from your hand in my Expedition this turn activates one of its {r} abilities.;;;;;;;;;;All the power of the Foundry distilled into this miracle of technology.;;;;;015;Anh Tung;FAUX;Brief Done;Feature 2 - Gear, {T}, Complex;;;;B;;;;;
ALT_DUSTER_B_AX_101_C;ALT_DUSTER_B_AX_101_C;AX;COMMON;Axiom Exhibit;Axiom Exhibit;;;;LANDMARK_PERMANENT;SITE;2;2;;;;{T} : Target Character in your Reserve gains 1 boost. Then exhaust it ({T}). (Exhausted cards can't be played and have no Support abilities.);;;;;;;;;;"""Let's show the Reka the brilliance of Axiom ingenuity!""";;;;;016;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_101_R1;ALT_DUSTER_B_AX_101_C;AX;RARE;Axiom Exhibit;Axiom Exhibit;;;;LANDMARK_PERMANENT;SITE;2;2;;;;{T} : Target Character in your Reserve gains 1 boost. Then exhaust it ({T}).  #{T} : Target Character in your Reserve gains 1 boost. Then ready it.#;;;;;;;;;;"""Let's show the Reka the brilliance of Axiom ingenuity!""";;;;;016;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_101_R2;ALT_DUSTER_B_AX_101_C;YZ;RARE;Axiom Exhibit;Axiom Exhibit;;;;LANDMARK_PERMANENT;SITE;2;2;;;;{T} : Target Character in your Reserve gains 1 boost. Then exhaust it ({T}).  #{T} : Target Character in your Reserve gains 1 boost. Then ready it.#;;;;;;;;;;"""Let's show the Reka the brilliance of Axiom ingenuity!""";;;;;016;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_100_C;ALT_DUSTER_B_AX_100_C;AX;COMMON;Science Fair;Science Fair;;;;LANDMARK_PERMANENT;SITE;4;4;;;;{T} : Put a card from your hand in Reserve. If you do, draw a card.;;;;;;;;;;At this convention, the Reka show off their scientific superiority.;;;;;017;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Limited signpost;;;;B;;;;;
ALT_DUSTER_B_AX_100_R1;ALT_DUSTER_B_AX_100_C;AX;RARE;Science Fair;Science Fair;;;;LANDMARK_PERMANENT;SITE;#3#;#3#;;;;#{J} Exhaust me.#  {T} : Put a card from your hand in Reserve, #then exhaust it ({T}).# If you do, draw a card.;;;;;;;;;;At this convention, the Reka show off their scientific superiority.;;;;;017;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Limited signpost;;;;B;;;;;
ALT_DUSTER_B_AX_100_R2;ALT_DUSTER_B_AX_100_C;YZ;RARE;Science Fair;Science Fair;;;;LANDMARK_PERMANENT;SITE;#3#;#3#;;;;#{J} Exhaust me.#  {T} : Put a card from your hand in Reserve, #then exhaust it ({T}).# If you do, draw a card.;;;;;;;;;;At this convention, the Reka show off their scientific superiority.;;;;;017;Jean-Baptiste Andrier;FAUX;Brief Done;{T}, Limited signpost;;;;B;;;;;
ALT_DUSTER_B_AX_102_C;ALT_DUSTER_B_AX_102_C;AX;COMMON;The Consortium;The Consortium;;;;LANDMARK_PERMANENT;SITE;4;4;;;;{J} [RESUPPLY].  {T} : Target Character in Reserve gains 2 boosts.;;;;;;;;;;The epicenter of Reka research, focused on perpetual growth.;;;;;018;Fahmi Fauzi;FAUX;Brief Done;{T}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_102_R1;ALT_DUSTER_B_AX_102_C;AX;RARE;The Consortium;The Consortium;;;;LANDMARK_PERMANENT;SITE;#5#;#5#;;;;#{T} : [RESUPPLY]. Then# you may target a Character in Reserve, it gains 2 boosts.;;;;;;;;;;The epicenter of Reka research, focused on perpetual growth.;;;;;018;Fahmi Fauzi;FAUX;Brief Done;{T}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_AX_102_R2;ALT_DUSTER_B_AX_102_C;OR;RARE;The Consortium;The Consortium;;;;LANDMARK_PERMANENT;SITE;4;4;;;;{J} $[RESUPPLY].  {T} : Target Character in Reserve gains 2 boosts.;;;;;;;;;;The epicenter of Reka research, focused on perpetual growth.;;;;;018;Fahmi Fauzi;FAUX;Brief Done;{T}, Card Advantage;;;;B;;;;;
ALT_DUSTER_B_BR_65_C;ALT_DUSTER_B_BR_65_C;BR;COMMON;Sol & Halua;Sol & Halua;;;;HERO;;;;;;;"When you pass first — I gain 1 Quest counter. Then, if I have 3 or more Quest counters, create a [HALUA] Leviathan Companion token in your Companion Expedition. (It has ""If your Hero has 5 or more Quest counters, I am Gigantic."")";;;;;;;;;;Hate is a spear pointed at one's own heart;;;;;019;Tristan Bideau;FAUX;Brief Done;;;;;B;;;;;
ALT_DUSTER_B_BR_86_C;ALT_DUSTER_B_BR_86_C;BR;COMMON;Flying Squirrel;Flying Squirrel;;;;CHARACTER;ANIMAL ADVENTURER;1;2;1;1;0;{R} I gain 1 boost.;;;;;;;;;;The second big jump is where the fun really starts.;;;;;020;Matteo Spirito;FAUX;Brief Done;{R}, Simple;;;;B;;;;;
ALT_DUSTER_B_BR_86_R1;ALT_DUSTER_B_BR_86_C;BR;RARE;Flying Squirrel;Flying Squirrel;;;;CHARACTER;ANIMAL ADVENTURER;1;2;1;1;0;{R} #If I'm [IN_CONTACT], I gain 2 boosts,# otherwise I gain 1 boost. (I'm In Contact if another player's Expedition is in my region.);;;;;;;;;;The second big jump is where the fun really starts.;;;;;020;Matteo Spirito;FAUX;Brief Done;{R}, Mainfeature 2 - In Contact;;;;B;;;;;
ALT_DUSTER_B_BR_86_R2;ALT_DUSTER_B_BR_86_C;LY;RARE;Flying Squirrel;Flying Squirrel;;;;CHARACTER;ANIMAL ADVENTURER;1;2;1;1;0;{R} #If I'm [IN_CONTACT], I gain 2 boosts,# otherwise I gain 1 boost. (I'm In Contact if another player's Expedition is in my region.);;;;;;;;;;The second big jump is where the fun really starts.;;;;;020;Matteo Spirito;FAUX;Brief Done;{R}, Mainfeature 2 - In Contact;;;;B;;;;;
ALT_DUSTER_B_BR_88_C;ALT_DUSTER_B_BR_88_C;BR;COMMON;Helpful Diver;Helpful Diver;;;;CHARACTER;ADVENTURER;2;2;3;2;2;{J} You may [RUSH]. If you don't, target opponent [EXHAUSTED_RESUPPLIES]. (They put the top card of their deck in Reserve, then they exhaust it {T}. Rush means playing another card immediately.);;;;;;;;;;"""Ready for a shot of adrenaline?""";;;;;021;Zero Wen;FAUX;Brief Done;Feature 3 - Rush/Pass, Feature 1 - Gift;;;;B;;;;;
ALT_DUSTER_B_BR_88_R1;ALT_DUSTER_B_BR_88_C;BR;RARE;Helpful Diver;Helpful Diver;;;;CHARACTER;ADVENTURER;2;2;3;#3#;#3#;{J} You may [RUSH]. If you don't, target opponent [EXHAUSTED_RESUPPLIES]. (Rush means playing another card immediately.);;;;;;;;;;"""Ready for a shot of adrenaline?""";;;;;021;Zero Wen;FAUX;Brief Done;Feature 3 - Rush/Pass, Feature 1 - Gift;;;;B;;;;;
ALT_DUSTER_B_BR_88_R2;ALT_DUSTER_B_BR_88_C;MU;RARE;Helpful Diver;Helpful Diver;;;;CHARACTER;ADVENTURER;2;2;3;#3#;#3#;{J} You may [RUSH]. If you don't, target opponent [EXHAUSTED_RESUPPLIES]. (Rush means playing another card immediately.);;;;;;;;;;"""Ready for a shot of adrenaline?""";;;;;021;Zero Wen;FAUX;Brief Done;Feature 1 - Gift, Feature 3 - Rush/Pass;;;;B;;;;;
ALT_DUSTER_B_BR_93_C;ALT_DUSTER_B_BR_93_C;BR;COMMON;Bravos Lookout;Bravos Lookout;;;;CHARACTER;ADVENTURER;2;3;0;3;3;{R} I gain 1 boost.;;;;;;;;;;"""I think I've found a good spot!""";;;;;022;Christophe Young;FAUX;Brief Done;Simple;;;;B;;;;;
ALT_DUSTER_B_BR_93_R1;ALT_DUSTER_B_BR_93_C;BR;RARE;Bravos Lookout;Bravos Lookout;;;;CHARACTER;ADVENTURER;2;#4#;0;3;3;{R} I gain #2 boosts.#;#{D} : The next Character played from your hand this turn activates one of its {r} abilities.#;;;;;;;;;"""I think I've found a good spot!""";;;;;022;Christophe Young;FAUX;Brief Done;;;;;B;;;;;
