ID,ID Base,Faction,Alteration,Name,Name En,Type,Sub-Type,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effect,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_11_C,ALT_CORE_B_AX_11_C,AX,COMMON,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R1,ALT_CORE_B_AX_11_C,AX,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} I gain 1 boost$[BB].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R2,ALT_CORE_B_AX_11_C,OR,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} I gain 1 boost$[BB].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_C,ALT_CORE_B_AX_12_C,AX,COMMON,Three Little Pigs,Three Little Pigs,CHARACTER,ENGINEER,3,3,3,3,3,"{J} If you control two or more Landmarks, I gain 1 boost$[BB]. (Cards in Reserve are not controlled.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R1,ALT_CORE_B_AX_12_C,AX,RARE,Three Little Pigs,Three Little Pigs,CHARACTER,ENGINEER,3,3,3,3,3,"{J} If you control two or more Landmarks, I gain #2 boosts$[BB]#. (Cards in Reserve are not controlled.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R2,ALT_CORE_B_AX_12_C,BR,RARE,Three Little Pigs,Three Little Pigs,CHARACTER,ENGINEER,3,3,3,3,3,"{J} If you control #one# or more Landmarks, I gain 1 boost$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_C,ALT_CORE_B_AX_13_C,AX,COMMON,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} You may put a card from your hand in Reserve. If it's a Permanent, draw a card.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R1,ALT_CORE_B_AX_13_C,AX,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,#2#,1,{R} You may put a card from your hand in Reserve #to draw a card#.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R2,ALT_CORE_B_AX_13_C,YZ,RARE,Ada Lovelace,Ada Lovelace,CHARACTER,ENGINEER,2,2,1,3,1,"{R} You may put a card from your hand in Reserve. If it's a #Spell#, draw a card.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_C,ALT_CORE_B_AX_14_C,AX,COMMON,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,2,2,0,When I go to Reserve from your hand — You may play me for free and I gain $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R1,ALT_CORE_B_AX_14_C,AX,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,When I go to Reserve from your hand — You may play me for free and I gain $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R2,ALT_CORE_B_AX_14_C,MU,RARE,Coppélia,Coppélia,CHARACTER,ROBOT,2,2,#3#,#3#,0,When I go to Reserve from your hand — You may play me for free and I gain $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_C,ALT_CORE_B_AX_15_C,AX,COMMON,Axiom Scrambler,Axiom Scrambler,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R1,ALT_CORE_B_AX_15_C,AX,RARE,Axiom Scrambler,Axiom Scrambler,CHARACTER,ENGINEER,#3#,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_15_R2,ALT_CORE_B_AX_15_C,MU,RARE,Axiom Scrambler,Axiom Scrambler,CHARACTER,ENGINEER,4,3,2,4,2,{H} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_C,ALT_CORE_B_AX_16_C,AX,COMMON,Foundry Armorer,Foundry Armorer,CHARACTER,ENGINEER,3,3,2,2,2,{R} Create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R1,ALT_CORE_B_AX_16_C,AX,RARE,Foundry Armorer,Foundry Armorer,CHARACTER,ENGINEER,3,3,2,2,2,#{J}# Create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_16_R2,ALT_CORE_B_AX_16_C,BR,RARE,Foundry Armorer,Foundry Armorer,CHARACTER,ENGINEER,#2#,3,2,2,2,{R} Create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_C,ALT_CORE_B_AX_17_C,AX,COMMON,Dr. Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,3,3,3,3,{R} You may activate the {j} triggers of target Permanent you control.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R1,ALT_CORE_B_AX_17_C,AX,RARE,Dr. Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,{R} You may activate the {j} triggers of target Permanent you control.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_17_R2,ALT_CORE_B_AX_17_C,LY,RARE,Dr. Frankenstein,Dr. Frankenstein,CHARACTER,ENGINEER,4,#2#,3,3,3,{R} You may activate the {j} triggers of target Permanent you control.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_C,ALT_CORE_B_AX_18_C,AX,COMMON,Athena,Athena,CHARACTER,DEITY,5,3,3,4,4,"{R} If you control two or more Landmarks, I lose [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R1,ALT_CORE_B_AX_18_C,AX,RARE,Athena,Athena,CHARACTER,DEITY,5,3,3,4,4,"#{H} If you control two or more Landmarks, I gain 2 boosts.#  {R} If you control two or more Landmarks, I lose [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_18_R2,ALT_CORE_B_AX_18_C,OR,RARE,Athena,Athena,CHARACTER,DEITY,5,3,3,4,4,"#{H} If you control two or more other Characters, I gain 2 boosts.#  {R} If you control two or more #other Characters#, I lose [FLEETING_CHAR].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_C,ALT_CORE_B_AX_19_C,AX,COMMON,Ganesha,Ganesha,CHARACTER,DEITY,7,7,5,5,5,"{J} For each Permanent you control, you may activate its {j} triggers.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R1,ALT_CORE_B_AX_19_C,AX,RARE,Ganesha,Ganesha,CHARACTER,DEITY,#6#,#6#,#4#,#4#,#4#,"{J} For each Permanent you control, you may activate its {j} triggers.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_19_R2,ALT_CORE_B_AX_19_C,MU,RARE,Ganesha,Ganesha,CHARACTER,DEITY,7,7,5,5,5,"{J} For each #other Character# you control, you may activate its {j} triggers.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_C,ALT_CORE_B_AX_20_C,AX,COMMON,Hooked,Hooked,SPELL,MANEUVER,1,2,,,,Target Character switches Expeditions. (It leaves its Expedition and joins its controller's other Expedition.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R1,ALT_CORE_B_AX_20_C,AX,RARE,Hooked,Hooked,SPELL,MANEUVER,#2#,2,,,,Target Character switches Expeditions. (It leaves its Expedition and joins its controller's other Expedition.)  #Draw a card.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_20_R2,ALT_CORE_B_AX_20_C,LY,RARE,Hooked,Hooked,SPELL,MANEUVER,1,2,,,,Target Character switches Expeditions. (It leaves its Expedition and joins its controller's other Expedition.),,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_C,ALT_CORE_B_AX_21_C,AX,COMMON,Boom!,Boom!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifice a Character. If you do, discard target Character or Permanent.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R1,ALT_CORE_B_AX_21_C,AX,RARE,Boom!,Boom!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifice a Character #or Permanent#. If you do, discard target Character or Permanent.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_21_R2,ALT_CORE_B_AX_21_C,YZ,RARE,Boom!,Boom!,SPELL,DISRUPTION,3,3,,,,"$[FLEETING].  Sacrifice a Character. If you do, discard target Character or Permanent.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_C,ALT_CORE_B_AX_22_C,AX,COMMON,Mechanical Training,Mechanical Training,SPELL,BOON,1,2,,,,Activate the {j} triggers of target Permanent you control.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R1,ALT_CORE_B_AX_22_C,AX,RARE,Mechanical Training,Mechanical Training,SPELL,BOON,#2#,2,,,,Activate the {j} triggers of #up to two# target Permanents you control.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_22_R2,ALT_CORE_B_AX_22_C,MU,RARE,Mechanical Training,Mechanical Training,SPELL,BOON,#2#,2,,,,Activate the {j} triggers of target #Character# you control.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_C,ALT_CORE_B_AX_23_C,AX,COMMON,Kelon Burst,Kelon Burst,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R1,ALT_CORE_B_AX_23_C,AX,RARE,Kelon Burst,Kelon Burst,SPELL,DISRUPTION,#4#,#4#,,,,"[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.  #If you control two or more Landmarks, create a [BRASSBUG] Robot token in target Expedition.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_23_R2,ALT_CORE_B_AX_23_C,OR,RARE,Kelon Burst,Kelon Burst,SPELL,DISRUPTION,3,3,,,,$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_C,ALT_CORE_B_AX_24_C,AX,COMMON,Brassbug Hub,Brassbug Hub,PERMANENT,LANDMARK,3,3,,,,{J} I gain three Kelon counters.  At Noon — You may pay {1} and spend one of my Kelon counters to create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R1,ALT_CORE_B_AX_24_C,AX,RARE,Brassbug Hub,Brassbug Hub,PERMANENT,LANDMARK,#2#,#2#,,,,{J} I gain three Kelon counters.  At Noon — You may pay {1} and spend one of my Kelon counters to create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_24_R2,ALT_CORE_B_AX_24_C,OR,RARE,Brassbug Hub,Brassbug Hub,PERMANENT,LANDMARK,#2#,#2#,,,,{J} I gain three Kelon counters.  At Noon — You may pay {1} and spend one of my Kelon counters to create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_C,ALT_CORE_B_AX_25_C,AX,COMMON,Axiom Reprocessor,Axiom Reprocessor,PERMANENT,LANDMARK,4,4,,,,At Noon — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R1,ALT_CORE_B_AX_25_C,AX,RARE,Axiom Reprocessor,Axiom Reprocessor,PERMANENT,LANDMARK,4,4,,,,#{J} [RESUPPLY].#  At Noon — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_25_R2,ALT_CORE_B_AX_25_C,MU,RARE,Axiom Reprocessor,Axiom Reprocessor,PERMANENT,LANDMARK,4,4,,,,At Noon — $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_C,ALT_CORE_B_AX_26_C,AX,COMMON,Kelon Cylinder,Kelon Cylinder,PERMANENT,LANDMARK,1,1,,,,"{T} : I gain two Kelon counters.  {T}, Spend one of my Kelon counters: the next Character you play this turn gains 1 boost$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R1,ALT_CORE_B_AX_26_C,AX,RARE,Kelon Cylinder,Kelon Cylinder,PERMANENT,LANDMARK,1,1,,,,"#{J} Target Character gains 1 boost.#  {T} : I gain two Kelon counters.  {T}, Spend one of my Kelon counters: #target Character gains 1 boost.#",,,,,,,,,,,,,,,
ALT_CORE_B_AX_26_R2,ALT_CORE_B_AX_26_C,BR,RARE,Kelon Cylinder,Kelon Cylinder,PERMANENT,LANDMARK,1,1,,,,"{T} : I gain two Kelon counters.  {T}, Spend one of my Kelon counters: the next Character you play this turn gains 1 boost.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_C,ALT_CORE_B_AX_27_C,AX,COMMON,Kelonic Generator,Kelonic Generator,PERMANENT,LANDMARK,3,3,,,,"{2}, {T} : Draw a card.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R1,ALT_CORE_B_AX_27_C,AX,RARE,Kelonic Generator,Kelonic Generator,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T} : Draw a card.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_27_R2,ALT_CORE_B_AX_27_C,OR,RARE,Kelonic Generator,Kelonic Generator,PERMANENT,LANDMARK,#4#,#4#,,,,"#{1}#, {T} : Draw a card.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_C,ALT_CORE_B_AX_28_C,AX,COMMON,Armored Jammer,Armored Jammer,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R1,ALT_CORE_B_AX_28_C,AX,RARE,Armored Jammer,Armored Jammer,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #When I leave your Landmark zone — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_28_R2,ALT_CORE_B_AX_28_C,OR,RARE,Armored Jammer,Armored Jammer,PERMANENT,LANDMARK,2,2,,,,{J} $[SABOTAGE].  #When I leave your Landmark zone — [SABOTAGE].#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_C,ALT_CORE_B_AX_29_C,AX,COMMON,"The Foundry, Axiom Bastion","The Foundry, Axiom Bastion",PERMANENT,LANDMARK,3,3,,,,{T} : Activate the {r} triggers of the next Character you play from your hand this turn.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R1,ALT_CORE_B_AX_29_C,AX,RARE,"The Foundry, Axiom Bastion","The Foundry, Axiom Bastion",PERMANENT,LANDMARK,#4#,#4#,,,,#{J} Draw a card.#  {T} : Activate the {r} triggers of the next Character you play from your hand this turn.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_29_R2,ALT_CORE_B_AX_29_C,BR,RARE,"The Foundry, Axiom Bastion","The Foundry, Axiom Bastion",PERMANENT,LANDMARK,3,3,,,,{T} : Activate the {r} triggers of the next Character you play from your hand this turn.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_C,ALT_CORE_B_AX_30_C,AX,COMMON,Brassbug Hive,Brassbug Hive,PERMANENT,LANDMARK,5,5,,,,{J} Create a [BRASSBUG] Robot token in target Expedition.  At Noon — Create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R1,ALT_CORE_B_AX_30_C,AX,RARE,Brassbug Hive,Brassbug Hive,PERMANENT,LANDMARK,#6#,#6#,,,,{J} Create a [BRASSBUG] Robot token in target Expedition.  At Noon — Create a [BRASSBUG] Robot token in target Expedition.  #When a Robot joins your Expeditions — It gains 1 boost.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_30_R2,ALT_CORE_B_AX_30_C,YZ,RARE,Brassbug Hive,Brassbug Hive,PERMANENT,LANDMARK,5,5,,,,{J} Create a [BRASSBUG] Robot token in target Expedition.  At Noon — Create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_31_C,ALT_CORE_B_AX_31_C,AX,COMMON,Brassbug,Brassbug,TOKEN,ROBOT,,,2,2,2,"(If I leave the Expedition zone, remove me from the game.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_01_C,ALT_CORE_B_BR_01_C,BR,COMMON,Kojo & Booda,Kojo & Booda,HERO,,,,,,,"At Noon, if you are the first player — Create a [BOODA] Companion token in your Companion Expedition.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_02_C,ALT_CORE_B_BR_02_C,BR,COMMON,Atsadi & Surge,Atsadi & Surge,HERO,,,,,,,I begin the game with five Heroism counters.  When you play a Character with Hand Cost greater than or equal to my number of Heroism counters — Draw a card and I gain a Heroism counter.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_03_C,ALT_CORE_B_BR_03_C,BR,COMMON,Basira & Kaizaimon,Basira & Kaizaimon,HERO,,,,,,,When a Character you control gains 1 or more boosts — You may exhaust me ({T}) to have target Character gain 1 boost$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_C,ALT_CORE_B_BR_04_C,BR,COMMON,Ratatoskr,Ratatoskr,CHARACTER,MESSENGER,1,3,1,1,1,{R} I gain 2 boosts$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R1,ALT_CORE_B_BR_04_C,BR,RARE,Ratatoskr,Ratatoskr,CHARACTER,MESSENGER,1,3,1,1,1,{R} I gain #3 boosts$[BB]#.,,,,,,,,,,,,,,,
ALT_CORE_B_BR_04_R2,ALT_CORE_B_BR_04_C,OR,RARE,Ratatoskr,Ratatoskr,CHARACTER,MESSENGER,1,3,1,1,1,{R} #Create two [ORDIS_RECRUIT] Soldier tokens in my Expedition.#,,,,,,,,,,,,,,,
ALT_CORE_B_BR_05_C,ALT_CORE_B_BR_05_C,BR,COMMON,Issun-Bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,1,0,0,2,,{D} : The next Character you play this turn gains 1 boost. (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_BR_05_R1,ALT_CORE_B_BR_05_C,BR,RARE,Issun-Bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,#2#,0,0,2,#{R} Target Character gains 1 boost$[BB].#,{D} : The next Character you play this turn gains 1 boost. (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_BR_05_R2,ALT_CORE_B_BR_05_C,MU,RARE,Issun-Bōshi,Issun-bōshi,CHARACTER,ADVENTURER,1,#2#,0,0,2,#{R} Target Character gains 1 boost$[BB].#,{D} : The next Character you play this turn gains 1 boost. (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_BR_06_C,ALT_CORE_B_BR_06_C,BR,COMMON,Tiny Jinn,Tiny Jinn,CHARACTER,ELEMENTAL,2,3,0,3,0,"When I leave the Expedition zone, if I'm [BOOSTED] — Put me in my owner's Mana zone (as an exhausted Mana Orb).  {R} I gain 1 boost.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_06_R1,ALT_CORE_B_BR_06_C,BR,RARE,Tiny Jinn,Tiny Jinn,CHARACTER,ELEMENTAL,#1#,#2#,0,#2#,0,"When I leave the Expedition zone, if I'm [BOOSTED] — Put me in my owner's Mana zone (as an exhausted Mana Orb).  {R} I gain 1 boost.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_06_R2,ALT_CORE_B_BR_06_C,MU,RARE,Tiny Jinn,Tiny Jinn,CHARACTER,ELEMENTAL,2,3,0,3,0,"When I leave the Expedition zone, if I'm [BOOSTED] — Put me in my owner's Mana zone (as an exhausted Mana Orb).  {R} I gain 1 boost.",,,,,,,,,,,,,,,
ALT_CORE_B_BR_07_C,ALT_CORE_B_BR_07_C,BR,COMMON,Bravos Tracer,Bravos Tracer,CHARACTER,ADVENTURER,2,2,3,3,3,"{J} I gain [FLEETING_CHAR]. (If I would be sent to Reserve, discard me instead.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_07_R1,ALT_CORE_B_BR_07_C,BR,RARE,Bravos Tracer,Bravos Tracer,CHARACTER,ADVENTURER,2,2,#4#,3,#4#,"{J} I gain [FLEETING_CHAR]. (If I would be sent to Reserve, discard me instead.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_07_R2,ALT_CORE_B_BR_07_C,AX,RARE,Bravos Tracer,Bravos Tracer,CHARACTER,ADVENTURER,2,2,3,3,3,"{J} I gain [FLEETING_CHAR]. (If I would be sent to Reserve, discard me instead.)",,,,,,,,,,,,,,,
ALT_CORE_B_BR_08_C,ALT_CORE_B_BR_08_C,BR,COMMON,Bravos Pathfinder,Bravos Pathfinder,CHARACTER,ADVENTURER,2,2,0,3,3,,,,,,,,,,,,,,,,
ALT_CORE_B_BR_08_R1,ALT_CORE_B_BR_08_C,BR,RARE,Bravos Pathfinder,Bravos Pathfinder,CHARACTER,ADVENTURER,2,2,0,3,3,#$[SEASONED].#  #{H} You may pay {2} to have me gain 1 boost.#,,,,,,,,,,,,,,,
